,Glottocode,label_,outlier_prob,cluster_prob
0,abui1241,13,0.0,1.0
1,ache1246,12,0.0,1.0
2,achi1257,4,0.0,1.0
3,adan1251,13,0.0,1.0
4,adny1235,14,0.0,1.0
5,afri1274,11,0.0,1.0
6,aghu1253,14,0.0,1.0
7,agua1253,11,0.0,1.0
8,ahin1234,13,0.0,1.0
9,akka1240,4,,0.0
10,akla1241,-1,0.0,0.0
11,alan1249,3,0.0,1.0
12,alba1267,4,0.0,1.0
13,algo1255,14,0.0,1.0
14,alya1239,14,0.0,1.0
15,amha1245,4,0.0,1.0
16,amis1246,13,0.0,1.0
17,ampi1237,13,0.0,1.0
18,anci1242,11,0.0,1.0
19,anei1239,7,0.0,1.0
20,aniw1237,11,,0.0
21,anut1237,8,0.0,1.0
22,arab1267,14,0.0,1.0
23,arab1267a,14,0.0,1.0
24,arak1252,4,0.0,1.0
25,area1240,8,0.0,1.0
26,arik1262,9,,0.0
27,aser1237,13,0.0,1.0
28,assa1263,9,0.0,1.0
29,assi1247,-1,0.0,0.0
30,asut1235,4,0.0,1.0
31,atam1239,14,0.0,1.0
32,atay1247,13,0.0,1.0
33,atta1244,13,0.0,1.0
34,avat1244,4,0.0,1.0
35,awet1244,1,0.0,1.0
36,ayiw1239,0,0.0,1.0
37,baca1243,2,0.0,1.0
38,badi1246,4,0.0,1.0
39,baff1241,-1,0.0,0.0
40,baho1237,13,0.0,1.0
41,bala1310,3,0.0,1.0
42,bala1314,13,0.0,1.0
43,bali1278,14,0.0,1.0
44,balu1257,2,0.0,1.0
45,band1339,4,0.0,1.0
46,banj1239,13,0.0,1.0
47,bann1247,3,0.0,1.0
48,bann1248,4,0.0,1.0
49,bard1254,9,0.0,1.0
50,bari1288,3,0.0,1.0
51,baro1253,8,0.0,1.0
52,basq1248,11,0.0,1.0
53,bata1285,4,0.0,1.0
54,bata1289,14,0.0,1.0
55,bats1242,4,0.0,1.0
56,baur1253,11,0.0,1.0
57,bayu1240,4,0.0,1.0
58,beka1241,13,0.0,1.0
59,bela1254,11,0.0,1.0
60,beng1280,4,,0.0
61,bera1259,14,0.0,1.0
62,biak1248,8,0.0,1.0
63,bier1244,11,,0.0
64,bign1238,2,0.0,1.0
65,bila1255,13,0.0,1.0
66,bilb1241,3,0.0,1.0
67,bino1237,14,0.0,1.0
68,binu1244,11,,0.0
69,birh1242,4,0.0,1.0
70,biri1256,4,0.0,1.0
71,bitt1240,4,0.0,1.0
72,blag1240,8,0.0,1.0
73,bloo1239,4,0.0,1.0
74,boan1243,13,0.0,1.0
75,bont1247,3,0.0,1.0
76,boun1245,8,0.0,1.0
77,bret1244,11,0.0,1.0
78,brul1239,-1,0.0,0.0
79,budz1238,3,0.0,1.0
80,buhi1245,3,0.0,1.0
81,buin1247,3,0.0,1.0
82,buka1261,3,0.0,1.0
83,buku1249,13,0.0,1.0
84,bulg1262,4,0.0,1.0
85,buli1256,6,0.0,1.0
86,bung1264,4,0.0,1.0
87,bung1269,13,0.0,1.0
88,bunu1267,13,0.0,1.0
89,burm1266,4,,0.0
90,buru1303,2,0.0,1.0
91,bush1247,11,0.0,1.0
92,butm1237,9,0.0,1.0
93,casi1235,13,0.0,1.0
94,cayu1261,4,0.0,1.0
95,cebu1242,13,0.0,1.0
96,cent1972,11,0.0,1.0
97,cent2084,2,0.0,1.0
98,cent2089,3,0.0,1.0
99,cent2092,13,0.0,1.0
100,cent2101,0,0.0,1.0
101,cent2131,4,0.0,1.0
102,cent2142,4,0.0,1.0
103,chac1249,4,0.0,1.0
104,cham1312,11,0.0,1.0
105,chav1241,4,0.0,1.0
106,chek1238,6,0.0,1.0
107,chen1255,4,0.0,1.0
108,chep1245,4,0.0,1.0
109,cher1273,5,,0.0
110,chey1247,14,0.0,1.0
111,chic1270,2,,0.0
112,chip1261,4,0.0,1.0
113,chip1262,14,0.0,1.0
114,choc1276,2,,0.0
115,chok1245,8,0.0,1.0
116,chuu1238,2,0.0,1.0
117,cint1239,0,0.0,1.0
118,clas1250,11,0.0,1.0
119,coca1259,0,0.0,1.0
120,coco1261,4,0.0,1.0
121,cogu1240,-1,0.3333333333333333,0.0
122,colo1249,11,0.0,1.0
123,coma1245,4,0.0,1.0
124,comm1246,14,0.0,1.0
125,copp1244,-1,0.0,0.0
126,corn1251,11,0.0,1.0
127,cota1241,2,0.0,1.0
128,cree1270,-1,0.0,0.0
