,Glottocode,label_,outlier_prob,cluster_prob
179,fefe1239,9,0.0,1.0
180,fiji1243,8,0.0,1.0
181,finn1318,4,0.0,1.0
182,fipa1238,12,0.0,1.0
183,fort1240,-1,0.19999999999999996,0.0
184,fris1239,2,0.0,1.0
185,futu1245,12,0.0,1.0
186,gada1258,1,0.0,1.0
187,gale1259,8,0.0,1.0
188,gami1243,2,0.0,1.0
189,gand1255,-1,0.1428571428571429,0.0
190,gane1237,8,0.0,1.0
191,gang1267,6,,0.0
192,gang1267a,-1,0.22222222222222218,0.0
193,gayo1244,12,0.0,1.0
194,gela1263,13,0.0,1.0
195,gilb1244,-1,0.0,0.0
196,giry1241,3,0.0,1.0
197,gond1265,5,0.0,1.0
198,goth1244,4,0.0,1.0
199,gros1243,2,,0.0
200,guaj1256,11,0.0,1.0
201,gugu1255,2,0.0,1.0
202,gugu1255a,2,0.0,1.0
203,guja1252,5,0.0,1.0
204,guma1253,6,0.0,1.0
205,gunt1241,10,0.0,1.0
206,gunw1252,-1,0.22222222222222218,0.0
207,guny1241,2,0.0,1.0
208,gupa1247,2,0.0,1.0
209,guri1247,2,0.0,1.0
210,gusi1247,4,0.0,1.0
211,gwic1235,2,0.0,1.0
212,gwii1239,1,0.0,1.0
213,hano1246,-1,0.0,0.0
214,hano1246a,12,0.0,1.0
215,hano1246b,12,0.0,1.0
216,hanu1241,1,0.0,1.0
217,hare1243,2,0.0,1.0
218,hawa1245,11,0.0,1.0
219,haya1250,10,0.0,1.0
220,here1253,6,0.0,1.0
221,hida1246,2,,0.0
222,high1278,1,0.0,1.0
223,hili1240,1,0.0,1.0
224,hind1269,2,0.0,1.0
225,hitt1242,4,0.0,1.0
226,hiww1237,12,0.0,1.0
227,hung1274,2,0.0,1.0
228,hupa1239,2,0.0,1.0
229,ibal1244,1,0.0,1.0
230,iban1264,1,0.0,1.0
231,iban1267,1,0.0,1.0
232,icel1247,4,0.0,1.0
233,idaa1241,10,0.0,1.0
234,idii1243,10,0.0,1.0
235,ifug1247,1,0.0,1.0
236,igna1246,9,0.0,1.0
237,iliu1237,12,0.0,1.0
238,ilok1237,4,0.0,1.0
239,inan1242,2,0.0,1.0
240,indo1316,10,0.0,1.0
241,indo1317,10,0.0,1.0
242,ingr1248,4,0.0,1.0
243,iowa1245,2,,0.0
244,iray1237,1,0.0,1.0
245,iris1253,4,0.0,1.0
246,isna1241,1,0.0,1.0
247,ital1282,4,0.0,1.0
248,iton1250,4,0.0,1.0
249,itsa1239,2,0.0,1.0
250,ivat1242,10,0.0,1.0
251,jama1262,2,0.0,1.0
252,japa1256,2,0.0,1.0
253,jaru1254,6,0.0,1.0
254,java1254,2,0.0,1.0
255,jica1244,4,0.0,1.0
256,jing1260,1,,0.0
257,kaba1285,10,0.0,1.0
258,kada1242,2,0.0,1.0
259,kada1286,4,0.0,1.0
260,kaiw1246,-1,0.5,0.0
261,kala1377,12,0.0,1.0
262,kala1397,10,0.0,1.0
263,kala1399,-1,0.5,0.0
264,kalk1246,6,0.0,1.0
265,kama1365,10,0.0,1.0
266,kama1373,7,0.0,1.0
267,kamb1297,10,0.0,1.0
268,kamb1299,0,0.0,1.0
269,kank1243,10,0.0,1.0
270,kans1243,2,,0.0
271,kaon1241,10,0.0,1.0
272,kapi1249,1,0.0,1.0
273,kapi1249a,12,0.0,1.0
274,kara1476,6,0.0,1.0
275,kara1499,-1,0.5,0.0
276,kare1337,2,,0.0
277,kari1304,-1,0.0,0.0
278,karo1304,2,0.0,1.0
279,kart1247,10,0.0,1.0
280,kash1277,4,0.0,1.0
281,kash1280,2,0.0,1.0
282,katb1237,-1,0.0,0.0
283,kaur1267,6,0.0,1.0
284,kaya1318,13,,0.0
285,kaya1329,7,0.0,1.0
286,kaza1248,2,,0.0
287,kick1244,2,,0.0
288,kiku1240,10,0.0,1.0
289,kili1267,13,0.0,1.0
290,kiow1264,4,0.0,1.0
291,kipu1237,10,0.0,1.0
292,kira1248,13,0.0,1.0
293,kiwa1251,2,0.0,1.0
294,klon1234,10,0.0,1.0
295,koda1255,2,0.0,1.0
296,kode1237,10,0.0,1.0
297,komb1273,3,0.0,1.0
298,komc1235,2,0.0,1.0
299,komn1238,10,0.0,1.0
300,komo1260,2,0.0,1.0
301,kona1243,10,0.0,1.0
302,koro1311,10,0.0,1.0
303,kosr1238,2,0.0,1.0
304,kota1274,8,0.0,1.0
305,kris1246,9,0.0,1.0
306,kuan1248,12,0.0,1.0
307,kuii1252,2,0.0,1.0
308,kuka1246,9,0.0,1.0
309,kuku1273,2,0.0,1.0
