,Glottocode,label_,outlier_prob,cluster_prob
0,abui1241,5,0.0,1.0
1,ache1246,3,0.0,1.0
2,achi1257,3,0.0,1.0
3,achu1249,3,0.0,1.0
4,adan1251,5,0.0,1.0
5,adny1235,1,0.0,1.0
6,afri1274,3,0.0,1.0
7,aghu1253,3,0.0,1.0
8,agob1244,5,0.0,1.0
9,agua1253,3,0.0,1.0
10,ahin1234,5,0.0,1.0
11,akla1241,3,0.0,1.0
12,alan1249,3,0.0,1.0
13,alba1267,3,0.0,1.0
14,algo1255,3,0.0,1.0
15,alya1239,0,0.0,1.0
16,amis1246,3,0.0,1.0
17,ampi1237,3,0.0,1.0
18,anam1249,3,0.0,1.0
19,anci1242,0,0.0,1.0
20,anei1239,3,0.0,1.0
21,anga1316,3,0.0,1.0
22,aniw1237,2,0.0,1.0
23,anut1237,5,0.0,1.0
24,arab1267,4,0.0,1.0
25,arab1267a,4,0.0,1.0
26,arak1252,5,0.0,1.0
27,araw1273,3,0.0,1.0
28,area1240,5,0.0,1.0
29,arik1262,3,0.0,1.0
30,aser1237,3,0.0,1.0
31,assa1263,1,0.0,1.0
32,assi1247,3,0.0,1.0
33,asut1235,3,0.0,1.0
34,atam1239,0,0.0,1.0
35,atay1247,3,0.0,1.0
36,atch1238,5,0.0,1.0
37,atta1244,3,0.0,1.0
38,avat1244,3,0.0,1.0
39,awet1244,3,0.0,1.0
40,ayiw1239,0,0.0,1.0
41,baca1243,3,0.0,1.0
42,badi1246,5,0.0,1.0
43,baff1241,3,0.0,1.0
44,baho1237,5,0.0,1.0
45,bala1310,5,0.0,1.0
46,bala1314,3,0.0,1.0
47,bali1278,3,0.0,1.0
48,balo1260,0,0.0,1.0
49,balu1257,5,0.0,1.0
50,band1339,3,0.0,1.0
51,banj1239,3,0.0,1.0
52,bann1247,5,0.0,1.0
53,bard1254,0,0.0,1.0
54,bari1288,5,0.0,1.0
55,basq1248,3,0.0,1.0
56,bata1285,3,0.0,1.0
57,bata1289,3,0.0,1.0
58,bats1242,3,0.0,1.0
59,baub1235,3,0.0,1.0
60,bayu1240,0,0.0,1.0
61,beka1241,5,0.0,1.0
62,bela1254,3,0.0,1.0
63,bemb1257,5,0.0,1.0
64,bena1262,3,0.0,1.0
65,bend1258,5,0.0,1.0
66,beng1280,3,0.0,1.0
67,bera1259,3,0.0,1.0
68,biak1248,3,0.0,1.0
69,bier1244,5,0.0,1.0
70,bign1238,3,0.0,1.0
71,bign1238a,3,0.0,1.0
72,biha1245,0,0.0,1.0
73,bila1255,3,0.0,1.0
74,bilb1241,5,0.0,1.0
75,bino1237,5,0.0,1.0
76,binu1244,5,0.0,1.0
77,birh1242,0,0.0,1.0
78,biri1256,2,0.0,1.0
79,bitt1240,3,0.0,1.0
80,bloo1239,3,0.0,1.0
81,boan1243,3,0.0,1.0
82,bont1247,5,0.0,1.0
83,bret1244,3,0.0,1.0
84,broo1239,5,0.0,1.0
85,brul1239,3,0.0,1.0
86,buhi1245,3,0.0,1.0
87,buin1247,0,0.0,1.0
88,buka1261,5,0.0,1.0
89,buku1249,3,0.0,1.0
90,bulg1262,3,0.0,1.0
91,buli1256,3,0.0,1.0
92,bung1264,1,0.0,1.0
93,bung1269,5,0.0,1.0
94,bunu1267,3,0.0,1.0
95,burm1266,3,0.0,1.0
96,buru1303,5,0.0,1.0
97,bush1247,5,0.0,1.0
98,butm1237,5,0.0,1.0
99,cahu1264,-1,0.0,0.0
100,casi1235,5,0.0,1.0
101,cayu1261,3,0.0,1.0
102,cebu1242,3,0.0,1.0
103,cent1972,3,0.0,1.0
104,cent2084,5,0.0,1.0
105,cent2089,5,0.0,1.0
106,cent2090,3,0.0,1.0
107,cent2092,5,0.0,1.0
108,cent2101,3,0.0,1.0
109,cent2142,3,0.0,1.0
110,chac1249,3,0.0,1.0
111,cham1312,3,0.0,1.0
112,chav1241,3,0.0,1.0
113,chen1255,2,0.0,1.0
114,chep1245,3,0.0,1.0
115,cher1273,5,0.0,1.0
116,chey1247,3,0.0,1.0
117,chic1270,3,0.0,1.0
118,chip1261,3,0.0,1.0
119,chip1262,3,0.0,1.0
120,choc1276,3,0.0,1.0
121,chuu1238,3,0.0,1.0
122,cint1239,3,0.0,1.0
123,clas1250,3,0.0,1.0
124,coca1259,3,0.0,1.0
125,coco1261,0,0.0,1.0
126,cogu1240,0,0.0,1.0
127,colo1249,3,0.0,1.0
128,coma1245,0,0.0,1.0
129,comm1246,3,0.0,1.0
130,copp1244,3,0.0,1.0
131,corn1251,3,0.0,1.0
132,cota1241,5,0.0,1.0
133,cree1270,3,0.0,1.0
134,cree1272,3,0.0,1.0
135,crow1244,3,0.0,1.0
136,cube1242,3,0.0,1.0
137,cupe1243,-1,0.0,0.0
138,czec1258,3,0.0,1.0
139,daka1243,5,0.0,1.0
140,dako1258,3,0.0,1.0
141,damp1237,3,0.0,1.0
142,dand1238,0,0.0,1.0
143,dani1285,3,0.0,1.0
144,dari1249,3,0.0,1.0
145,darl1243,2,0.0,1.0
146,deho1238,2,0.0,1.0
147,dehu1237,3,0.0,1.0
148,dhar1248,0,0.0,1.0
149,dhar1248a,0,0.0,1.0
150,dhuw1248,0,0.0,1.0
151,dhuw1249,0,0.0,1.0
152,dier1241,2,0.0,1.0
153,dier1241a,0,0.0,1.0
154,digo1243,3,0.0,1.0
155,ding1239,1,0.0,1.0
156,djam1256,4,0.0,1.0
157,djin1253,-1,0.0,0.0
158,djin1253a,-1,0.0,0.0
159,dobu1241,5,0.0,1.0
160,dogr1252,3,0.0,1.0
161,dond1249,3,0.0,1.0
162,dual1243,1,0.0,1.0
163,dupa1235,3,0.0,1.0
