,glottocode,label_,outlier_prob,cluster_prob,x,y
0,abui1241,7,0.0,1.0,-1.154421358654314,0.8045587997317452
1,ache1246,8,0.0,1.0,-1.7793303888669554,0.31232881770222076
2,achi1257,13,0.0,1.0,-1.0917516925635231,-0.671372030615319
3,adan1251,7,0.0,1.0,-1.5852470941473804,0.642264929911948
4,adny1235,9,0.0,1.0,-1.9811524091994588,-0.46631415242526536
5,afri1274,3,0.0,1.0,0.8234348162365637,-1.1531127078517058
6,aghu1253,9,0.0,1.0,-1.488139009793245,0.4815861797833952
7,agua1253,3,0.0,1.0,0.8364035379547766,-1.3208092956623048
8,ahin1234,7,0.0,1.0,-2.2979022193226584,0.4068552605116494
9,akhv1239,13,0.0,1.0,-0.9234874398665543,0.5417544553464174
10,akka1240,13,,0.0,-1.095809423858489,-1.69486763926558
11,akla1241,-1,0.20000000000000004,0.0,0.03403997339474027,0.939959405133309
12,alan1249,0,0.0,1.0,0.1814080574035559,2.551685226848159
13,alba1267,13,0.0,1.0,-1.3334450467866505,-1.6366210383537192
14,alya1239,9,0.0,1.0,-0.8874490225525103,1.3337587865065597
15,amha1245,13,0.0,1.0,-0.4836317221666636,-0.3511496803910215
16,amis1246,7,0.0,1.0,-0.6983329354351265,1.0757875096799066
17,ampi1237,7,0.0,1.0,-1.784665283878613,0.5790087066799354
18,anca7501,3,0.0,1.0,0.836403537954777,-1.3208092956623048
19,anci1242,3,0.0,1.0,0.37935041955547943,1.3502030376646688
20,ancu1238,13,0.0,1.0,-0.8538392085275361,0.45989197128898673
21,anda1281,13,0.0,1.0,-0.615116106988957,0.35844725337494254
22,andi1255,13,0.0,1.0,-0.6151161069889569,0.35844725337494254
23,anei1239,10,0.0,1.0,1.942198021801345,0.6257608469641307
24,aniw1237,6,,0.0,0.40139984742222984,1.4507484067281688
25,anut1237,5,0.0,1.0,2.0791113975708737,0.8987720470827998
26,arab1267,9,0.0,1.0,-1.874971577818061,-0.9336775210123877
27,arab1267a,9,0.0,1.0,-1.8749715889508356,-0.9336774987243833
28,arak1252,13,0.0,1.0,-0.3891013699255093,0.13484335160804758
29,arch1244,13,0.0,1.0,-0.47455559733356056,0.237913140492831
30,area1240,5,0.0,1.0,1.3415137348186725,1.1895549837681456
31,aser1237,7,0.0,1.0,-1.4162658189678967,0.7006988499030058
32,assa1263,4,0.0,1.0,-1.2123580572600348,1.6587337489184015
33,asut1235,13,0.0,1.0,0.03805161012700425,-0.7351259438430442
34,atam1239,9,0.0,1.0,-1.9971614852854056,-0.42844615922592794
35,atay1247,7,0.0,1.0,-1.8970663155930594,0.5442633588012689
36,atta1244,7,0.0,1.0,-1.5852470941473804,0.6422649299119478
37,aust1271,0,0.0,1.0,0.1814080574258252,2.5516852268461108
38,avar1256,13,0.0,1.0,-0.9528434677161992,0.45590684617863814
39,avat1244,13,0.0,1.0,-0.9637768329218115,-1.7623169140492079
40,aves1237,3,0.0,1.0,0.7547582945394771,-0.46214730058154113
41,ayiw1239,11,0.0,1.0,0.8645213085385038,0.576050907093481
42,ayor1240,13,0.0,1.0,-0.9906522137556657,-0.551887517175614
43,baca1243,14,0.0,1.0,0.7663765863456481,0.6793450409780588
44,badi1246,13,0.0,1.0,-0.6126957400345088,-2.075134373498575
45,bagv1239,13,0.0,1.0,-0.8538392085275364,0.45989197128898673
46,baho1237,7,0.0,1.0,-1.416265818967896,0.7006988499030057
47,bala1310,0,0.0,1.0,0.18140806217024666,2.5516852264082144
48,bala1314,7,0.0,1.0,-1.7846652838786135,0.5790087066799326
49,bali1278,9,0.0,1.0,-1.8867481199369098,-0.393776942346554
50,balu1257,14,0.0,1.0,1.5422137746010336,-0.23326744789899925
51,band1339,13,0.0,1.0,-0.3036188544302778,-0.8907498110818106
52,banj1239,7,0.0,1.0,-2.297902219184466,0.40685526123134835
53,bann1247,0,0.0,1.0,0.1814080574281748,2.5516852268458923
54,bann1248,13,0.0,1.0,-0.6466870877483262,-1.198735707556805
55,bard1254,4,0.0,1.0,0.008347674839424115,-2.442657458786479
56,bari1288,0,0.0,1.0,0.18140805742479232,2.551685226846204
57,bari1297,3,0.0,1.0,0.8014447881840464,-0.9048602701311913
58,baro1253,5,0.0,1.0,1.467211975660379,1.122518993037823
59,basq1248,3,0.0,1.0,0.823434816236564,-1.153112707851706
60,bata1285,13,0.0,1.0,-0.242618240983344,-1.6321070827561306
61,bata1289,9,0.0,1.0,-0.9988814204074544,0.4030968464288105
62,batl1238,13,0.0,1.0,-1.2547947544367255,0.45343596408310227
63,bats1242,13,0.0,1.0,-1.425180106435465,0.447363023807398
64,baur1253,3,0.0,1.0,0.34641151778764534,1.4924542077248626
65,bayu1240,13,0.0,1.0,-0.28021439546009175,-0.04079549996011585
66,beka1241,7,0.0,1.0,-0.6983329354351262,1.0757875096799066
67,bela1254,3,0.0,1.0,0.8364035379547772,-1.3208092956623039
68,beng1280,13,0.0,1.0,-0.40132958396047136,-0.3732343956039065
69,bera1259,9,0.0,1.0,-1.5065651269485607,-0.2414636848929002
70,bezh1248,13,0.0,1.0,-1.0679952933551302,0.5060205727250813
71,biak1248,5,0.0,1.0,2.7716486226973,0.6561682575387515
72,bier1244,6,,0.0,0.4612466539855002,1.5827224110023521
73,bign1238,14,0.0,1.0,0.85216760205843,0.7468928625646435
74,bila1255,7,0.0,1.0,-0.22603141344403532,1.7312057544987167
75,bilb1241,0,0.0,1.0,0.18140805734138596,2.5516852268539005
76,bino1237,9,0.0,1.0,-1.488139009793244,0.48158617978339546
77,binu1244,6,,0.0,1.0425564683224333,-0.23638596612987656
