,feature,importance
0,393,0.008800895019866467
1,10,0.00695898925260952
2,382,0.0069568967429533245
3,420,0.006796905365871601
4,202,0.00657671563672609
5,457,0.0064431890662596985
6,459,0.006410586988071146
7,390,0.006071072612494066
8,63,0.0060558306005144905
9,73,0.005939806537357505
10,226,0.005922790378817078
11,477,0.005387559848153575
12,380,0.0053245505882783635
13,100,0.005116529241451535
14,14,0.005114937140426654
15,269,0.005050290475775263
16,493,0.005029308476118094
17,224,0.004974834277572865
18,71,0.004948427736826597
19,270,0.004904935137572852
20,247,0.004738983745856539
21,464,0.004710245243650786
22,250,0.0046644162553853025
23,479,0.004583375486214197
24,447,0.004483724035175278
25,196,0.004471000138372902
26,8,0.004461162556144878
27,486,0.004447303649607036
28,96,0.004438982113457022
29,311,0.004420676075704019
30,198,0.004399503863728337
31,466,0.0043848566693637766
32,407,0.004353589080989002
33,33,0.004333180564268418
34,272,0.00430043250686603
35,286,0.004285233789009574
36,474,0.004228386514880108
37,65,0.0042123026799702435
38,6,0.004184168461041347
39,227,0.004111207204195096
40,23,0.004072534156904161
41,179,0.004042402881602331
42,267,0.003986791703238962
43,438,0.003967063282893754
44,85,0.003962725414828121
45,82,0.0039494477016212455
46,25,0.0038769629945307324
47,90,0.00386804722201132
48,283,0.003862985096021051
49,22,0.003861511884187671
50,354,0.0038443701619495342
51,177,0.0038422162981236784
52,309,0.003781969741341067
53,153,0.003761662262891873
54,403,0.0037557685022595443
55,366,0.0036892238969532965
56,317,0.003667112415054316
57,415,0.0036120985177546406
58,24,0.0035676741178618555
59,84,0.003544427696663912
60,229,0.003534140561426756
61,453,0.0035255411001890806
62,409,0.003504175622131897
63,9,0.0034983637503724634
64,94,0.0034916439009094473
65,230,0.0034827370505324754
66,417,0.0034614803700394004
67,261,0.0034492533826925415
68,242,0.003400431847934506
69,333,0.0033936334222911613
70,66,0.0033467099314036983
71,86,0.0033427404426252414
72,310,0.003308939346299722
73,282,0.0032982037393499107
74,460,0.003286012563498501
75,428,0.0032826204915754396
76,346,0.0032661244796629908
77,284,0.003259877898779218
78,81,0.0032491023751095643
79,483,0.0032406085411797385
80,413,0.003240482733025092
81,126,0.0032382836010610857
82,206,0.0032237431790939556
83,132,0.0032165650111704944
84,443,0.00319891228261339
85,130,0.003195245839825349
86,43,0.003177509277105601
87,101,0.0031557834045588535
88,422,0.0031355979912823808
89,440,0.0031190432192809534
90,88,0.0031084966403944593
91,352,0.003079394148260892
92,27,0.003065726955693559
93,353,0.003051840230249396
94,191,0.003040990917795407
95,412,0.003012559926576055
96,344,0.0029927656318470687
97,363,0.002981823841143319
98,485,0.0029416126256101593
99,395,0.002938247590941039
100,239,0.002937494451327513
101,98,0.002899006176468273
102,292,0.0028978879877255936
103,436,0.002866993009610871
104,241,0.002865990739268749
105,108,0.0028642060832553547
106,304,0.002863743679588253
107,21,0.0028480117301549787
108,495,0.0028407723183811687
109,328,0.0028311451909755793
110,386,0.002829491941025096
111,370,0.002825664974513357
112,4,0.0028246231007381974
113,186,0.0028164901848884366
114,7,0.0028159348043815605
115,151,0.002803680178352892
116,92,0.002801710253305632
117,249,0.0027887154728530104
118,117,0.002774844208117114
119,322,0.0027659049870617336
120,425,0.002765804905675937
121,116,0.0027635389507062393
122,111,0.0027591093288995717
123,378,0.002757814260799999
124,83,0.0027494113811145308
125,69,0.002697105639064175
126,106,0.0026552578589409976
127,193,0.002652503550693787
128,181,0.0026446807997212813
129,228,0.002634069664385166
130,68,0.0026313029056286626
131,113,0.0026213759893311027
132,99,0.002620890497445778
133,67,0.0026141188639328345
134,12,0.0025939942187741994
135,252,0.0025641301250803046
136,20,0.0025562040208597014
137,89,0.0025486541221137666
138,155,0.0025308198258779664
139,349,0.002527928068757612
140,312,0.0025037421119245436
141,288,0.002476389166983388
142,131,0.0024713184734274293
143,240,0.0024673483561558096
144,449,0.002454817274380737
145,488,0.002450763924619014
146,362,0.002449854503732989
147,410,0.002443581198889047
148,245,0.0024341846134880306
149,79,0.0024074399631615583
150,371,0.002381024376720048
151,39,0.002373420002269231
152,306,0.002369801669465403
153,195,0.00236751365557446
154,308,0.002355220934810006
155,416,0.0023451281426193457
156,112,0.00234210849422445
157,472,0.0023343298867340647
158,129,0.002334173682035195
159,325,0.002332852604536051
160,190,0.0023250784643394657
161,114,0.002323351439676542
162,56,0.002321654474609636
163,87,0.002315288541582101
164,70,0.0023070855109901824
165,471,0.0022978042325987207
166,37,0.0022970255799473634
167,423,0.0022784193768477785
168,188,0.0022733332670877332
169,189,0.002271487502193787
170,144,0.002254808802904788
171,60,0.00223799665659313
172,277,0.002236995464152984
173,207,0.0022292336595159047
174,337,0.0022276287941000016
175,29,0.0022088148436221464
176,320,0.0021904967656364354
177,351,0.0021858718014747137
178,347,0.00217716531528233
179,175,0.002174152031869229
180,38,0.0021736377545555578
181,411,0.0021550588488926255
182,316,0.0021241236931249254
183,77,0.002122342730751305
