"cluster","neighbor","sil_width"
0,1,0.273283049271362
0,4,-0.00775785669777153
0,1,0.320286903751976
0,4,0.0919220922617374
0,1,0.186639765520788
0,1,0.15728561345134
0,1,0.106507558931551
0,1,0.130391086994661
0,1,0.130391086994661
0,4,0.0919220922617374
0,1,0.15728561345134
0,1,0.109596664599975
0,1,0.242996329973718
0,1,-0.0715510334201056
0,4,0.0919220922617374
0,1,0.130391086994661
0,1,0.102970479405011
0,1,0.109596664599975
0,1,0.272407140310507
0,1,0.186242566033286
0,1,0.271717659654872
0,1,0.15728561345134
0,1,0.273283049271362
0,1,0.15728561345134
0,1,0.15728561345134
0,1,0.194698221884316
0,1,0.273283049271362
0,1,0.312579319591248
0,2,0.0815990079012138
0,1,-0.0710713370673419
0,1,-0.0531923826233266
0,1,0.15728561345134
0,1,0.205319130422663
0,1,0.273283049271362
0,1,0.15728561345134
0,1,0.205319130422663
0,4,0.0919220922617374
0,1,-0.0710713370673419
0,1,-0.0529262990891112
0,4,0.0919220922617374
0,1,0.312579319591248
0,3,-0.0818285246070566
0,1,0.312579319591248
1,6,0.0718051655253316
1,6,0.727468178370343
1,6,0.727468178370343
1,6,0.727468178370343
1,6,0.750918620470246
1,6,0.750918620470246
1,6,0.415860274631075
1,6,0.750918620470246
1,0,0.455491771720815
1,6,0.750918620470246
1,6,0.727468178370343
1,6,0.419823925203722
1,6,0.727468178370343
1,6,0.750918620470246
2,3,-0.0720061764533698
2,3,0.858041974614378
2,3,0.858041974614378
2,9,-0.406966946523116
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,-0.0720061764533698
2,3,0.858041974614378
2,3,0.858041974614378
2,3,-0.0720061764533698
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,-0.0720061764533698
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,-0.0720061764533698
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.47101042018903
2,3,0.858041974614378
2,3,0.858041974614378
2,3,0.858041974614378
3,11,0.835770114942529
3,11,0.835770114942529
3,2,0.402779273941614
3,2,0.402779273941614
3,11,0.835770114942529
3,11,0.835770114942529
3,11,0.835770114942529
3,11,0.835770114942529
3,11,0.835770114942529
3,11,0.835770114942529
3,11,0.835770114942529
3,11,0.835770114942529
3,9,0.552478157420165
3,11,0.835770114942529
3,11,0.835770114942529
3,2,0.402779273941614
4,10,0.689664156991777
4,10,0.707668288432213
4,10,0.60669623059867
4,13,0.426326582927454
4,10,0.651585326603186
4,10,0.689664156991777
4,10,0.707668288432213
