"cluster","value"
"0",0.537108053237086
"1",0.170785546331398
"2",0.913072178558904
"3",0.579409282700423
"4",0.542496570644719
"5",0.673562415142561
"6",0.947147749510763
"7",0.476164609053498
"8",0.895683776022972
"9",0.951101459892209
"10",0.915644770756854
"11",0.867669172932331
