"cluster","value"
"0",1
"1",0.845663265306122
"2",0.860908943878376
"3",0.851785714285714
"4",1
"5",0.702083333333333
"6",0.969173190859077
"7",1
"8",0.938775510204082
"9",0.932426948051948
"10",0.991090391090391
"11",1
"12",1
"13",0.967391304347826
"14",0.96875
