"cluster","value"
"0",0.15728561345134
"1",0.727468178370343
"2",0.858041974614378
"3",0.835770114942529
"4",0.689664156991777
"5",0.0731635481635486
"6",0.633116220378926
"7",1
"8",0.69037037037037
"9",0.695310500660997
"10",0.95308384547849
"11",0.973815332501191
"12",1
"13",1
"14",0.994708091498805
"15",1
