Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
321	0.542056	63	0.095238	54	0.722222	62	1.000000	5.000000	321	0.542056	0.359585	0	0.000000	0.562000	0.476145	
309	0.478964	64	0.109375	66	0.696970	61	0.983607	5.000000	309	0.478964	0.359585	0	0.000000	0.522000	0.478229	
314	0.175159	58	0.017241	57	0.807018	71	1.000000	5.000000	314	0.175159	0.359585	0	0.000000	0.346000	0.472481	
326	0.598160	60	0.050000	62	0.758065	52	0.980769	3.978738	326	0.598160	0.359585	0	0.000000	0.592000	0.477460	
337	0.471810	56	0.142857	57	0.807018	50	0.980000	5.000000	337	0.471810	0.359585	0	0.000000	0.524000	0.479322	
312	0.519231	61	0.163934	60	0.700000	67	1.000000	5.000000	312	0.519231	0.359585	0	0.000000	0.562000	0.482501	
309	0.194175	52	0.115385	63	0.761905	76	1.000000	5.000000	309	0.194175	0.359585	0	0.000000	0.380000	0.478705	
306	0.624183	52	0.057692	74	0.527027	68	0.985294	4.426595	306	0.624183	0.359585	0	0.000000	0.600000	0.483037	
306	0.526144	65	0.230769	71	0.661972	58	0.982759	5.000000	306	0.526144	0.359585	0	0.000000	0.560000	0.485691	
336	0.550595	54	0.055556	62	0.645161	48	0.937500	5.000000	336	0.550595	0.359585	0	0.000000	0.546000	0.487701	
312	0.496795	63	0.095238	52	0.557692	73	0.972603	5.000000	312	0.496795	0.359585	0	0.000000	0.522000	0.488807	
315	0.647619	56	0.071429	71	0.591549	58	0.982759	5.000000	315	0.647619	0.359585	0	0.000000	0.614000	0.492719	
324	0.604938	58	0.068966	60	0.616667	58	0.965517	5.000000	324	0.604938	0.359585	0	0.000000	0.586000	0.495546	
318	0.273585	50	0.080000	58	0.793103	74	0.986486	5.000000	318	0.273585	0.359585	0	0.000000	0.420000	0.493324	
321	0.258567	46	0.086957	69	0.739130	64	0.984375	5.000000	321	0.258567	0.359585	0	0.000000	0.402000	0.490715	
322	0.562112	56	0.053571	72	0.597222	50	1.000000	5.000000	322	0.562112	0.359585	0	0.000000	0.554000	0.492473	
314	0.216561	70	0.014286	74	0.851351	42	1.000000	5.000000	314	0.216561	0.359585	0	0.000000	0.348000	0.488568	
289	0.217993	71	0.028169	65	0.769231	75	1.000000	5.000000	289	0.217993	0.359585	0	0.000000	0.380000	0.485711	
291	0.116838	80	0.062500	64	0.796875	65	1.000000	5.000000	291	0.116838	0.359585	0	0.000000	0.310000	0.481206	
313	0.220447	71	0.098592	56	0.767857	60	1.000000	4.547428	313	0.220447	0.359585	0	0.000000	0.358000	0.478126	
306	0.490196	56	0.053571	69	0.579710	69	0.971014	4.547428	306	0.490196	0.359585	0	0.000000	0.520000	0.479147	
276	0.282609	84	0.035714	70	0.628571	70	0.971429	5.000000	276	0.282609	0.359585	0	0.000000	0.386000	0.476930	
301	0.634551	54	0.055556	75	0.666667	70	1.000000	5.000000	301	0.634551	0.359585	0	0.000000	0.628000	0.480443	
328	0.439024	61	0.196721	51	0.549020	60	1.000000	5.000000	328	0.439024	0.359585	0	0.000000	0.488000	0.480615	
325	0.489231	58	0.086207	58	0.672414	59	0.983051	5.000000	325	0.489231	0.359585	0	0.000000	0.522000	0.481534	
304	0.588816	76	0.078947	61	0.557377	59	0.983051	5.000000	304	0.588816	0.359585	0	0.000000	0.554000	0.483109	
312	0.275641	58	0.068966	63	0.777778	67	1.000000	5.000000	312	0.275641	0.359585	0	0.000000	0.412000	0.481597	
316	0.427215	65	0.061538	67	0.791045	52	1.000000	5.000000	316	0.427215	0.359585	0	0.000000	0.488000	0.481730	
319	0.144201	57	0.035088	58	0.689655	66	1.000000	5.000000	319	0.144201	0.359585	0	0.000000	0.308000	0.478185	
315	0.190476	59	0.050847	62	0.645161	64	1.000000	2.742000	315	0.190476	0.359585	0	0.000000	0.334000	0.475301	
328	0.484756	51	0.098039	62	0.709677	59	0.983051	1.718849	328	0.484756	0.359585	0	0.000000	0.532000	0.476413	
312	0.477564	50	0.000000	62	0.741935	76	0.973684	2.183208	312	0.477564	0.359585	0	0.000000	0.538000	0.477597	
299	0.264214	60	0.000000	53	0.547170	88	0.988636	3.239339	299	0.264214	0.359585	0	0.000000	0.390000	0.475944	
320	0.243750	60	0.016667	64	0.812500	56	1.000000	3.239339	320	0.243750	0.359585	0	0.000000	0.374000	0.474057	
305	0.291803	69	0.043478	58	0.775862	68	1.000000	3.239339	305	0.291803	0.359585	0	0.000000	0.410000	0.472892	
311	0.382637	68	0.044118	57	0.807018	64	0.984375	3.239339	311	0.382637	0.359585	0	0.000000	0.462000	0.472697	
319	0.351097	51	0.098039	58	0.534483	72	0.958333	3.239339	319	0.351097	0.359585	0	0.000000	0.434000	0.472019	
303	0.686469	68	0.102941	75	0.693333	54	1.000000	3.239339	303	0.686469	0.359585	0	0.000000	0.642000	0.474949	
308	0.376623	61	0.098361	67	0.746269	64	1.000000	4.616675	308	0.376623	0.359585	0	0.000000	0.472000	0.474899	
316	0.588608	73	0.041096	55	0.745455	56	0.982143	4.616675	316	0.588608	0.359585	0	0.000000	0.570000	0.476484	
311	0.491961	65	0.076923	63	0.761905	61	1.000000	5.000000	311	0.491961	0.359585	0	0.000000	0.534000	0.477427	
322	0.642857	55	0.145455	60	0.733333	63	0.984127	5.000000	322	0.642857	0.359585	0	0.000000	0.642000	0.480081	
316	0.645570	49	0.020408	70	0.614286	65	0.984615	5.000000	316	0.645570	0.359585	0	0.000000	0.624000	0.482366	
321	0.560748	51	0.039216	58	0.741379	70	1.000000	5.000000	321	0.560748	0.359585	0	0.000000	0.590000	0.484047	
321	0.654206	44	0.090909	72	0.541667	63	0.984127	5.000000	321	0.654206	0.359585	0	0.000000	0.630000	0.486293	
324	0.472222	50	0.120000	72	0.666667	54	1.000000	5.000000	324	0.472222	0.359585	0	0.000000	0.522000	0.486834	
296	0.405405	52	0.153846	71	0.732394	81	0.987654	5.000000	296	0.405405	0.359585	0	0.000000	0.520000	0.487329	
317	0.583596	56	0.035714	57	0.754386	70	0.985714	5.000000	317	0.583596	0.359585	0	0.000000	0.598000	0.488956	
325	0.344615	49	0.040816	61	0.704918	65	1.000000	5.000000	325	0.344615	0.359585	0	0.000000	0.444000	0.488305	
322	0.242236	53	0.075472	70	0.685714	55	0.981818	5.000000	322	0.242236	0.359585	0	0.000000	0.368000	0.486586	
306	0.444444	73	0.123288	48	0.645833	73	0.986301	5.000000	306	0.444444	0.359585	0	0.000000	0.496000	0.486719	
315	0.342857	48	0.104167	68	0.676471	69	1.000000	5.000000	315	0.342857	0.359585	0	0.000000	0.456000	0.486292	
329	0.340426	46	0.065217	54	0.740741	71	0.985915	5.000000	329	0.340426	0.359585	0	0.000000	0.450000	0.485795	
320	0.590625	61	0.131148	60	0.766667	59	0.932203	5.000000	320	0.590625	0.359585	0	0.000000	0.596000	0.487284	
300	0.396667	63	0.095238	72	0.722222	65	0.953846	5.000000	300	0.396667	0.359585	0	0.000000	0.478000	0.487160	
307	0.553746	70	0.228571	56	0.767857	67	1.000000	5.000000	307	0.553746	0.359585	0	0.000000	0.592000	0.488540	
332	0.313253	55	0.072727	52	0.711538	61	1.000000	5.000000	332	0.313253	0.359585	0	0.000000	0.412000	0.487546	
303	0.577558	46	0.065217	80	0.800000	71	1.000000	5.000000	303	0.577558	0.359585	0	0.000000	0.626000	0.489321	
319	0.394984	65	0.076923	73	0.589041	43	0.976744	5.000000	319	0.394984	0.359585	0	0.000000	0.432000	0.488595	
313	0.383387	63	0.079365	62	0.774194	62	0.935484	5.000000	313	0.383387	0.359585	0	0.000000	0.462000	0.488263	
305	0.291803	67	0.044776	61	0.557377	67	0.985075	5.000000	305	0.291803	0.359585	0	0.000000	0.384000	0.486976	
328	0.228659	57	0.052632	53	0.603774	62	0.983871	5.000000	328	0.228659	0.359585	0	0.000000	0.342000	0.485208	
314	0.426752	55	0.109091	66	0.530303	65	0.830769	5.000000	314	0.426752	0.359585	0	0.000000	0.458000	0.484880	
329	0.553191	53	0.113208	49	0.571429	69	0.898551	5.000000	329	0.553191	0.359585	0	0.000000	0.556000	0.485727	
312	0.631410	62	0.032258	70	0.528571	56	0.892857	5.000000	312	0.631410	0.359585	0	0.000000	0.572000	0.486741	
327	0.639144	43	0.000000	68	0.514706	62	0.967742	5.000000	327	0.639144	0.359585	0	0.000000	0.608000	0.488151	
321	0.601246	43	0.046512	58	0.551724	78	0.923077	5.000000	321	0.601246	0.359585	0	0.000000	0.598000	0.489414	
334	0.634731	41	0.000000	73	0.602740	52	0.980769	5.000000	334	0.634731	0.359585	0	0.000000	0.614000	0.490830	
315	0.565079	39	0.102564	71	0.521127	75	1.000000	5.000000	315	0.565079	0.359585	0	0.000000	0.588000	0.491922	
321	0.538941	57	0.087719	68	0.382353	54	0.925926	5.000000	321	0.538941	0.359585	0	0.000000	0.508000	0.492100	
311	0.540193	65	0.123077	68	0.544118	56	0.964286	5.000000	311	0.540193	0.359585	0	0.000000	0.534000	0.492561	
306	0.137255	61	0.081967	52	0.865385	81	0.962963	5.000000	306	0.137255	0.359585	0	0.000000	0.340000	0.490902	
312	0.320513	67	0.059701	73	0.698630	48	0.979167	4.125502	312	0.320513	0.359585	0	0.000000	0.404000	0.489968	
319	0.379310	71	0.028169	56	0.517857	54	0.962963	4.125502	319	0.379310	0.359585	0	0.000000	0.408000	0.489096	
303	0.557756	59	0.101695	62	0.790323	76	0.921053	4.125502	303	0.557756	0.359585	0	0.000000	0.588000	0.490137	
325	0.332308	64	0.125000	42	0.714286	69	0.971014	5.000000	325	0.332308	0.359585	0	0.000000	0.426000	0.489469	
328	0.167683	62	0.129032	51	0.823529	59	0.915254	5.000000	328	0.167683	0.359585	0	0.000000	0.318000	0.487701	
297	0.430976	68	0.029412	81	0.679012	54	0.962963	3.797191	297	0.430976	0.359585	0	0.000000	0.474000	0.487561	
322	0.440994	54	0.111111	56	0.767857	68	1.000000	5.000000	322	0.440994	0.359585	0	0.000000	0.518000	0.487869	
318	0.663522	59	0.084746	51	0.627451	72	0.986111	5.000000	318	0.663522	0.359585	0	0.000000	0.638000	0.489370	
326	0.306748	52	0.115385	61	0.491803	61	0.918033	5.000000	326	0.306748	0.359585	0	0.000000	0.384000	0.488327	
325	0.240000	59	0.067797	57	0.771930	59	0.983051	5.000000	325	0.240000	0.359585	0	0.000000	0.368000	0.487147	
334	0.083832	48	0.062500	63	0.682540	55	0.890909	5.000000	334	0.083832	0.359585	0	0.000000	0.246000	0.484806	
321	0.224299	56	0.000000	48	0.458333	75	0.960000	2.626943	321	0.224299	0.359585	0	0.000000	0.332000	0.483337	
328	0.192073	34	0.117647	69	0.608696	69	0.985507	2.626943	328	0.192073	0.359585	0	0.000000	0.354000	0.482105	
324	0.283951	53	0.000000	65	0.492308	58	0.965517	2.129886	324	0.283951	0.359585	0	0.000000	0.360000	0.480953	
347	0.239193	34	0.088235	67	0.626866	52	0.961538	2.129886	347	0.239193	0.359585	0	0.000000	0.356000	0.479785	
321	0.280374	46	0.043478	64	0.671875	69	0.985507	2.129886	321	0.280374	0.359585	0	0.000000	0.406000	0.479102	
305	0.344262	59	0.033898	60	0.700000	76	0.960526	2.129886	305	0.344262	0.359585	0	0.000000	0.444000	0.478780	
309	0.391586	70	0.071429	58	0.431034	63	0.920635	2.129886	309	0.391586	0.359585	0	0.000000	0.418000	0.478228	
307	0.664495	65	0.030769	61	0.737705	67	0.955224	2.129886	307	0.664495	0.359585	0	0.000000	0.630000	0.479595	
302	0.552980	62	0.161290	67	0.880597	69	1.000000	2.823585	302	0.552980	0.359585	0	0.000000	0.610000	0.480759	
314	0.605096	59	0.135593	63	0.698413	64	0.953125	4.020012	314	0.605096	0.359585	0	0.000000	0.606000	0.481868	
317	0.372240	57	0.140351	58	0.706897	68	0.970588	4.644352	317	0.372240	0.359585	0	0.000000	0.466000	0.481728	
315	0.463492	49	0.122449	67	0.776119	69	0.927536	4.644352	315	0.463492	0.359585	0	0.000000	0.536000	0.482200	
327	0.351682	58	0.034483	63	0.587302	52	1.000000	5.000000	327	0.351682	0.359585	0	0.000000	0.412000	0.481595	
312	0.266026	60	0.083333	80	0.700000	48	0.958333	5.000000	312	0.266026	0.359585	0	0.000000	0.380000	0.480727	
308	0.136364	61	0.081967	64	0.578125	67	0.925373	5.000000	308	0.136364	0.359585	0	0.000000	0.292000	0.479127	
316	0.439873	54	0.074074	54	0.555556	76	0.855263	4.769306	316	0.439873	0.359585	0	0.000000	0.476000	0.479101	
304	0.236842	60	0.166667	61	0.721311	75	0.973333	5.000000	304	0.236842	0.359585	0	0.000000	0.398000	0.478425	
325	0.243077	63	0.063492	55	0.654545	57	1.000000	5.000000	325	0.243077	0.359585	0	0.000000	0.352000	0.477381	
336	0.294643	66	0.106061	49	0.755102	49	0.979592	5.000000	336	0.294643	0.359585	0	0.000000	0.382000	0.476599	
317	0.179811	55	0.036364	74	0.648649	54	1.000000	5.000000	317	0.179811	0.359585	0	0.000000	0.322000	0.475342	
295	0.488136	68	0.044118	60	0.633333	77	0.974026	2.696829	295	0.488136	0.359585	0	0.000000	0.520000	0.475702	
327	0.730887	44	0.000000	63	0.555556	66	0.939394	3.379236	327	0.730887	0.359585	0	0.000000	0.672000	0.477272	
310	0.174194	55	0.072727	70	0.642857	65	0.953846	5.000000	310	0.174194	0.359585	0	0.000000	0.330000	0.476104	
318	0.433962	53	0.188679	58	0.775862	71	1.000000	4.405458	318	0.433962	0.359585	0	0.000000	0.528000	0.476512	
299	0.264214	67	0.059701	71	0.676056	63	1.000000	4.926340	299	0.264214	0.359585	0	0.000000	0.388000	0.475821	
299	0.391304	63	0.063492	64	0.671875	74	0.972973	4.926340	299	0.391304	0.359585	0	0.000000	0.472000	0.475791	
313	0.501597	64	0.062500	67	0.492537	56	0.892857	4.926340	313	0.501597	0.359585	0	0.000000	0.488000	0.475885	
321	0.573209	44	0.136364	66	0.424242	69	0.985507	5.000000	321	0.573209	0.359585	0	0.000000	0.572000	0.476619	
