"","WAIC","SE","dWAIC","dSE","pWAIC","weight"
"frequency_null",171.569616749225,13.8547841202514,0,NA,2.35543566780858,0.74017611859053
"frequency_strength",174.613078834224,14.4812570330408,3.04346208499825,1.08931806608842,3.94152835803337,0.161605327618099
"frequency_strength_randint",176.60988334634,13.1802621305852,5.04026659711491,6.30311116093412,9.10326393266482,0.0595463414567233
"frequency_strength_randintslopes",177.792874783874,16.55522044835,6.22325803464858,12.2226294685098,15.6652581879189,0.0329588277526621
"frequency_strength_randslopes",181.297769872237,18.4434055067267,9.72815312301211,10.1476515856597,11.9027899352661,0.00571338458198547
