"mFMmFF","mMFmFF","mMMmFF","mMFmFM","mMMmFM","mMMmMF","Glottocode"
1,1,1,1,1,1,"abui1241"
0,1,0,0,1,0,"ache1246"
0,1,0,0,1,0,"achi1257"
0,1,0,0,1,0,"achu1249"
1,1,1,1,1,1,"adan1251"
0,0,0,0,1,0,"adny1235"
0,1,0,0,1,0,"afri1274"
0,1,0,0,1,0,"aghu1253"
1,1,1,1,1,1,"agob1244"
0,1,0,0,1,0,"agua1253"
1,1,1,1,1,1,"ahin1234"
0,1,0,0,1,0,"akla1241"
0,1,0,0,1,0,"alan1249"
0,1,0,0,1,0,"alba1267"
0,1,0,0,1,0,"algo1255"
0,0,0,0,0,0,"alya1239"
0,1,0,0,1,0,"amis1246"
0,1,0,0,1,0,"ampi1237"
0,1,0,0,1,0,"anam1249"
0,0,0,0,0,0,"anci1242"
0,1,0,0,1,0,"anei1239"
0,1,0,0,1,0,"anga1316"
0,1,0,0,0,0,"aniw1237"
1,1,1,1,1,1,"anut1237"
0,0,1,0,0,0,"arab1267"
0,0,1,0,0,0,"arab1267a"
1,1,1,1,1,1,"arak1252"
0,1,0,0,1,0,"araw1273"
1,1,1,1,1,1,"area1240"
0,1,0,0,1,0,"arik1262"
0,1,0,0,1,0,"aser1237"
0,0,0,0,1,0,"assa1263"
0,1,0,0,1,0,"assi1247"
0,1,0,0,1,0,"asut1235"
0,0,0,0,0,0,"atam1239"
0,1,0,0,1,0,"atay1247"
1,1,1,1,1,1,"atch1238"
0,1,0,0,1,0,"atta1244"
0,1,0,0,1,0,"avat1244"
0,1,0,0,1,0,"awet1244"
0,0,0,0,0,0,"ayiw1239"
0,1,0,0,1,0,"baca1243"
1,1,1,1,1,1,"badi1246"
0,1,0,0,1,0,"baff1241"
1,1,1,1,1,1,"baho1237"
1,1,1,1,1,1,"bala1310"
0,1,0,0,1,0,"bala1314"
0,1,0,0,1,0,"bali1278"
0,0,0,0,0,0,"balo1260"
1,1,1,1,1,1,"balu1257"
0,1,0,0,1,0,"band1339"
0,1,0,0,1,0,"banj1239"
1,1,1,1,1,1,"bann1247"
0,0,0,0,0,0,"bard1254"
1,1,1,1,1,1,"bari1288"
0,1,0,0,1,0,"basq1248"
0,1,0,0,1,0,"bata1285"
0,1,0,0,1,0,"bata1289"
0,1,0,0,1,0,"bats1242"
0,1,0,0,1,0,"baub1235"
0,0,0,0,0,0,"bayu1240"
1,1,1,1,1,1,"beka1241"
0,1,0,0,1,0,"bela1254"
1,1,1,1,1,1,"bemb1257"
0,1,0,0,1,0,"bena1262"
1,1,1,1,1,1,"bend1258"
0,1,0,0,1,0,"beng1280"
0,1,0,0,1,0,"bera1259"
0,1,0,0,1,0,"biak1248"
1,1,1,1,1,1,"bier1244"
