"from","to"
"-1 (B FBS FZS MBS MZS)(Z FBD FZD MBD MZD)","9 (eB FBeS FZeS MBeS MZeS)(yB FByS FZyS MByS MZyS)(eZ FBeD FZeD MBeD MZeD)(yZ FByD FZyD MByD MZyD)"
"-1 (B FBS MZS)(Z FBD FZD)(FZS FZD)(FZD MBD)","14 (eB FBeS MZeS) (yB FByS MZyS)(eZ FBeD MZeD)(yZ FByD MZyD)(FZS MBS) (FZD MBD)"
"-1 (B FBS MZS)(Z FBD FZD)(FZS FZD)(FZD MBD)","4 B Z (FBS FBD MZD MZD)(FZS FZD MBS MBD)"
"-1 (B Z FBS FBD FZS FZD MBS MBD ZS MZD)","-1 (B FBS FZS MBS MZS)(Z FBD FZD MBD MZD)"
"-1 (B Z FBS FBD FZS FZD MBS MBD ZS MZD)","2 X //"
"-1 (B Z FBS FBD FZS FZD MBS MBD ZS MZD)","5 (B Z)(FBS FZS MBS MZS FBD FZD MBD MZD)"
"-1 X // (FBS FBD MZS MZD)(FZS FZD MBS MBD)","0 X // (FZS FZD MBS MBD)"
"0 X // (FZS FZD MBS MBD)","1 X e// y// (FZS FZD MBS MBD)"
"10 B Z (FBS FZS MBS MZS FBD FZD MBD MZD)","11 eB yB eZ yB (FBS FZS MBS MZS FBD FZD MBD MZD)"
"10 B Z (FBS FZS MBS MZS FBD FZD MBD MZD)","4 B Z (FBS FBD MZD MZD)(FZS FZD MBS MBD)"
"10 B Z (FBS FZS MBS MZS FBD FZD MBD MZD)","7 B Z (FBS FZS MBS MZS)(FBD FZD MBD MZD)"
"11 eB yB eZ yB (FBS FZS MBS MZS FBD FZD MBD MZD)","8 eB yB eZ yB (FBS FZS MBS MZS)(FBD FZD MBD MZD)"
"12 eB eZ yG (FBS FZS MBS MZS FBD FZD MBD MZD)","11 eB yB eZ yB (FBS FZS MBS MZS FBD FZD MBD MZD)"
"13 eG yG (FBS FZS MBS MZS FBD FZD MBD MZD)","12 eB eZ yG (FBS FZS MBS MZS FBD FZD MBD MZD)"
"2 X //","0 X // (FZS FZD MBS MBD)"
"2 X //","3 X e// y//"
"2 X //","6 X // (FBS FZS MBS MZS FBD FZD MBD MZD)"
"3 X e// y//","1 X e// y// (FZS FZD MBS MBD)"
"5 (B Z)(FBS FZS MBS MZS FBD FZD MBD MZD)","10 B Z (FBS FZS MBS MZS FBD FZD MBD MZD)"
"5 (B Z)(FBS FZS MBS MZS FBD FZD MBD MZD)","13 eG yG (FBS FZS MBS MZS FBD FZD MBD MZD)"
"6 X // (FBS FZS MBS MZS FBD FZD MBD MZD)","-1 X // (FBS FBD MZS MZD)(FZS FZD MBS MBD)"
"7 B Z (FBS FZS MBS MZS)(FBD FZD MBD MZD)","15 B Z FBS FBD FZS FZD MZS MZD MBS MBD"
"7 B Z (FBS FZS MBS MZS)(FBD FZD MBD MZD)","8 eB yB eZ yB (FBS FZS MBS MZS)(FBD FZD MBD MZD)"
"9 (eB FBeS FZeS MBeS MZeS)(yB FByS FZyS MByS MZyS)(eZ FBeD FZeD MBeD MZeD)(yZ FByD FZyD MByD MZyD)",NA
"14 (eB FBeS MZeS) (yB FByS MZyS)(eZ FBeD MZeD)(yZ FByD MZyD)(FZS MBS) (FZD MBD)",NA
"4 B Z (FBS FBD MZD MZD)(FZS FZD MBS MBD)",NA
"1 X e// y// (FZS FZD MBS MBD)",NA
"8 eB yB eZ yB (FBS FZS MBS MZS)(FBD FZD MBD MZD)",NA
"15 B Z FBS FBD FZS FZD MZS MZD MBS MBD",NA
