,feature,importance
0,39,0.03309370694105838
1,3,0.03299526957111449
2,14,0.03084001600717158
3,20,0.029640426166168382
4,59,0.029598166365582865
5,54,0.029156309136433592
6,46,0.029134815079709005
7,9,0.02714658610345304
8,65,0.024764352908722916
9,38,0.022941057272828677
10,0,0.022508293935417988
11,34,0.022337310448585394
12,21,0.021611944555326102
13,49,0.02159223453371088
14,27,0.021184737214858328
15,51,0.020955950105124774
16,60,0.02076803933177954
17,44,0.02047773980352487
18,19,0.020254384091694156
19,10,0.019023402423939892
20,55,0.018804742292252857
21,6,0.018750202403409126
22,15,0.018084303778631468
23,4,0.017758578750283742
24,45,0.017097187513963122
25,40,0.017030679400156745
26,64,0.016957863875647714
27,13,0.01693686267113117
28,58,0.016784161109261057
29,18,0.015019779311698485
30,12,0.014625172393417455
31,37,0.013960984417459037
32,1,0.013627757852771549
33,7,0.012162558663039627
34,57,0.011930261937760383
35,8,0.011870082831072833
36,17,0.011858846291045765
37,33,0.011767342769749643
38,2,0.01156754867403268
39,52,0.011361788498551812
40,11,0.0109305069540716
41,61,0.010670105724564288
42,24,0.010360389292587657
43,25,0.009944145050555978
44,56,0.009785988108001015
45,43,0.009707495633383868
46,53,0.009606547051981168
47,63,0.009469978695398904
48,16,0.009186841489683836
49,50,0.009044892115050636
50,28,0.00885257700013362
51,32,0.008584211083551693
52,5,0.008436818616872758
53,36,0.00827830299547206
54,31,0.007774535216712595
55,48,0.007597052113975097
56,30,0.007460384597428915
57,42,0.007369174571718044
58,41,0.006425760702786069
59,22,0.006270927100326269
60,29,0.006137427782263317
61,62,0.0059855681042959
62,23,0.005192861145895771
63,47,0.0048599798341014445
64,26,0.0022082223580613108
65,35,0.0018778592295840809
