,glottocode,label_,outlier_prob,cluster_prob,x,y
30,bena1262,2,,0.0,-1.0451207567374978,-0.8593949431647316
31,beng1280,-1,0.0,0.0,2.0487876778142295,1.245032492418852
32,bera1259,0,0.0,1.0,0.8271163234467992,-2.3131143371610676
33,bezh1248,6,0.0,1.0,1.3683996064665023,0.5592392770367908
34,biha1245,8,0.0,1.0,-0.2481775514655428,-0.20254914762315349
35,bila1255,0,0.0,1.0,0.14362126049930515,-1.6894688494146275
36,biri1256,6,0.0,1.0,1.55598374248705,1.5312164091708267
37,bitt1240,6,0.0,1.0,-0.3684149929304904,-0.9726209689703825
38,bret1244,6,0.0,1.0,1.9622433798510217,0.022671353380141288
39,budu1248,0,0.0,1.0,2.1681742535003785,-1.2800072906889153
40,buku1249,-1,0.5,0.0,-1.806624421883112,-0.06596425366272397
41,bulg1262,6,0.0,1.0,1.6126412210679457,-0.5920239078887765
42,cent1972,7,0.0,1.0,-0.9846850528428368,1.0790621758870496
43,cent2142,0,0.0,1.0,1.8254212873260327,-1.3341386838876248
44,cham1309,6,0.0,1.0,-0.05146652592112921,-0.8659931866783993
45,chen1255,-1,0.0,0.0,-0.5289084186647941,2.2021771385040516
46,chib1270,1,0.0,1.0,2.508066249248264,-1.4509468886348333
47,chim1301,-1,0.25000000000000006,0.0,0.443961812079751,2.1845476398757717
48,chip1261,6,0.0,1.0,1.112801991346682,-0.8805263304192428
49,chir1284,0,0.0,1.0,1.1671551164634733,-1.653178520832383
50,chok1245,-1,0.07692307692307682,0.0,-2.3097518184405414,-0.40250069677629563
51,chur1257,6,0.0,1.0,1.862774811597261,-0.3512180247718958
52,cint1239,3,0.0,1.0,-0.08216772954207038,1.1728916401886575
53,coca1259,-1,0.25,0.0,-1.6819173970066867,-2.287860056357441
54,cofa1242,6,0.0,1.0,1.6063924774758807,0.950222700574809
55,coma1245,7,0.0,1.0,-0.484206242504121,1.109320686799837
56,corn1251,6,0.0,1.0,1.8178032615583366,0.2306214334797439
57,cube1242,3,0.0,1.0,-1.5448147261489769,1.1453245406442645
58,czec1258,-1,0.0,0.0,0.11314724427503671,1.2037823940221883
59,dand1238,-1,0.5,0.0,-1.7479008411765014,-0.8852283814087505
60,dani1285,6,0.0,1.0,1.93809395543941,0.5900146205143059
61,dari1249,8,0.0,1.0,-0.1783390434925106,0.2827098893334604
62,dhar1248,4,0.0,1.0,-1.5750257916204526,2.856792784279156
63,ding1239,7,0.0,1.0,0.06701679201585242,-0.5447473316391165
64,dogr1252,2,,0.0,-1.0427692397950263,-1.0984524444344537
65,dutc1256,6,0.0,1.0,1.076689510432537,0.8070051868035363
66,east1436,6,0.0,1.0,1.3543373801111975,-0.9641118768080443
67,east2283,6,0.0,1.0,1.496002089096543,0.24400830083178898
68,east2295,6,0.0,1.0,1.2996233710699163,-0.28802519817372113
69,east2328,6,0.0,1.0,1.019625438515264,1.3708304668518903
70,east2447,-1,0.25,0.0,-2.2185974411245657,-1.2531528615193566
71,east2555,4,0.0,1.0,-1.9224989038716902,-2.3384998624744355
72,ekon1238,2,,0.0,1.5644632783835513,0.10624662385177915
73,erzy1239,6,0.0,1.0,0.21754019210715064,0.7892297198684708
74,esto1258,6,0.0,1.0,0.6818385592403943,0.888149538361219
75,finn1318,6,0.0,1.0,0.8815552955307536,0.69488499263292
76,fris1239,0,0.0,1.0,0.8768616627346839,-1.8180191279090998
77,gand1255,4,0.0,1.0,-2.029659078754959,-0.09146859940127386
78,ghod1238,6,0.0,1.0,0.6865059297845569,-0.5347435727205702
79,giga1238,-1,0.0,0.0,0.40147025874020714,-0.14805354989082128
80,giry1241,7,0.0,1.0,-1.7519063803548338,1.5134495819626819
81,gogo1263,2,,0.0,1.8152497532603447,-0.7478235839699958
82,guja1252,8,0.0,1.0,0.18150737053359972,1.3236276303237562
83,gusi1247,-1,0.0,0.0,-0.6306259371038608,1.119275252864193
84,haus1257,6,0.0,1.0,0.20601940174108727,0.11347066943951101
85,hawa1245,6,0.0,1.0,-1.8056349716328184,-1.1362107098070495
86,haya1250,-1,0.07692307692307682,0.0,-2.2852314333986037,-0.8944350324549964
87,hehe1240,-1,0.07692307692307682,0.0,-2.9014765176613055,-0.10303689637932208
88,here1253,6,0.0,1.0,-0.8640541975863878,0.07550612514636729
89,hidd1238,6,0.0,1.0,0.8499411083996276,-1.2220939990545976
90,hind1269,8,0.0,1.0,-0.2637639177816728,0.4447143694428718
91,hinu1240,6,0.0,1.0,1.0593270134891344,-0.06012644748823221
92,homs1234,6,0.0,1.0,1.277722527925266,0.19636881491233266
93,hung1274,6,0.0,1.0,2.2213254760532624,0.011286192382625362
94,hunz1247,6,0.0,1.0,1.0396304947184896,-0.04951031735944868
95,hupa1239,-1,0.20000000000000004,0.0,-0.9532300828929204,2.8134698882073934
96,icel1247,6,0.0,1.0,2.135505358283089,-0.03809283080790232
97,igna1246,0,0.0,1.0,0.7149859994452719,-1.5238519541749809
98,ingu1240,6,0.0,1.0,0.1314717801753003,-0.9469995797641431
99,inxo1238,6,0.0,1.0,1.3446879753340857,-0.15794757338960555
100,iris1253,6,0.0,1.0,1.7433896758923266,1.8550478431014323
101,ital1282,0,0.0,1.0,1.46363833046761,-1.4774701886464974
102,iton1250,6,0.0,1.0,-0.5012979618691438,-1.2911094035482482
103,itsa1239,0,0.0,1.0,1.9466113989564666,-1.6517141001992797
104,jama1262,6,0.0,1.0,2.6168422070013886,1.635202567686251
105,jica1244,-1,0.42857142857142855,0.0,-1.869511616263076,1.0616352975934251
106,jude1256,0,0.0,1.0,2.215662584690357,-1.27939864009863
107,juru1256,-1,0.07692307692307682,0.0,-2.485345037794157,0.4286015819615083
108,kagu1239,2,0.0,1.0,-2.9380243089573232,-0.776794697314944
109,kaiw1246,3,0.0,1.0,-2.453886550636032,-0.552318102770338
110,kalk1246,2,0.0,1.0,-3.522386085475145,1.221984534095507
111,kamb1297,-1,0.25,0.0,-0.05177611872487734,-3.3523019515831334
112,kaon1241,-1,0.33333333333333326,0.0,-1.1122197392414221,-2.4920976080646087
113,kapi1249,-1,0.625,0.0,-2.5382511445995153,-3.2525009107100504
114,kara1476,-1,0.0,0.0,-1.6693610966223364,2.121374072800045
115,karo1304,0,0.0,1.0,1.0215202438636142,-1.8101343901291211
116,kart1247,4,0.0,1.0,-2.2352673128900755,1.7854774391722519
117,kash1277,8,0.0,1.0,0.9299719055856186,1.8059125963091982
118,kaza1248,8,0.0,1.0,0.38252630633125284,1.3143988909642745
119,khan1273,6,0.0,1.0,1.818204959933283,2.6685202555889513
120,kiow1264,4,0.0,1.0,-1.8866364201175556,-0.6512466864151711
121,komi1268,6,0.0,1.0,1.1031989998682408,-0.5563068614189232
