"mFMmFF","mMFmFF","mMMmFF","mMFmFM","mMMmFM","mMMmMF","Glottocode"
0.636363636363636,0,0.636363636363636,0.636363636363636,0,0.636363636363636,"ache1246"
0.75,0.875,0.75,0.75,0,0.75,"adny1235"
0.272727272727273,0,0.272727272727273,0.272727272727273,0,0.272727272727273,"afri1274"
0.4,0,0.4,0.4,0,0.4,"aghu1253"
0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,"agua1253"
0.125,0,0.125,0.125,0,0.125,"akhv1239"
0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,"alba1267"
0.4,0.5,0.4,0.7,0.5,0.6,"alya1239"
0.75,0,0.75,0.75,0,0.75,"amis1246"
0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"anam1249"
0.2,0.2,0.4,0.4,0.2,0.2,"anci1242"
0.25,0,0.25,0.25,0,0.25,"ancu1238"
0.3,0,0.3,0.3,0,0.3,"anda1281"
0.3,0,0.3,0.3,0,0.3,"andi1255"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"anga1316"
0.75,0.625,0,0.375,0.75,0.625,"arab1267"
0.8,0,0.8,0.8,0,0.8,"araw1273"
0.2,0,0.2,0.2,0,0.2,"arch1244"
1,0.2,1,0.8,0,0.8,"assa1263"
0.5,0,0.5,0.5,0,0.5,"asut1235"
0.8,0,0.8,0.8,0,0.8,"atay1247"
0.428571428571429,0,0.428571428571429,0.428571428571429,0,0.428571428571429,"avar1256"
0.125,0,0.125,0.125,0,0.125,"aves1237"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"awet1244"
0.3,0,0.3,0.3,0,0.3,"ayor1240"
0,0,0,0,0,0,"badi1246"
0.125,0,0.125,0.125,0,0.125,"bagv1239"
0.25,0.5,0.75,0.75,0.5,0.25,"balo1260"
0.6,0,0.6,0.6,0,0.6,"band1339"
0.4,0,0.4,0.4,0,0.4,"bari1297"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"basq1248"
0.307692307692308,0,0.307692307692308,0.307692307692308,0,0.307692307692308,"bata1285"
0.181818181818182,0,0.181818181818182,0.181818181818182,0,0.181818181818182,"batl1238"
0.857142857142857,0,0.857142857142857,0.857142857142857,0,0.857142857142857,"bats1242"
0.555555555555556,0.444444444444444,0.777777777777778,0.444444444444444,0.555555555555556,0.666666666666667,"bayu1240"
1,0,1,1,0,1,"bela1254"
0,0,0,0,0,0,"bemb1257"
1,0,1,1,0,1,"bena1262"
0,0,0,0,0,0,"bend1258"
0.818181818181818,0.818181818181818,0.272727272727273,0.909090909090909,0.818181818181818,0.727272727272727,"beng1280"
0.25,0,0.25,0.25,0,0.25,"bera1259"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"bezh1248"
0.25,0.5,0.75,0.75,0.5,0.25,"biha1245"
0.25,0,0.25,0.25,0,0.25,"bila1255"
0.25,0.5,0.75,0.75,0.5,0.25,"birh1242"
0.6,0,0.6,0.6,0,0.6,"biri1256"
0.428571428571429,0,0.428571428571429,0.428571428571429,0,0.428571428571429,"bitt1240"
0.555555555555556,0,0.666666666666667,0.555555555555556,0.111111111111111,0.666666666666667,"bret1244"
0.888888888888889,0,0.888888888888889,0.888888888888889,0,0.888888888888889,"budu1248"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"buku1249"
0.8,0,0.8,0.8,0,0.8,"bulg1262"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"bunu1267"
0,0,0,0,0,0,"bush1247"
0,0.8,0.6,0.8,0.6,1,"cahu1264"
1,0,1,1,0,1,"cayu1262"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"cent1972"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"cent2142"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"chac1249"
0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,"cham1309"
0.7,0,0.5,0.7,0.5,0.5,"chen1255"
0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,"chib1270"
0.428571428571429,0,0.428571428571429,0.428571428571429,0,0.428571428571429,"chip1261"
0.125,0,0.125,0.125,0,0.125,"chip1262"
0.555555555555556,0,0.555555555555556,0.555555555555556,0,0.555555555555556,"chir1284"
1,0,1,1,0,1,"chur1257"
1,0,1,1,0,1,"cint1239"
0.75,0,0.75,0.75,0,0.75,"clas1250"
0.75,0,0.75,0.75,0,0.75,"coca1259"
0.8,0.8,0.6,0.8,0.6,0.6,"coco1261"
0.384615384615385,0,0.384615384615385,0.384615384615385,0,0.384615384615385,"cofa1242"
0.6,0,0.6,0.6,0,0.6,"colo1249"
0.4,0.8,0.4,0.6,0,0.6,"coma1245"
1,1,1,0.375,0,0.375,"corn1251"
0.25,0,0.25,0.25,0,0.25,"cube1242"
0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,"cupe1243"
0.857142857142857,0,0.857142857142857,0.857142857142857,0,0.857142857142857,"czec1258"
0.75,0.75,0.5,1,0.75,0.5,"dand1238"
0.222222222222222,0,0.222222222222222,0.222222222222222,0,0.222222222222222,"dani1285"
0.181818181818182,0,0.181818181818182,0.181818181818182,0,0.181818181818182,"dari1249"
0.666666666666667,0.666666666666667,0.777777777777778,0.555555555555556,0.444444444444444,0.555555555555556,"darl1243"
0.833333333333333,1,0.833333333333333,1,0.833333333333333,0.666666666666667,"dhar1248"
0.666666666666667,0.666666666666667,0,1,0.666666666666667,0.666666666666667,"dhuw1249"
1,0,0.75,1,0.375,0.75,"dier1241"
0.6,0,0.6,0.6,0,0.6,"digo1243"
0.5,0.916666666666667,0.5,0.666666666666667,0,0.666666666666667,"ding1239"
0.666666666666667,0.666666666666667,0,1,0.666666666666667,0.666666666666667,"djam1256"
0.888888888888889,0.888888888888889,0.666666666666667,0,0.666666666666667,0.666666666666667,"djin1253"
1,0,1,1,0,1,"dogr1252"
0.142857142857143,0.0714285714285714,0.142857142857143,0.214285714285714,0,0.214285714285714,"dual1243"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"dutc1256"
0.6,0.8,0.6,0.4,0.8,1,"dyir1250"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"east1436"
0.4,0,0.4,0.4,0,0.4,"east2283"
0.8,0,0.8,0.8,0,0.8,"east2295"
0,0,0,0,0,0,"east2447"
0.8,0,0.8,0.8,0,0.8,"east2555"
