Glottocode,mFF,mFM,mMF,mMM,wFF,wFM,wMF,wMM
olde1238,ealdefæder,ealdemōdor,ealdefæder,ealdemōdor,ealdefæder,ealdemōdor,ealdefæder,ealdemōdor
oldh1241,ano,ana,ano,ana,ano,ana,ano,ana
oldi1245,senathair,senmáthair,senathair,senmáthair,senathair,senmáthair,senathair,senmáthair
oldn1244,foður-faðir,foður-mōðir,foður-faðir,foður-mōðir,foður-faðir,foður-mōðir,foður-faðir,foður-mōðir
oldw1239,hendad,henfam,hendad,henfam,hendad,henfam,hendad,henfam
onaa1245,hòu,hòn,hòu,hòn,hòu,hòn,hòu,hòn
onto1237,kipuŋa,kipuŋa,kipuŋa,kipuŋa,kipuŋa,kipuŋa,kipuŋa,kipuŋa
opat1246,nopao,cariguat,paogua,xüguat,nopao,cariguat,paogua,xüguat
oriy1255,jeje-bapa,gunsai-mā,ajja,āī,jeje-bapa,gunsai-mā,ajja,āī
osse1243,fydyfyd,styrmad,madyfyd,styrmad,fydyfyd,styrmad,madyfyd,styrmad
paez1247,tata-wala,mama-wala,tata-wala,mama-wala,tata-wala,mama-wala,tata-wala,mama-wala
pali1274,paatta,paatti,paatta,paatti,paatta,paatti,paatta,paatti
pana1305,künu,huttsi,toko,kaku,künu,huttsi,toko,kaku
panj1256,dādā,dadi,nānā,nānī,dādā,dadi,nānā,nānī
para1311,taita,ǰa'rɨi,taita,ǰa'rɨi,taita,ǰa'rɨi,taita,ǰa'rɨi
pash1269,nikә,nyɑ,nikә,nyɑ,nikә,nyɑ,nikә,nyɑ
paus1244,-ä́mäi,-ári,-ä́mäi,-ári,-ä́mäi,-ári,-ä́mäi,-ári
penr1237,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
phai1238,ʔawcɔŋ,mɛ:cɔŋ,ʔawcɔŋ,mɛ:cɔŋ,ʔawcɔŋ,mɛ:cɔŋ,ʔawcɔŋ,mɛ:cɔŋ
phen1239,khaga,khaga,khaga,khaga,khaga,khaga,khaga,khaga
pila1245,l-a'penaʔ,le-kote,l-a'penaʔ,le-kote,l-a'penaʔ,le-kote,l-a'penaʔ,le-kote
pint1250,tartarta,kami,tartarta,kami,tartarta,kami,tartarta,kami
pitj1243,amu,kami,amu,kami,amu,kami,amu,kami
pitt1247,ngartarta,ngathanha,ngathanha,kanyini,ngartarta,ngathanha,ngathanha,kanyini
polc1243,jer,jer,jer,jer,jer,jer,jer,jer
poli1260,dziadek,babka,dziadek,babka,dziadek,babka,dziadek,babka
port1283,avô,avó,avô,avó,avô,avó,avô,avó
prus1238,tētis,anē,tētis,anē,tētis,anē,tētis,anē
puel1244,baya,deʔe,baya,deʔe,baya,deʔe,baya,deʔe
puin1248,-dom,-an,-dom,-an,-dom,-an,-dom,-an
pume1238,hada-mãĩ,hanĩ,hada-mãĩ,hanĩ,hada-mãĩ,hanĩ,hada-mãĩ,hanĩ
puyu1239,tumoan,tumoan,tumoan,tumoan,tumoan,tumoan,tumoan,tumoan
qawa1238,yersas,ḳyewo-seles,yersas,ḳyewo-seles,yersas,ḳyewo-seles,yersas,ḳyewo-seles
quec1382,napáw,namáw,nakwéw,nakyéw,napáw,namáw,nakwéw,nakyéw
rapa1244,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
renn1242,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
rita1239,maari,muumu,ngathi,maari,maari,muumu,ngathi,maari
roma1327,bunic-moş,bunicǎ-moaşǎ,bunic-moş,bunicǎ-moaşǎ,bunic-moş,bunicǎ-moaşǎ,bunic-moş,bunicǎ-moaşǎ
rund1242,sogókuru,sogókuru,nyogókuru,nyogókuru,sogókuru,sogókuru,nyogókuru,nyogókuru
russ1263,dedushka,babushka,dedushka,babushka,dedushka,babushka,dedushka,babushka
saaa1240,weuwe,pwaapwa,weuwe,pwaapwa,weuwe,pwaapwa,weuwe,pwaapwa
samo1305,tamā,tinā,tamā,tinā,tamā,tinā,tamā,tinā
sana1298,setaʔeŋak,seemaʔeŋak,setaʔeŋak,seemaʔeŋak,setaʔeŋak,seemaʔeŋak,setaʔeŋak,seemaʔeŋak
sang1330,kuuku,papa,kuuku,papa,kuuku,papa,kuuku,papa
sans1269,pitāmaha,pitāmahī,mātāmaha,mātāmahī,pitāmaha,pitāmahī,mātāmaha,mātāmahī
sans1272,nkaka,nkaka,nkaka,nkayi,nkaka,nkaka,nkaka,nkayi
sard1257,mannu,donnumannua,mannu,mannai,mannu,donnumannua,mannu,mannai
sate1242,bääsebaabe,bääsje,bääsebaabe,bääsje,bääsebaabe,bääsje,bääsebaabe,bääsje
selk1253,ilʸčʸa,imɨlʸa,ilʸčʸa,imɨlʸa,ilʸčʸa,imɨlʸa,ilʸčʸa,imɨlʸa
serb1264,ded,baba,ded,baba,ded,baba,ded,baba
seri1257,-apaš,-akt,-apaš,-akt,-apaš,-akt,-apaš,-akt
serr1255,ka',-kak-,kwaari',čuuri',ka',-kak-,kwaari',čuuri'
shas1239,atsmo,atsmo,akwit,atcidi,atsmo,atsmo,akwit,atcidi
shii1238,shakulu,mugaaka,shakulu,mugaaka,shakulu,mugaaka,shakulu,mugaaka
shin1265,qʼux̌dudid,qʼaˤsdɨnin,qʼux̌dudid,qʼaˤsdɨnin,qʼux̌dudid,qʼaˤsdɨnin,qʼux̌dudid,qʼaˤsdɨnin
ship1254,papayósi,títayoshan,yósishoco,títayoshan,papayósi,títayoshan,yósishoco,títayoshan
shos1248,kïnu,kaku,toko,hucci,kïnu,kaku,toko,hucci
sind1272,dāḍo,ḍāḍī,nāno,nānī,dāḍo,ḍāḍī,nāno,nānī
sinh1246,siiya,aachchi,siiya,aachchi,siiya,aachchi,siiya,aachchi
sion1247,kʷˀe-kˀɨ,kʷˀe-kˀo[awera],kʷˀe-kˀɨ,kʷˀe-kˀo[awera],kʷˀe-kˀɨ,kʷˀe-kˀo[awera],kʷˀe-kˀɨ,kʷˀe-kˀo[awera]
siri1273,ãmẽĩ̯,ari,ãmẽĩ̯,ari,ãmẽĩ̯,ari,ãmẽĩ̯,ari
slov1268,stârióče,stâramáti,stârióče,stâramáti,stârióče,stâramáti,stârióče,stâramáti
slov1269,starýotec,starámama,starýotec,starámama,starýotec,starámama,starýotec,starámama
soga1242,dhadha,zeiza,dhadha,zeiza,dhadha,zeiza,dhadha,zeiza
song1300,nkuku,nkuku,nkuku,nkuku,nkuku,nkuku,nkuku,nkuku
sout1528,deda,baba,deda,baba,deda,baba,deda,baba
sout2866,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
sout2959,ehtsíe,ehtsų,ehtsíe,ehtsų,ehtsíe,ehtsų,ehtsíe,ehtsų
sout2976,ge'taat,ge'naan,ge'taat,ge'naan,ge'taat,ge'naan,ge'taat,ge'naan
stan1288,abuelo,abuela,abuelo,abuela,abuelo,abuela,abuelo,abuela
stan1289,avi,àvia,avi,àvia,avi,àvia,avi,àvia
stan1290,grand-père,grand-mère,grand-père,grand-mère,grand-père,grand-mère,grand-père,grand-mère
stan1293,grandfather,grandmother,grandfather,grandmother,grandfather,grandmother,grandfather,grandmother
stan1295,großvater,großmutter,großvater,großmutter,großvater,großmutter,großvater,großmutter
suku1259,kaakha,kaakha,kaakha,kaakha,kaakha,kaakha,kaakha,kaakha
suku1261,guukub,maama,guukub,maama,guukub,maama,guukub,maama
sumb1240,gùùkù,mååmå,gùùkù,mååmå,gùùkù,mååmå,gùùkù,mååmå
suru1262,ãmṍ,móyá,ãmṍ,móyá,ãmṍ,móyá,ãmṍ,móyá
suun1239,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka
swed1254,far-far,far-mor,far-far,far-mor,far-far,far-mor,far-far,far-mor
tahi1242,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
taji1245,bobo,bibi,bobo,bibi,bobo,bibi,bobo,bibi
tami1289,tattā,pāṭṭi,tattā,pāṭṭi,tattā,pāṭṭi,tattā,pāṭṭi
tana1285,bebe,vavy,bebe,vavy,bebe,vavy,bebe,vavy
tapi1254,che-ramyia,che-chanyia,che-ramyia,che-chanyia,che-ramyia,che-chanyia,che-ramyia,che-chanyia
tehu1242,bāy,ḳon,bāy,ḳon,bāy,ḳon,bāy,ḳon
telu1262,pitaamahudu,ammamma,pitaamahudu,naayanamma,pitaamahudu,ammamma,pitaamahudu,naayanamma
temb1276,he-tamúi,zarýi,he-tamúi,zarýi,he-tamúi,zarýi,he-tamúi,zarýi
tenh1241,-amonh-,-jariki,-amonh-,-jariki,-amonh-,-jariki,-amonh-,-jariki
term1237,baik,beik,baik,beik,baik,beik,baik,beik
tete1250,tshe,tshe,tshe,tshe,tshe,tshe,tshe,tshe
tiko1237,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
tivv1240,ter,ngoutamen,teruvesen,ngoutamen,ter,ngoutamen,teruvesen,ngoutamen
tlin1245,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ
toba1269,l-apiʔ,l-kote,l-apiʔ,l-kote,l-apiʔ,l-kote,l-apiʔ,l-kote
toca1235,miamosgee,miamosgee,mirarikee,mirarikee,miamosgee,miamosgee,mirarikee,mirarikee
toda1252,piān,piāv,piān,piāv,piān,piāv,piān,piāv
toho1245,wosk,ka'a,woji,hu'ul,wosk,ka'a,woji,hu'ul
toke1240,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
tolo1259,ame',trene,sagi,su,ame',trene,sagi,su
tong1321,bataatakulu,bamakulu,bataatakulu,bamakulu,bataatakulu,bamakulu,bataatakulu,bamakulu
tong1325,kui,kui,kui,kui,kui,kui,kui,kui
toor1238,senkuru,nyinenkuru,senkuru,nyinenkuru,senkuru,nyinenkuru,senkuru,nyinenkuru
tosk1239,gʸüš,gʸüše,gʸüš,gʸüše,gʸüš,gʸüše,gʸüš,gʸüše
trin1274,-očko,-oc̷e,-očko,-oc̷e,-očko,-oc̷e,-očko,-oc̷e
trum1247,haiei,hatseda,haiei,hatseda,haiei,hatseda,haiei,hatseda
tson1249,kokwane,kokwane,kokwane,kokwane,kokwane,kokwane,kokwane,kokwane
tswa1253,rre-mogolo,mme-mogolo,rre-mogolo,mme-mogolo,rre-mogolo,mme-mogolo,rre-mogolo,mme-mogolo
tuam1242,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
tuba1278,akkaa-,ucuu,aakiš-t,ucuu,akkaa-,ucuu,aakiš-t,ucuu
tuba1279,suu,zuú,su,zuú,suu,zuú,su,zuú
tuca1252,pajkéró,maákó,pajkéró,maúkó,pajkéró,maákó,pajkéró,maúkó
tupi1273,amyia,aryia,amyia,aryia,amyia,aryia,amyia,aryia
tuva1244,tupunatangata,tupunafafine,tupunatangata,tupunafafine,tupunatangata,tupunafafine,tupunatangata,tupunafafine
tuyu1244,yẽ'kɨ̃,yẽ'kõ,yẽ'kɨ̃,yẽ'kõ,yẽ'kɨ̃,yẽ'kõ,yẽ'kɨ̃,yẽ'kõ
udmu1245,pesʸatay,pesʸanay,pesʸatay,pesʸanay,pesʸatay,pesʸanay,pesʸatay,pesʸanay
ukra1253,didús',babusya,didús',babusya,didús',babusya,didús',babusya
ulaw1237,wauwa,pwaapwa,wauwa,pwaapwa,wauwa,pwaapwa,wauwa,pwaapwa
umbu1257,maikulu,sekulu,maikulu,sekulu,maikulu,sekulu,maikulu,sekulu
umpi1239,pula,pa'i,ngatyi,miimi,pula,pa'i,ngatyi,miimi
urdu1245,dādā,dādī,nānā,nānī,dādā,dādī,nānā,nānī
utee1244,kynuni,wyciny,tukuny,kakuny,kynuni,wyciny,tukuny,kakuny
vend1245,makhulu,makhulu,makhulu,makhulu,makhulu,makhulu,makhulu,makhulu
veps1250,uk,ak,uk,ak,uk,ak,uk,ak
vlax1238,dadeskodad,dadeskidei,dadeskodad,dadeskidei,dadeskodad,dadeskidei,dadeskodad,dadeskidei
waga1260,kathukathu,iperi,kuthuthu,iperi,kathukathu,iperi,kuthuthu,iperi
wail1244,al,tcûn,tcugi,tco,al,tcûn,tcugi,tco
waiw1244,∅-φori-n,yɨ-noči,∅-φori-n,yɨ-noči,∅-φori-n,yɨ-noči,∅-φori-n,yɨ-noči
waja1257,kami,kanytyari,kami,kanytyari,kami,kanytyari,kami,kanytyari
wall1255,pér,granméer,pér,granméer,pér,granméer,pér,granméer
wang1290,ilyili,apirla,athata,katnhini,ilyili,apirla,athata,katnhini
wang1291,kaakaa,maamaa,kaarrikaa,miimii,kaakaa,maamaa,kaarrikaa,miimii
waor1240,bæ̃bæ̃,yæ̃yæ̃,bæ̃bæ̃,yæ̃yæ̃,bæ̃bæ̃,yæ̃yæ̃,bæ̃bæ̃,yæ̃yæ̃
wapi1253,ˀdukʰuẓɨɨ,kʰuʔukʰuu,ˀdukʰuẓɨɨ,kʰuʔukʰuu,ˀdukʰuẓɨɨ,kʰuʔukʰuu,ˀdukʰuẓɨɨ,kʰuʔukʰuu
warl1254,kutyukutyu,yaparla,jamirdi,jaja,kutyukutyu,yaparla,jamirdi,jaja
warl1255,kangkuya,ngaputyu,thigh3,shoulder2,kangkuya,ngaputyu,thigh3,shoulder2
waro1242,omofimai,omofinai,omofimai,omofinai,omofimai,omofinai,omofimai,omofinai
waru1265,chin1,appirli,appirli,shoulder2,chin1,appirli,appirli,shoulder2
waur1244,a'tu,a'c̷i,a'tu,a'c̷i,a'tu,a'c̷i,a'tu,a'c̷i
waya1270,-l-amũĩ,yalɨi,-l-amũĩ,yalɨi,-l-amũĩ,yalɨi,-l-amũĩ,yalɨi
wayu1243,ta-tuuši,toušu,ta-tuuši,toušu,ta-tuuši,toušu,ta-tuuši,toušu
wels1247,taid,nain,taid,nain,taid,nain,taid,nain
west1508,aitite,amama,aitite,amama,aitite,amama,aitite,amama
west2369,pedær-e-bozorg,mɑdær-ebozorg,pedær-e-bozorg,mɑdær-ebozorg,pedær-e-bozorg,mɑdær-ebozorg,pedær-e-bozorg,mɑdær-ebozorg
west2386,nānā,dādī,nānā,dādī,nānā,dādī,nānā,dādī
west2615,cìndálé,cìt'cìnéˑ,cìtcóˑ,cìtcóˑ,cìndálé,cìt'cìnéˑ,cìtcóˑ,cìtcóˑ
wich1264,-čo'ti,-kate'la,-čo'ti,-kate'la,-čo'ti,-kate'la,-čo'ti,-kate'la
wikm1247,puulwuut,ngaty,ngaty,kemwayyow,puulwuut,ngaty,ngaty,kemwayyow
wira1262,papiinpal,paathin,ngapun,kuninarrung,papiinpal,paathin,ngapun,kuninarrung
wira1265,muma,kaparli,pakarli,kaparli,muma,kaparli,pakarli,kaparli
wiyo1248,yibitcotc,yidokotck,yibitcotc,yidokotck,yibitcotc,yidokotck,yibitcotc,yidokotck
wulg1239,kupa,kumpu,ngatyi,papi,kupa,kumpu,ngatyi,papi
yaka1272,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀
yala1262,mutyu,papipi,tyatyityi,mutyu,mutyu,papipi,tyatyityi,mutyu
yama1264,ušwam,kuluna,ušwam,kuluna,ušwam,kuluna,ušwam,kuluna
yami1254,akay,akes,akay,akes,akay,akes,akay,akes
yand1253,tyindrra,kami,ngadrra,kanyini,tyindrra,kami,ngadrra,kanyini
yano1262,ãi-wə,ami-wə,ãi-wə,ami-wə,ãi-wə,ami-wə,ãi-wə,ami-wə
yany1243,murimuri,ngapurti,mimi,kuku,murimuri,ngapurti,mimi,kuku
yavi1244,tusimi,siyumi,tusimi,siyumi,tusimi,siyumi,tusimi,siyumi
yeru1240,jejava,jejammo,thato,jamma,jejava,jejammo,thato,jamma
yidi1250,kamin,papim,ngatyim,kumpu,kamin,papim,ngatyim,kumpu
yind1247,maalaarra,kawarli,thami,kantharraarra,maalaarra,kawarli,thami,kantharraarra
yomb1244,yaya,yaya,yaya,yaya,yaya,yaya,yaya,yaya
yort1237,dhamala,dhamala-nhanha,dhamala,dhamala-nhanha,dhamala,dhamala-nhanha,dhamala,dhamala-nhanha
yugu1249,ngathang,kami,ngathang,kami,ngathang,kami,ngathang,kami
yuki1243b,ipik,ipep,ios,idit,ipik,ipep,ios,idit
yulp1239,yapayi,nyamu,nyamu,yapayi,yapayi,nyamu,nyamu,yapayi
yuro1248,nepits,nekuts,nepits,nekuts,nepits,nekuts,nepits,nekuts
yuwa1244,ʰlai,abã,ʰlai,abã,ʰlai,abã,ʰlai,abã
zigu1242,baba,wau,baba,wau,baba,wau,baba,wau
zinz1238,guku,kaaka,guku,kaaka,guku,kaaka,guku,kaaka
zulu1248,babamkulu,mamekulu,babamkulu,makhulu,babamkulu,mamekulu,babamkulu,makhulu
zuni1245,nana,hotta,nana,hotta,nana,hotta,nana,hotta
