Glottocode,mFF,mFM,mMF,mMM,wFF,wFM,wMF,wMM
batl1238,kʼudiyaemen,kʼudiyaebel,kʼudiyaemen,kʼudiyaebel,kʼudiyaemen,kʼudiyaebel,kʼudiyaemen,kʼudiyaebel
bats1242,bāb,q̛aynān,bāb,q̛aynān,bāb,q̛aynān,bāb,q̛aynān
bayu1240,mayili,ngapari,nyami,gantharri,mayili,ngapari,nyami,gantharri
bela1254,dzed,babulja,dzed,babulja,dzed,babulja,dzed,babulja
bemb1257,shikulu,shikulu,shikulu,shikulu,shikulu,shikulu,shikulu,shikulu
bena1262,kuuku,papa,kuuku,papa,kuuku,papa,kuuku,papa
bend1258,kúukú,kúukú,kúukú,kúukú,kúukú,kúukú,kúukú,kúukú
beng1280,nānā,thakur-ma,dādā-moshay,dādī,nānā,thakur-ma,dādā-moshay,dādī
bera1259,tata,taté,tata,taté,tata,taté,tata,taté
bezh1248,abosabo,abosiyo,abosabo,abosiyo,abosabo,abosiyo,abosabo,abosiyo
biha1245,dada,dadi,nana,nani,dada,dadi,nana,nani
bila1255,tata,taté,tata,taté,tata,taté,tata,taté
birh1242,aja,aji,nana,nani,aja,aji,nana,nani
biri1256,ŋadhi,gami,ŋadhi,gami,ŋadhi,gami,ŋadhi,gami
bitt1240,ŋaimara,aimakan,ŋaimara,aimakan,ŋaimara,aimakan,ŋaimara,aimakan
bret1244,tadkoz,mammgozh,tadkoz,mamm-gozh,tadkoz,mammgozh,tadkoz,mamm-gozh
budu1248,qʼusuidmi,dada,qʼusuidmi,dada,qʼusuidmi,dada,кьусуидми,dada
buku1249,kúúka,kuukhu,kúúka,kuukhu,kúúka,kuukhu,kúúka,kuukhu
bulg1262,djado,baba,djado,baba,djado,baba,djado,baba
bunu1267,aki,bai,aki,bai,aki,bai,aki,bai
bush1247,mama,mama,mama,mama,mama,mama,mama,mama
cahu1264,qa',qa',kwa-l,su,qa',qa',kwa-l,su
cayu1262,βaβa,tæk-,βaβa,tæk-,βaβa,tæk-,βaβa,tæk-
cent1972,ba-pir,nanik,ba-pir,nanik,ba-pir,nanik,ba-pir,nanik
cent2142,ačila,awiča,ačila,awiča,ačila,awiča,ačila,awiča
chac1249,aa'ʔapa,aa'mama,aa'ʔapa,aa'mama,aa'ʔapa,aa'mama,aa'ʔapa,aa'mama
cham1309,gošdad,gošēla,gošdad,gošēla,gošdad,gošēla,gošdad,gošēla
chen1255,ta:ta,na:yanamma,ta:ta,ammamma,ta:ta,na:yanamma,ta:ta,ammamma
chib1270,guexica,caca,guexica,caca,guexica,caca,guexica,caca
chip1261,setsíe,setsoné,setsíe,setsoné,setsíe,setsoné,setsíe,setsoné
chip1262,matɲilʸa,matilʸa,matɲilʸa,matilʸa,matɲilʸa,matilʸa,matɲilʸa,matilʸa
chir1284,xaladat̄e,xolabay,xaladat̄e,xolabay,xaladat̄e,xolabay,xaladat̄e,xolabay
chur1257,dědŭ,baba,dědŭ,baba,dědŭ,baba,dědŭ,baba
cint1239,terit,zobyj,terit,zobyj,terit,zobyj,terit,zobyj
clas1250,kohkolli,sistli,kohkolli,sistli,kohkolli,sistli,kohkolli,sistli
coca1259,amui,nai,amui,nai,amui,nai,amui,nai
coco1261,winpa,numa,inkwo,inika,winpa,numa,inkwo,inika
cofa1242,yayakʰašeʔye,mamakʰaše,yayakʰašeʔye,mamakʰaše,yayakʰašeʔye,mamakʰaše,yayakʰašeʔye,mamakʰaše
colo1249,taʰta,mama,taʰta,mama,taʰta,mama,taʰta,mama
coma1245,kïnu',kaku',toko',kaku',kïnu',kaku',toko',kaku'
corn1251,hendas,damawidn,sîrawidn,damawidn,hendas,damawidn,sîrawidn,damawidn
cube1242,ñecu,ñeco,ñecu,ñeco,ñecu,ñeco,ñecu,ñeco
cupe1243,qa,qa,kwa,ʂu,qa,qa,kwa,ʂu
czec1258,dědeček,babička,dědeček,babička,dědeček,babička,dědeček,babička
dand1238,tādō,bāpī,akō,kākō,tādō,bāpī,akō,kākō
dani1285,bedstefar,bedstemor,bedstefar,bedstemor,bedstefar,bedstemor,bedstefar,bedstemor
dari1249,pedarbozorg,mādarbozorg,pedarbozorg,mādarbozorg,pedarbozorg,mādarbozorg,pedarbozorg,mādarbozorg
darl1243,nguulka,kuratya,ngathatya,kanyitya,nguulka,kuratya,ngathatya,kanyitya
dhar1248,bubar,kukuny,ngatyi,kami,bubar,kukuny,ngatyi,kami
dhuw1249,ma:ri,momu,ngathi,ma:ri,ma:ri,momu,ngathi,ma:ri
dier1241,adada,kunninie,adada,kanhini,adada,kunninie,adada,kanhini
digo1243,tsawe,wawa,tsawe,wawa,tsawe,wawa,tsawe,wawa
ding1239,bukobantẛjœm,bukobamukaar,maaŋkaa,bukobamukaar,bukobantẛjœm,bukobamukaar,maaŋkaa,bukobamukaar
djam1256,maari,muumu,ngathi,maari,maari,muumu,ngathi,maari
djin1253,mar'ming,ngatyityi,ngatyityi,midyi,mar'ming,ngatyityi,ngatyityi,midyi
dogr1252,babàcho,ehtsı̨,babàcho,ehtsı̨,babàcho,ehtsı̨,babàcho,ehtsı̨
dual1243,sángóǹambámbe̱,ǹangóǹambámbe̱,sángóambámbe̱,ǹangóǹambámbe̱,sángóǹambámbe̱,ǹangóǹambámbe̱,sángóambámbe̱,ǹangóǹambámbe̱
dutc1256,opa,oma,opa,oma,opa,oma,opa,oma
dyir1250,bulu,babi,ŋagi,gumbu,bulu,babi,ŋagi,gumbu
east1436,bājē,bajyai,bājē,bajyai,bājē,bajyai,bājē,bajyai
east2283,pˀapˀ,tˀatˀ,pˀapˀ,tˀatˀ,pˀapˀ,tˀatˀ,pˀapˀ,tˀatˀ
east2295,zejde,bobe,zejde,bobe,zejde,bobe,zejde,bobe
east2447,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
east2555,t-amɨ̃i-r-amɨ̃i,ǰarɨ,t-amɨ̃i-r-amɨ̃i,ǰarɨ,t-amɨ̃i-r-amɨ̃i,ǰarɨ,t-amɨ̃i-r-amɨ̃i,ǰarɨ
ekon1238,nkökö,nkökönyango,nkökö,nkökönyango,nkökö,nkökönyango,nkökö,nkökönyango
emer1243,tamutsi,tsa'i,tamutsi,tsa'i,tamutsi,tsa'i,tamutsi,tsa'i
enap1235,-əʔnahpən,-nok,-əʔnahpən,-nok,-əʔnahpən,-nok,-əʔnahpən,-nok
erzy1239,bodʸa,sɨr̃ʸebaba,bodʸa,sɨr̃ʸebaba,bodʸa,sɨr̃ʸebaba,bodʸa,sɨr̃ʸebaba
esto1258,wanaisa,wanaema,wanaisa,wanaema,wanaisa,wanaema,wanaisa,wanaema
eyak1241,’uhshiyah,k’inhshiyah,’weeshgashiyah,chuushiyah,’uhshiyah,k’inhshiyah,’weeshgashiyah,chuushiyah
fang1246,mwam,mwam,mwam,mwam,mwam,mwam,mwam,mwam
fefe1239,tšâšndúàm,mšàmšndúàm,tšâšndúàm,mšàmšndúàm,tšâšndúàm,mšàmšndúàm,tšâšndúàm,mšàmšndúàm
finn1318,isoisæ,isoæiti,isoisæ,isoæiti,isoisæ,isoæiti,isoisæ,isoæiti
fipa1238,ïtaatakulu,ïmaangukulu,ïtaatakulu,ïmaangukulu,ïtaatakulu,ïmaangukulu,ïtaatakulu,ïmaangukulu
flin1247,purukayi,tapikayi,putyikayi,tatyikayi,purukayi,tapikayi,putyikayi,tatyikayi
fris1239,pake,beppe,pake,beppe,pake,beppe,pake,beppe
gami1243,dhilaagaa,maamaa,dhaadhaa,gaadhii,dhilaagaa,maamaa,dhaadhaa,gaadhii
gand1255,jjajja,jjajja,jjajja,jjajja,jjajja,jjajja,jjajja,jjajja
ghod1238,wečʼuxaimʲa,yečʼuxaila,wečʼuxaimʲa,yečʼuxaila,wečʼuxaimʲa,yečʼuxaila,wečʼuxaimʲa,yečʼuxaila
giga1238,imadadi,imababu,imadadi,imababu,imadadi,imababu,imadadi,imababu
giry1241,ts'awe,hawe,ts'awe,hawe,ts'awe,hawe,ts'awe,hawe
gogo1263,kuku,mama,kuku,mama,kuku,mama,kuku,mama
guaj1256,tamə,iari,tamə,iari,tamə,iari,tamə,iari
guar1292,tamoĩ,yarì,tamoĩ,yarì,tamoĩ,yarì,tamoĩ,yarì
gugu1255,kami,ngulmpurr,ngathi,kami,kami,ngulmpurr,ngathi,kami
guja1252,dāda,dādī,dāda,vaḍavi,dāda,dādī,dāda,vaḍavi
guny1241,ngathiny,papiny,ngathiny,kaminy,ngathiny,papiny,ngathiny,kaminy
gupa1247,maari\'mu,muumu,ngathi,maari,maari\'mu,muumu,ngathi,maari
guri1247,kaku,ngaputyu,tyawityi,tyatyu,kaku,ngaputyu,tyawityi,tyatyu
gusi1247,sókóro,maagókóro,sókóro,maagókóro,sókóro,maagókóro,sókóro,maagókóro
haaa1252,sokuru,nyokuru,sokuru,nyokuru,sokuru,nyokuru,sokuru,nyokuru
haus1257,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka
hawa1245,kupunakāne,kupunawahine,kupunakāne,kupunawahine,kupunakāne,kupunawahine,kupunakāne,kupunawahine
haya1250,tá:t'énkûlu,má:w'énkûlu,tá:t'énkûlu,má:w'énkûlu,tá:t'énkûlu,má:w'énkûlu,tá:t'énkûlu,má:w'énkûlu
hehe1240,kuuku,papa,kuuku,papa,kuuku,papa,kuuku,papa
here1253,tateomunene,mamaomunene,tateomunene,mamaomunene,tateomunene,mamaomunene,tateomunene,mamaomunene
hidd1238,kʼodoinso,kʼudeebel,kʼodoinso,kʼudeebel,kʼodoinso,kʼudeebel,kʼodoinso,kʼudeebel
high1278,tata-hweyi,nana-hweyi,tata-hweyi,nana-hweyi,tata-hweyi,nana-hweyi,tata-hweyi,nana-hweyi
hind1269,dādā,dādī,nānā,nānī,dādā,dādī,nānā,nānī
hinu1240,eˤžinnuobu,yeˤžinnuiyo,eˤžinnuobu,yeˤžinnuiyo,eˤžinnuobu,yeˤžinnuiyo,eˤžinnuobu,йеіжиннуийо
hitt1242,huhha-,hanna-,huhha-,hanna-,huhha-,hanna-,huhha-,hanna-
homs1234,med͜zhayr,med͜zmayr,med͜zhayr,med͜zmayr,med͜zhayr,med͜zmayr,med͜zhayr,med͜zmayr
hopi1249,kwa,so'o,kwa,so'o,kwa,so'o,kwa,so'o
huar1255,wocí,ka'ká,papá,su'sú,wocí,ka'ká,papá,su'sú
hung1274,nagyapa,nagyanya,nagyapa,nagyanya,nagyapa,nagyanya,nagyapa,nagyanya
hunz1247,ɑbusɑbu,ɑbusiyu,ɑbusɑbu,ɑbusiyu,ɑbusɑbu,ɑbusiyu,ɑbusɑbu,ɑbusiyu
hupa1239,maatcwuñ,tcin,chuwe,tcwo,maatcwuñ,tcin,chuwe,tcwo
icel1247,födurfadir,födurmódir,módurfadir,módurmódir,födurfadir,födurmódir,módurfadir,módurmódir
igna1246,-'ačuka,c̷ec̷e,-'ačuka,c̷ec̷e,-'ačuka,c̷ec̷e,-'ačuka,c̷ec̷e
ingr1248,äijä,ämmä,äijä,baba,äijä,ämmä,äijä,baba
ingu1240,dadi,nani,dadi,nani,dadi,nani,dadi,nani
inxo1238,uqʼučʼe,yuqʼučʼe,uqʼučʼe,yuqʼučʼe,uqʼučʼe,yuqʼučʼe,uqʼučʼe,yuqʼučʼe
iris1253,seanathair,seanmhāthair,seanathair,seanmhāthair,seanathair,seanmhāthair,seanathair,seanmhāthair
ital1282,nonno,nonna,nonno,nonna,nonno,nonna,nonno,nonna
iton1250,ah-meyuweʔne,ahme-yuweʔneʔka,ah-meyuweʔne,ahme-yuweʔneʔka,ah-meyuweʔne,ahme-yuweʔneʔka,ah-meyuweʔne,ahme-yuweʔneʔka
itsa1239,xat̄ay,xabay,xat̄ay,xabay,xat̄ay,xabay,xat̄ay,xabay
iyoj1235,-tʔek,-eyi,-tʔek,-eyi,-tʔek,-eyi,-tʔek,-eyi
jama1262,gran-fāda,gran-māda,gran-fāda,gran-māda,gran-fāda,gran-māda,gran-fāda,gran-māda
jica1244,sìtsóyéˑ',cìtcóˑ',sìtsóyéˑ',cìtcóˑ',sìtsóyéˑ',cìtcóˑ',sìtsóyéˑ',cìtcóˑ'
jude1256,kelebebe,dedeyxolu,kelebebe,dedeyxolu,kelebebe,dedeyxolu,kelebebe,dedeyxolu
juru1256,aamã,a-ái,aamã,a-ái,aamã,a-ái,aamã,a-ái
kada1242,peran,pati,peran,pati,peran,pati,peran,pati
kagu1239,kuku,mama,kuku,mama,kuku,mama,kuku,mama
kaiw1246,che-ramõi,cheradjý,che-ramõi,cheradjý,che-ramõi,cheradjý,che-ramõi,cheradjý
kalk1246,mutyu,papi,tyatyi,mutyu,mutyu,papi,tyatyi,mutyu
kama1373,ieramôi,ierarúí,ieramôi,ierarúí,ieramôi,ierarúí,ieramôi,ierarúí
kamb1297,umãã,inya,umãã,inya,umãã,inya,umãã,inya
kaon1241,nkambo,nkambo,nkambo,nkambo,nkambo,nkambo,nkambo,nkambo
kapi1249,tamana,tinanamatua,tamana,tinanamatua,tamana,tinanamatua,tamana,tinanamatua
kara1476,kalityi,kaparli,tyampartu,kami,kalityi,kaparli,tyampartu,kami
kari1304,mayili,kaparli,maputyi,kantharri,mayili,kaparli,maputyi,kantharri
karo1304,kú̄t,kī́t,kú̄t,kī́t,kú̄t,kī́t,kú̄t,kī́t
kart1247,nyamu,nyami,nyamu,nyami,nyamu,nyami,nyamu,nyami
kash1277,budbab,nani,budbab,nani,budbab,nani,budbab,nani
kaur1267,madlalla,ngapapi,tamammu,kamami,madlalla,ngapapi,tamammu,kamami
kawa1283,kunu,kagu,togo'o,huci,kunu,kagu,togo'o,huci
kaya1329,ramɨ͂y,yarɨ͂y,ramɨ͂y,yarɨ͂y,ramɨ͂y,yarɨ͂y,ramɨ͂y,yarɨ͂y
kere1283,gúúkú,ninéénkúlu,gúúkú,ninéénkúlu,gúúkú,ninéénkúlu,gúúkú,ninéénkúlu
kett1243,qibbat,qima,qibbat,qima,qibbat,qima,qibbat,qima
khan1273,aŋksʸasʸi,aŋkaŋkʸi,aŋksʸasʸi,aŋkaŋkʸi,aŋksʸasʸi,aŋkaŋkʸi,aŋksʸasʸi,aŋkaŋkʸi
kiku1240,güüka,tchutchu,güüka,tchutchu,güüka,tchutchu,güüka,tchutchu
koda1255,ta:tën,mutta:yi,ta:tën,mutta:yi,ta:tën,mutta:yi,ta:tën,mutta:yi
kodi1247,amboenakabani,amboeminé,amboenakabani,amboeminé,amboenakabani,amboeminé,amboenakabani,amboeminé
komc1235,bòbæ̀,nàbæ̀,bòbò,nàbò,bòbæ̀,nàbæ̀,bòbò,nàbò
komi1268,ɩdžɩday,pöč,ɩdžɩday,pöč,ɩdžɩday,pöč,ɩdžɩday,pöč
komo1260,tate,tate,tate,tate,tate,tate,tate,tate
koya1251,dado,bāpi,akko,kakko,dado,bāpi,akko,kakko
kuii1252,ak,ata,ak,ata,ak,ata,ak,ata
kuka1246,kirlaki,kaparli,nyaanyi,kaparli,kirlaki,kaparli,nyaanyi,kaparli
kuku1273,kami,papi,ngatyi,kami,kami,papi,ngatyi,kami
kumb1268,kaku,kami,ngatyi,paapany,kaku,kami,ngatyi,paapany
kumy1244,уллуата,къартана,уллуата,къартана,уллуата,къартана,уллуата,къартана
kunz1243,k-udada,k-odo,k-udada,k-odo,k-udada,k-odo,k-udada,k-odo
kuru1302,ajjos,ajji,ajjos,ajji,ajjos,ajji,ajjos,ajji
