"meZmeB","myBmeB","myZmeB","weBmeB","weZmeB","wyBmeB","wyZmeB","myBmeZ","myZmeZ","weBmeZ","weZmeZ","wyBmeZ","wyZmeZ","myZmyB","weBmyB","weZmyB","wyBmyB","wyZmyB","weBmyZ","weZmyZ","wyBmyZ","wyZmyZ","weZweB","wyBweB","wyZweB","wyBweZ","wyZweZ","wyZwyB","Glottocode"
0.714285714285714,0.714285714285714,0.714285714285714,0,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.714285714285714,0,0.857142857142857,0.857142857142857,0,0.714285714285714,0.857142857142857,0,0,0.714285714285714,0.857142857142857,0,0,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0,"bera1259"
0.111111111111111,0.666666666666667,0.777777777777778,0,0.111111111111111,0.666666666666667,0.777777777777778,0.666666666666667,0.666666666666667,0.111111111111111,0,0.666666666666667,0.666666666666667,0.111111111111111,0.666666666666667,0.666666666666667,0,0.111111111111111,0.777777777777778,0.666666666666667,0.111111111111111,0,0.111111111111111,0.666666666666667,0.777777777777778,0.666666666666667,0.666666666666667,0.111111111111111,"bezh1248"
0.833333333333333,0,0.666666666666667,0,0.833333333333333,0,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0,0.833333333333333,0.833333333333333,0.666666666666667,0,0.833333333333333,0,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0,0.833333333333333,0,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,"biha1245"
0,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,"bila1255"
0.5,1,1,0,0.5,1,1,0.75,0.75,0.5,0,0.75,0.75,0.5,1,0.75,0,0.5,1,0.75,0.5,0,0.5,1,1,0.75,0.75,0.5,"birh1242"
0.666666666666667,0.666666666666667,0.5,0,0.666666666666667,0.666666666666667,0.5,0.833333333333333,0.833333333333333,0.666666666666667,0,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0,0.666666666666667,0.5,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.5,0.833333333333333,0.833333333333333,0.666666666666667,"biri1256"
0.384615384615385,0.230769230769231,0.307692307692308,0,0.384615384615385,0.230769230769231,0.307692307692308,0.461538461538462,0.307692307692308,0.384615384615385,0,0.461538461538462,0.307692307692308,0.153846153846154,0.230769230769231,0.461538461538462,0,0.153846153846154,0.307692307692308,0.307692307692308,0.153846153846154,0,0.384615384615385,0.230769230769231,0.307692307692308,0.461538461538462,0.307692307692308,0.153846153846154,"bitt1240"
0.833333333333333,0,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"bret1244"
0.2,0.5,0.7,0,0.2,0.5,0.7,0.6,0.5,0.2,0,0.6,0.5,0.2,0.5,0.6,0,0.2,0.7,0.5,0.2,0,0.2,0.5,0.7,0.6,0.5,0.2,"budu1248"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"budz1238"
