Glottocode,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,wFBeD,wFBeS,wFByD,wFByS,wFZeD,wFZeS,wFZyD,wFZyS,wMBeD,wMBeS,wMByD,wMByS,wMZeD,wMZeS,wMZyD,wMZyS
anda1281,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal
andi1255,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal
arch1244,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u
asut1235,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa
avar1256,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav
aves1237,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-
awet1244,inhýt,itatiý,inhýt,itiwýt,inhýt,itatiý,inhýt,itiwýt,inhýt,itatiý,inhýt,itiwýt,inhýt,itatiý,inhýt,itiwýt,itatét,ikiwýt,ikypiýt,ikiwýt,itatét,ikiwýt,ikypiýt,ikiwýt,itatét,ikiwýt,ikypiýt,ikiwýt,itatét,ikiwýt,ikypiýt,ikiwýt
ayor1240,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i
bagv1239,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb
balo1260,naxozatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk
