Glottocode,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,wF,wFeB,wFeZ,wFyB,wFyZ,wM,wMeB,wMeZ,wMyB,wMyZ
jude1256,bebe,xolu,ʕeme,xolu,ʕeme,dede,xolu,xole,xolu,xole,bebe,xolu,ʕeme,xolu,ʕeme,dede,xolu,xole,xolu,xole
juru1256,pãa,pãa,uaidá,pãa,uaidá,ĩdiã,aapá,ĩdiã,aapá,ĩdiã,pãa,pãa,uaci,pãa,uaci,ĩdiã,diá,ĩdiã,diá,ĩdiã
kada1242,appan,mutappan,mutamma,kuttyappan,mami,amma,maman,mutamma,maman,kutty,appan,mutappan,mutamma,kuttyappan,mami,amma,maman,mutamma,maman,kutty
kagu1239,baba,babamkulu,maimkulu,babamdodo,maimdodo,mai,babamkulu,maimkulu,babamdodo,maimdodo,baba,babamkulu,maimkulu,babamdodo,maimdodo,mai,babamkulu,maimkulu,babamdodo,maimdodo
kaiw1246,che-rú,che-ruwy,che-djaiché,che-ruwy,che-djaiché,che-sy,che-tuty,che-syy,che-tuty,che-syy,che-rú,che-ruwy,che-djaiché,che-ruwy,che-djaiché,che-sy,che-tuty,che-syy,che-tuty,che-syy
kalk1246,kurla,kurla,ngutyirr,kurla,ngutyirr,marnu,pupi,martu,pupi,martu,kurla,kurla,ngutyirr,kurla,ngutyirr,marnu,pupi,martu,pupi,martu
kama1373,ierúp,paí,ieaié,paí,ieaié,ieý,ietutý,aikamá,ietutý,aikamá,ierúp,paí,ieaié,paí,ieaié,ieý,apí,aikamá,apí,aikamá
kamb1297,nau,mthomba,ukulu,mthomba,ukulu,maiitu,mthomba,ukulu,mthomba,ukulu,nau,mthomba,ukulu,mthomba,ukulu,maiitu,mthomba,ukulu,mthomba,ukulu
kaon1241,tata,mwinsho,tatankazhi,mwinsho,tatankazhi,mama,mwinsho,mama,mwinsho,mama,tata,mwinsho,tatankazhi,mwinsho,tatankazhi,mama,mwinsho,mama,mwinsho,mama
kapi1249,tamana,tamana,tinana,tamana,tinana,tinana,tamana,tinana,tamana,tinana,tamana,tamana,tinana,tamana,tinana,tinana,tamana,tinana,tamana,tinana
kara1476,tyapulu,tyapulu,kamuru,tyapulu,kamuru,kurtany,kaga,kurtany,kaga,kurtany,tyapulu,tyapulu,kamuru,tyapulu,kamuru,kurtany,kaga,kurtany,kaga,kurtany
kari1304,mama,mama,kaka,mama,kaka,ngangka,kaka,ngangka,kaka,ngangka,mama,mama,kaka,mama,kaka,ngangka,kaka,ngangka,kaka,ngangka
karo1304,ʔáka,párah,mī́θ,párah,mī́θ,tá̄t,xúkam,θúxaθ,xúkam,θúxaθ,ʔáka,párah,mī́θ,párah,mī́θ,tá̄t,xúkam,θúxaθ,xúkam,θúxaθ
kart1247,mama,mama,kurntili,mama,kurntili,mami,kaka,mami,kaka,mami,mama,mama,kurntili,mama,kurntili,mami,kaka,mami,kaka,mami
kash1277,mol,peter,pof,peter,pof,maj,mam,mas,mam,mas,mol,peter,pof,peter,pof,maj,mam,mas,mam,mas
kaya1329,rup,ruʔwɨt,yaye,ruʔwɨt,yaye,ɨ,tutɨt,ɨʔɨt,tutɨt,ɨʔɨt,rup,ruʔwɨt,yaye,ruʔwɨt,yaye,ɨ,tutɨt,ɨʔɨt,tutɨt,ɨʔɨt
kaza1248,ake,aga,apa,aga,apa,ana,nagashy,nagashyapa,nagashy,nagashyapa,ake,aga,apa,aga,apa,ana,nagashy,nagashyapa,nagashy,nagashyapa
khan1273,asʸi,aki,imi,aki,imi,aŋki,wər̃tɨ,imi,wər̃tɨ,imi,asʸi,aki,imi,aki,imi,aŋki,wər̃tɨ,imi,wər̃tɨ,imi
kiku1240,baba,babam'uk'ur'u,tata,babamunyinyi,tata,maiitu,mama,tata,mama,tata,baba,babam'uk'ur'u,tata,babamunyinyi,tata,maiitu,mama,tata,mama,tata
kiow1264,cì'àˑcé,cìbédjé,cìbédjé,cìbédjé,cìbédjé,cì'nàˑdéˑ',cìbáˑyé',cì'nàˑdéˑ',cìbáˑyé',cì'nàˑdéˑ',cì'àˑcé,cìbédjé,cìbédjé,cìbédjé,cìbédjé,cì'nàˑdéˑ',cìbáˑyé',cì'nàˑdéˑ',cìbáˑyé',cì'nàˑdéˑ'
koda1255,appë,balliyappën,tamma:vi,kuññappën,tamma:vi,avvë,cittapën,taḍyavvë,cittapën,kuññavvën,appë,balliyappën,tamma:vi,kuññappën,tamma:vi,avvë,cittapën,taḍyavvë,cittapën,kuññavvën
komi1268,batʸ,dyadʸ,ob,dyadʸ,ob,mam,čož,ičinʸ,čož,ičinʸ,batʸ,dyadʸ,ob,dyadʸ,ob,mam,čož,ičinʸ,čož,ičinʸ
komo1260,ape,phuméape,koa,motwape,koa,adi,noko,phuméadi,noko,motwadi,ape,phuméape,koa,motwape,koa,adi,noko,phuméadi,noko,motwadi
kuii1252,tanji,boḍunja,amma,kogga:na:ba,amma,talli,akeboḍu,mousi,akeboḍu,ango,tanji,boḍunja,amma,kogga:na:ba,amma,talli,akeboḍu,mousi,akeboḍu,ango
kuka1246,mama,mama,yayi,mama,pimiri,mami,kamuru,ngama,kamuru,ngama,mama,mama,yayi,mama,pimiri,mami,kamuru,ngama,kamuru,ngama
kuku1273,ngantyan,mukay,pimakay,ngantyan,pimakay,kulal,kalnga,mukay,kalnga,ngamu,ngantyan,mukay,pimakay,ngantyan,pimakay,kulal,kalnga,mukay,kalnga,ngamu
kumy1244,ата,агъасы,эчуву,агъасы,эчуву,ана,агъасы,эчуву,агъасы,эчуву,ата,агъасы,эчуву,агъасы,эчуву,ана,агъасы,эчуву,агъасы,эчуву
kunz1243,emen,dadalvats,unk'g-al,dadalvats,unk'g-al,ebel,babalvats,unk'g-al,babalvats,unk'g-al,emen,dadalvats,unk'g-al,dadalvats,unk'g-al,ebel,babalvats,unk'g-al,babalvats,unk'g-al
kuru1302,bas,baṛas,eṇgtaci,kakas,eṇgsais,gio,eṇgmamus,baṛi,eṇgsasiras,musi,bas,baṛas,eṇgtaci,kakas,eṇgsais,gio,eṇgmamus,baṛi,eṇgsasiras,musi
kwas1243,song,ña,ma,ña,ma,ñiung,ña,ma,ña,ma,song,ña,ma,ña,ma,ñiung,ña,ma,ña,ma
kwer1261,tata,tatamkulu,mamasangazi,tatamdodo,mamasangazi,mama,mtumbamkulu,mamamkulu,mtumbamdodo,mamamdodo,tata,tatamkulu,mamasangazi,tatamdodo,mamasangazi,mama,mtumbamkulu,mamamkulu,mtumbamdodo,mamamdodo
lala1264,wata,nyinalume,wawo,nyinalume,wawo,wama,umwisyo,wamamunini,umwisyo,wamamunini,wata,nyinalume,wawo,nyinalume,wawo,wama,umwisyo,wamamunini,umwisyo,wamamunini
lamb1271,tata,tata,tatankasi,tata,tatankasi,mama,mwinsyo,mama,mwinsyo,mama,tata,tata,tatankasi,tata,tatankasi,mama,mwinsyo,mama,mwinsyo,mama
lang1320,taata,babamʊdudi,mama,babamʊdudi,mama,iyo,baba,mamamʊdudi,baba,mamamʊdudi,taata,babamʊdudi,mama,babamʊdudi,mama,iyo,baba,mamamʊdudi,baba,mamamʊdudi
lati1261,pater,patrus,amita,patrus,amita,māter,avunculus,matertera,avunculus,matertera,pater,patrus,amita,patrus,amita,māter,avunculus,matertera,avunculus,matertera
laua1243,tama,tama-levu,vungo,tama-lailai,vungo,tchina,vungo,tchina-levu,vungo,tchina-lailai,tama,tama-levu,vungo,tama-lailai,vungo,tchina,vungo,tchina-levu,vungo,tchina-lailai
leng1262,-yapam,-yaha,-kyatim,-yaha,-kyatim,inkyin,-yapka,moinkyin,-yapka,moinkyin,-yapam,-yaha,-kyatim,-yaha,-kyatim,inkyin,-yapka,moinkyin,-yapka,moinkyin
ling1263,tatå,tata-kulutu,tata-muasi,tata-leki,tata-muasi,mamå,tatámokóló,mama-kulutu,tatámokóló,mama-leki,tatå,tata-kulutu,tata-muasi,tata-leki,tata-muasi,mamå,tatámokóló,mama-kulutu,tatámokóló,mama-leki
lipa1241,cì'àˑcí,cì'àˑcí,cìbídjí,cì'àˑcí,cìbídjí,cì'nándí,сìdà'á,cì'nándí,сìdà'á,cì'nándí,cì'àˑcí,cì'àˑcí,cìbídjí,cì'àˑcí,cìbídjí,cì'nándí,сìdà'á,cì'nándí,сìdà'á,cì'nándí
lith1251,tėvas,dėdė,dede,dėdė,dede,mótina,avynas,tetà,avynas,tetà,tėvas,dėdė,dede,dėdė,dede,mótina,avynas,tetà,avynas,tetà
lozi1239,ndole,ndateyomuhulu,ndatewamusali,ndateyomunyinyani,ndatewamusali,me,me,meyomuhulu,me,meyomunginyani,ndole,ndateyomuhulu,ndatewamusali,ndateyomunyinyani,ndatewamusali,me,me,meyomuhulu,me,meyomunginyani
luba1249,x',manseba,mankuxi,tatu,mankuxi,mamu,manseba,mankuxi,manseba,mankuxi,x',manseba,mankuxi,tatu,mankuxi,mamu,manseba,mankuxi,manseba,mankuxi
luba1250,tata,táátumukulu,mankaji,táátumwååkunyi,mankaji,ina,mansewamu-ishio,baabamukulu,mansewamu-ishio,baabamwååkunyi,tata,táátumukulu,mankaji,táátumwååkunyi,mankaji,ina,mansewamu-ishio,baabamukulu,mansewamu-ishio,baabamwååkunyi
lubu1243,ama,uilitogunleyaki,uilitogunbebyai,uilitogunleyaki,uilitogunbebyai,ila,uilitogunleyaki,uilitogunbebyai,uilitogunleyaki,uilitogunbebyai,ama,uilitogunleyaki,uilitogunbebyai,uilitogunleyaki,uilitogunbebyai,ila,uilitogunleyaki,uilitogunbebyai,uilitogunleyaki,uilitogunbebyai
lugu1238,baba,babamkulu,maishangazi,babamdodo,maishangazi,mai,mkolo,maimkulu,mkolo,maimdodo,baba,babamkulu,maishangazi,babamdodo,maishangazi,mai,mkolo,maimkulu,mkolo,maimdodo
luis1253,-ná',kamú,páa-may,máʂ,páa-may,yó,táá'aʂ,núʂ,táá'aʂ,yósmay,-ná',kamú,páa-may,máʂ,páa-may,yó,táá'aʂ,núʂ,táá'aʂ,yósmay
lund1266,tata,tatawamukulumpi,tatankaji,tatawakansi,tatankaji,mama,mandumi,mamawamukulumpi,mandumi,mamawakansi,tata,tatawamukulumpi,tatankaji,tatawakansi,tatankaji,mama,mandumi,mamawamukulumpi,mandumi,mamawakansi
luva1239,tata,tata,tatankaji,tata,tatankaji,mama,mandumi,mama,mandumi,mama,tata,tata,tatankaji,tata,tatankaji,mama,mandumi,mama,mandumi,mama
luxe1241,papp,monnonk,mattant,monnonk,mattant,mamm,monnonk,mattant,monnonk,mattant,papp,monnonk,mattant,monnonk,mattant,mamm,monnonk,mattant,monnonk,mattant
mace1250,tatko,čičko,tetka,čičko,tetka,majka,vujko,tetka,vujko,tetka,tatko,čičko,tetka,čičko,tetka,majka,vujko,tetka,vujko,tetka
macu1259,u-yun,papai,waʔnɨ,papai,waʔnɨ,u-san,inton,mamai,inton,mamai,u-yun,papai,waʔnɨ,papai,waʔnɨ,u-san,inton,mamai,inton,mamai
maha1287,ba:p,ka:k,bʊi,ka:k,bʊi,ai,ma:m,mamɪ,ma:m,mamɪ,ba:p,ka:k,bʊi,ka:k,bʊi,ai,ma:m,mamɪ,ma:m,mamɪ
mait1250,pitā,kākā,pisī,kākā,pisī,māy,māma,máusī,māma,máusī,pitā,kākā,pisī,kākā,pisī,māy,māma,máusī,māma,máusī
mako1251,chão,numbugwemama,nang'olo,numbugwemama,nang'olo,mama,numbugwemama,nang'olo,numbugwemama,nang'olo,chão,numbugwemama,nang'olo,numbugwemama,nang'olo,mama,numbugwemama,nang'olo,numbugwemama,nang'olo
mala1479,bapak,bapakpenakan,emakpenakan,bapakpenakan,emakpenakan,emak,bapakpenakan,emakpenakan,bapakpenakan,emakpenakan,bapak,bapakpenakan,emakpenakan,bapakpenakan,emakpenakan,emak,bapakpenakan,emakpenakan,bapakpenakan,emakpenakan
mang1401,motua,motua-nui,kui-nui,motua-iti,kui-iti,kui,motua-nui,kui-nui,motua-iti,kui-iti,motua,motua-nui,kui-nui,motua-iti,kui-iti,kui,motua-nui,kui-nui,motua-iti,kui-iti
mans1258,asʸ,akʸi,akw,akʸi,akw,aŋk,sasɨɣ,akw,sasɨɣ,akw,asʸ,akʸi,akw,akʸi,akw,aŋk,sasɨɣ,akw,sasɨɣ,akw
maor1246,pāpara,pāpara,matuakēkē,pāpara,matuakēkē,kowhaea,pāpara,matuakēkē,pāpara,matuakēkē,pāpara,pāpara,matuakēkē,pāpara,matuakēkē,kowhaea,pāpara,matuakēkē,pāpara,matuakēkē
mapu1245,čaw,malʸe,pal̯u,malʸe,pal̯u,ɲuke,weku,ɲuke-ntu,weku,ɲuke-ntu,čaw,malʸe,pal̯u,malʸe,pal̯u,ɲuke,weku,ɲuke-ntu,weku,ɲuke-ntu
maqu1238,haha,haha,waynɲeʔney,haha,waynɲeʔney,denɨ,yawo,denɨ,yawo,denɨ,haha,haha,waynɲeʔney,haha,waynɲeʔney,denɨ,yawo,denɨ,yawo,denɨ
mara1378,bāpa,chulatā,ātyā,chulatā,ātyā,amma,māmā,maushī,māmā,maushī,bāpa,chulatā,ātyā,chulatā,ātyā,amma,māmā,maushī,māmā,maushī
marg1253,yabu,yabu,wakan,yabu,wakan,yanga,kannganu,yanga,kannganu,yanga,yabu,yabu,wakan,yabu,wakan,yanga,kannganu,yanga,kannganu,yanga
mart1256,mama,mama,kurntili,mama,kurntili,ipi,kaka,yakurti,kaka,yakurti,mama,mama,kurntili,mama,kurntili,ipi,kaka,yakurti,kaka,yakurti
marw1260,bāpu,tāū,bhuā,kākā,bhuā,mā,māmā,mausī,māmā,mausī,bāpu,tāū,bhuā,kākā,bhuā,mā,māmā,mausī,māmā,mausī
mayo1264,hapči,kúmuri,né'esa,kúmuri,né'esa,aiye,kúmuri,né'esa,kúmuri,né'esa,hapči,kúmuri,né'esa,kúmuri,né'esa,aiye,kúmuri,né'esa,kúmuri,né'esa
mbal1257,dâda,daada,daada,daada,daada,maawa,ngwaaʃi,maawa,ngwaaʃi,maawa,dâda,daada,daada,daada,daada,maawa,ngwaaʃi,maawa,ngwaaʃi,maawa
mesc1238,cìtàˑ,cìbéˑjè',cìdèˑdéˑ',cìbéˑjè',cìdèˑdéˑ',cìmáˑ',cìɣóyé,cíkà',cìɣóyé,cíkà',cìtàˑ,cìbéˑjè',cìdèˑdéˑ',cìbéˑjè',cìdèˑdéˑ',cìmáˑ',cìɣóyé,cíkà',cìɣóyé,cíkà'
midd1317,fader,eme,moddri,eme,moddri,móder,eme,moddri,eme,moddri,fader,eme,moddri,eme,moddri,móder,eme,moddri,eme,moddri
midd1343,vater,veter,base,veter,base,muoter,œ-heim,muome,œ-heim,muome,vater,veter,base,veter,base,muoter,œ-heim,muome,œ-heim,muome
moco1246,le-taʔa,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,l-ateʔe,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,le-taʔa,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,l-ateʔe,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro
mode1248,pateras,theios,theia,theios,theia,mitera,theios,theia,theios,theia,pateras,theios,theia,theios,theia,mitera,theios,theia,theios,theia
mokp1239,sango,tatℇ,iyℇ,tatℇ,iyℇ,nyángo,mólalo,iyℇ,mólalo,iyℇ,sango,tatℇ,iyℇ,tatℇ,iyℇ,nyángo,mólalo,iyℇ,mólalo,iyℇ
mong1338,fafa,tantinkune,faomoto,tat'inkune,faomoto,ngoya,nyangompame,nyango,nyangompame,mam'inkune,fafa,tantinkune,faomoto,tat'inkune,faomoto,ngoya,nyangompame,nyango,nyangompame,mam'inkune
mose1249,tata,ata,yaya,ata,yaya,nonoʔ,kyu'ye,c̷e'dʸe,kyu'ye,c̷e'dʸe,tata,ata,yaya,ata,yaya,nonoʔ,kyu'ye,c̷e'dʸe,kyu'ye,c̷e'dʸe
movi1243,paʔa,yayaʔa,aiku,yayaʔa,aiku,maʔa,yayaʔa,aiku,yayaʔa,aiku,paʔa,yayaʔa,aiku,yayaʔa,aiku,maʔa,yayaʔa,aiku,yayaʔa,aiku
mpuo1241,taar,târ,mwanat'okar,târ,mwanat'okar,maam,ngwâs,mâm,ngwâs,mâm,taar,târ,mwanat'okar,târ,mwanat'okar,maam,ngwâs,mâm,ngwâs,mâm
mung1266,bàba,bamvuka̤d,mân̊na,bambo̠d,mân̊na,nǎ,nimbàn̊,nǎn̊guka̪d,nimbàn̊,nǎmbo̠d,bàba,bamvuka̤d,mân̊na,bambo̠d,mân̊na,nǎ,nimbàn̊,nǎn̊guka̪d,nimbàn̊,nǎmbo̠d
muru1266,pathany,karrampany,mukimuki,karrampany,mukimuki,kaya,kathi,puthama,karrurany,puthama,pathany,karrampany,mukimuki,karrampany,mukimuki,kaya,kathi,puthama,karrurany,puthama
nava1243,shizhb'k,abízhí,abízhí,abízhí,abízhí,shimá,adá'i,amáyázhi,adá'i,amáyázhi,shizhb'k,abízhí,abízhí,abízhí,abízhí,shimá,adá'i,ach'e'e,adá'i,ach'e'e
nene1249,nisʸa,tidʸa,nʸabako,tidʸa,nʸabako,nʸebʸa,tidʸa,nʸeya,tidʸa,nʸeya,nisʸa,tidʸa,nʸabako,tidʸa,nʸabako,nʸebʸa,tidʸa,nʸeya,tidʸa,nʸeya
nepa1254,bābu,jeṭhā-bā,phupu,kanchababu,phupu,āmā,māmā,ṭhuliāmā,māmā,kānchiāmā,bābu,jeṭhā-bā,phupu,kanchababu,phupu,āmā,māmā,ṭhuliāmā,māmā,kānchiāmā
ngaa1240,mama,mamapurlkanya,kurntili,mama,kurntili,ngunytyu,kamuru,ngunytyu,kamuru,ngunytyu,mama,mamapurlkanya,kurntili,mama,kurntili,ngunytyu,kamuru,ngunytyu,kamuru,ngunytyu
ngam1265,ngapiri,ngapiri,papa,ngapiri,papa,ngandi,kaka,ngandi,kaka,ngandi,ngapiri,ngapiri,papa,ngapiri,papa,ngandi,kaka,ngandi,kaka,ngandi
ngar1235,ngatyi,ngatyi,mukurl,ngatyi,mukurl,ngamarnti,kaka,ngamarnti,kaka,ngamarnti,ngatyi,ngatyi,mukurl,ngatyi,mukurl,ngamarnti,kaka,ngamarnti,kaka,ngamarnti
nina1238,popa-ye,popa-ye,yaa-ye,popa-ye,yaa-ye,naa-ye,šoa-ye,naa-ye,šoa-ye,naa-ye,popa-ye,popa-ye,yaa-ye,popa-ye,yaa-ye,naa-ye,šoa-ye,naa-ye,šoa-ye,naa-ye
niue1239,matuatane,matuatane,matuafifine,matuatane,matuafifine,matuafifine,matuatane,matuafifine,matuatane,matuafifine,matuatane,matuatane,matuafifine,matuatane,matuafifine,matuafifine,matuatane,matuafifine,matuatane,matuafifine
niva1238,-tata,-txoʔk,-tˀox,-txoʔk,-tˀox,-mimi,-txoʔk,-tˀox,-txoʔk,-tˀox,-tata,-txoʔk,-tˀox,-txoʔk,-tˀox,-mimi,-txoʔk,-tˀox,-txoʔk,-tˀox
noga1249,ата,акай,абай,акай,абай,ана,нагашакай,аьптей,нагашакай,аьптей,ата,акай,абай,акай,абай,ана,нагашакай,аьптей,нагашакай,аьптей
nort1551,iná'a,hai',pa'wá,hai',pa'wá,pīa,ātsi'i,pirú'u,ātsi'i,pirú'u,iná'a,hai',pa'wá,hai',pa'wá,pīa,ātsi'i,pirú'u,ātsi'i,pirú'u
nort2641,bab,mam,metî,mam,metî,day,xal,xolat,xal,xolat,bab,mam,metî,mam,metî,day,xal,xolat,xal,xolat
nort2671,ahčči,čeɑhc̷i,siessa,čeɑhc̷i,siessa,eɑdni,eɑnu,goɑski,eɑnu,goɑski,ahčči,čeɑhc̷i,siessa,čeɑhc̷i,siessa,eɑdni,eɑnu,goɑski,eɑnu,goɑski
nort2697,ata,emi,bibi,emi,bibi,ana,dajy,khala,dajy,khala,ata,emi,bibi,emi,bibi,ana,dajy,khala,dajy,khala
nort2702,dao,pēpī,ātī,pēpī,ātī,dai,pēpī,pērī,pēpī,pērī,dao,pēpī,ātī,pēpī,ātī,dai,pēpī,pērī,pēpī,pērī
nort2942,abá,setąa,senǫǫ,setąa,senǫǫ,amá,seʔe,sebée,seʔe,sebée,abá,setąa,senǫǫ,setąa,senǫǫ,amá,seʔe,sebée,seʔe,sebée
nort2951,kuli,kumi,kati,kumi,kati,konti,toiti,de,toiti,de,kuli,kumi,kati,kumi,kati,konti,toiti,de,toiti,de
nort2952,bekûm,kusem,katim,kusem,katim,nen,bononum,bebem,bononum,bebem,bekûm,kusem,katim,kusem,katim,nen,bononum,bebem,bononum,bebem
nort2966,ame'e,adje,awu,adje,awu,ate,atsu,asu,atsu,ace,ame'e,adje,awu,adje,awu,ate,atsu,asu,atsu,ace
nort2972,zeze,zrõã,a'pipi,zrõã,a'pipi,papa,zrõã,a'pipi,zrõã,a'pipi,zeze,zrõã,a'pipi,zrõã,a'pipi,papa,zrõã,a'pipi,zrõã,a'pipi
norw1259,far,onkel,tante,onkel,tante,mor,onkel,tante,onkel,tante,far,onkel,tante,onkel,tante,mor,onkel,tante,onkel,tante
nucl1235,hayr,horełbayr,horak'uyr,horełbayr,horak'uyr,mayr,k'eri,morak'uyr,k'eri,morak'uyr,hayr,horełbayr,horak'uyr,horełbayr,horak'uyr,mayr,k'eri,morak'uyr,k'eri,morak'uyr
nucl1310,aphei,pharji,jiji,ulei,dolei,amei,pharji,jiji,ulei,dolei,aphei,pharji,jiji,ulei,dolei,amei,pharji,jiji,ulei,dolei
nucl1479,tamai,tamai,silei,tamai,silei,silei,manenepai,silei,manenepai,silei,tamai,tamai,silei,tamai,silei,silei,manenepai,silei,manenepai,silei
nucl1643,chichi,oji,oba,oji,oba,haha,oji,oba,oji,oba,chichi,oji,oba,oji,oba,haha,oji,oba,oji,oba
nyam1271,mama,mama,mitari,mama,mitari,ngati,kana,ngati,kana,ngati,mama,mama,mitari,mama,mitari,ngati,kana,ngati,kana,ngati
nyan1301,mama,tyapartu,marruku,tyapartu,marruku,pipi,kaka,pipi,kaka,pipi,mama,tyapartu,marruku,tyapartu,marruku,pipi,kaka,pipi,kaka,pipi
nyor1246,ise,isento,isenkati,isento,isenkati,mama,ongundwe,nyinento,ongundwe,nyinento,ise,isento,isenkati,isento,isenkati,mama,ongundwe,nyinento,ongundwe,nyinento
olde1238,fæder,fædera,faθu,fædera,faθu,mōdor,ēam,mōdrige,ēam,mōdrige,fæder,fædera,faθu,fædera,faθu,mōdor,ēam,mōdrige,ēam,mōdrige
oldh1241,fater,fetiro,basa,fetiro,basa,muoter,ōheim,muoma,ōheim,muoma,fater,fetiro,basa,fetiro,basa,muoter,ōheim,muoma,ōheim,muoma
oldi1245,athair,brāthirathar,siurathar,brāthirathar,siurathar,máthair,amnair,siurmāthar,amnair,siurmāthar,athair,brāthirathar,siurathar,brāthirathar,siurathar,máthair,amnair,siurmāthar,amnair,siurmāthar
oldn1244,faðir,foður-brōðir,foður-systir,foður-brōðir,foður-systir,mōðir,mōður-brōðir,mōðir-systir,mōður-brōðir,mōðir-systir,faðir,foður-brōðir,foður-systir,foður-brōðir,foður-systir,mōðir,mōður-brōðir,mōðir-systir,mōður-brōðir,mōðir-systir
onaa1245,ʔàynn,poʔtˀ,ḳˀàn,poʔtˀ,ḳˀàn,ahm,čèʔ,poʔn,čèʔ,poʔn,ʔàynn,poʔtˀ,ḳˀàn,poʔtˀ,ḳˀàn,ahm,čèʔ,poʔn,čèʔ,poʔn
oriy1255,bappa,dadda,piusi,kakka,piusi,mā,mamo,mausi,mamo,mausi,bappa,dadda,piusi,kakka,piusi,mā,mamo,mausi,mamo,mausi
osse1243,fyd,fydyfcymvær,fydykho,fydyfcymvær,fydykho,mad,madyfsymær,madykho,madyfsymær,madykho,fyd,fydyfcymvær,fydykho,fydyfcymvær,fydykho,mad,madyfsymær,madykho,madyfsymær,madykho
paez1247,tata,yũũkwe,pee-c̷uhc̷,yũũkwe,pee-c̷uhc̷,mama,kahka,pee-yũkwe,kahka,pee-yũkwe,tata,yũũkwe,pee-c̷uhc̷,yũũkwe,pee-c̷uhc̷,mama,kahka,pee-yũkwe,kahka,pee-yũkwe
pana1305,appü,tsukuna,pahwa,tsukuna,pahwa,pia,piasamoppu,tokkwapu,piasamoppu,tokkwapu,appü,tsukuna,pahwa,tsukuna,pahwa,pia,piasamoppu,tokkwapu,piasamoppu,tokkwapu
panj1256,bāp,taaiaa,bhuā,cācā,bhuā,mā,mamerabhai,māsi,mamerabhai,māsi,bāp,taaiaa,bhuā,cācā,bhuā,mā,mamerabhai,māsi,mamerabhai,māsi
para1311,tuva,cher-ur-yke'y,cher-ur-eindy,cher-ur-yvy,cher-ur-eindy,sɨ,chesykyvy,chesyr-yke,chesykyvy,chesykypy'y,tuva,cher-ur-yke'y,cher-ur-eindy,cher-ur-yvy,cher-ur-eindy,sɨ,chesykyvy,chesyr-yke,chesykyvy,chesykypy'y
pash1269,plar,kaka,mɑmi,kaka,mɑmi,mor,mama,mɑmi,mama,mɑmi,plar,kaka,mɑmi,kaka,mɑmi,mor,mama,mɑmi,mama,mɑmi
paus1244,-u,-túti,-átse,-túti,-átse,-hi,-túti,-hí-ʔi,-túti,-hí-ʔi,-u,-túti,-átse,-túti,-átse,-hi,-túti,-hí-ʔi,-túti,-hí-ʔi
penr1237,tira,taueka,matuavahine,taueka,matuavahine,papa,taueka,matuavahine,taueka,matuavahine,tira,taueka,matuavahine,taueka,matuavahine,papa,taueka,matuavahine,taueka,matuavahine
phen1239,tata,ginathu,tǎta,ginathu,tǎta,gina,ginathu,mǎma,ginathu,mǎma,tata,ginathu,tǎta,ginathu,tǎta,gina,ginathu,mǎma,ginathu,mǎma
pila1245,le-tʔa,ne-te'soḳoʔ,l-a'sodo,ne-te'soḳoʔ,l-a'sodo,l-atʔe,ne-te'soḳoʔ,l-a'sodo,ne-te'soḳoʔ,l-a'sodo,le-tʔa,ne-te'soḳoʔ,l-a'sodo,ne-te'soḳoʔ,l-a'sodo,l-atʔe,ne-te'soḳoʔ,l-a'sodo,ne-te'soḳoʔ,l-a'sodo
pitj1243,mama,mamapurlka,kurnti,mamamarlatya,kurnti,ngunytju,kamaru,ngunytyupurlka,kamaru,ngunytyumarlatya,mama,mamapurlka,kurnti,mamamarlatya,kurnti,ngunytju,kamaru,ngunytyupurlka,kamaru,ngunytyumarlatya
pitt1247,ngapiri,ngapiri,tyami,ngapiri,tyami,ngama,ngarlu,ngama,ngarlu,ngama,ngapiri,ngapiri,tyami,ngapiri,tyami,ngama,ngarlu,ngama,ngarlu,ngama
polc1243,baa,baaba,wobna,baaba,wobna,dee,kawo,kawo,kawo,kawo,baa,baaba,wobna,baaba,wobna,dee,kawo,kawo,kawo,kawo
poli1260,ojciec,wujek,ciotka,wujek,ciotka,matka,wujek,ciotka,wujek,ciotka,ojciec,wujek,ciotka,wujek,ciotka,matka,wujek,ciotka,wujek,ciotka
port1283,pai,tio,tia,tio,tia,mãe,tio,tia,tio,tia,pai,tio,tia,tio,tia,mãe,tio,tia,tio,tia
puel1244,yawʔge-xna,anamɨn,anamɨn-c̷ɨm,anamɨn,anamɨn-c̷ɨm,mama,apgɨṣɨ,apɨṣɨ-c̷ɨm,apgɨṣɨ,apɨṣɨ-c̷ɨm,yawʔge-xna,anamɨn,anamɨn-c̷ɨm,anamɨn,anamɨn-c̷ɨm,mama,apgɨṣɨ,apɨṣɨ-c̷ɨm,apgɨṣɨ,apɨṣɨ-c̷ɨm
puin1248,-i,-i-bəi,-iha,-i-bəi,-iha,-in,-wota,-inha,-wota,-inha,-i,-i-bəi,-iha,-i-bəi,-iha,-in,-wota,-inha,-wota,-inha
