Glottocode,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,wF,wFeB,wFeZ,wFyB,wFyZ,wM,wMeB,wMeZ,wMyB,wMyZ
asut1235,vava,vavaṃkulu,éngåṃbaha,vavaṃdori,éngåṃdori,mchékú,abuṃbaha,ṃkúlú,abuṃdori,ṃdódo,vava,vavaṃkulu,éngåṃbaha,vavaṃdori,éngåṃdori,mchékú,abuṃbaha,ṃkúlú,abuṃdori,ṃdódo
avar1256,emen,dzhidzhi,abai,dzhidzhi,abai,ebel,dzhidzhi,abai,dzhidzhi,abai,emen,dzhidzhi,abai,dzhidzhi,abai,ebel,dzhidzhi,abai,dzhidzhi,abai
ayor1240,daa-'ye,dakera'mai,i'n̥oŋama,dakera'mai,i'n̥oŋama,daa-'te,ira'mai,daa'teramia,ira'mai,daa'teramia,daa-'ye,dakera'mai,i'n̥oŋama,dakera'mai,i'n̥oŋama,daa-'te,ira'mai,daa'teramia,ira'mai,daa'teramia
badi1246,mama,ganggu,mangkan,ganggu,mangkan,pipi,ganggu,manggan,ganggu,manggan,mama,ganggu,mangkan,ganggu,mangkan,pipi,ganggu,manggan,ganggu,manggan
bagv1239,ima,imaš̄uwwas̄,imaš̄uyyas̄,imaš̄uwwas̄,imaš̄uyyas̄,ila,ilaɬiɬwas̄,ilaɬiɬyas̄,ilaɬiɬwas̄,ilaɬiɬyas̄,ima,imaš̄uwwas̄,imaš̄uyyas̄,imaš̄uwwas̄,imaš̄uyyas̄,ila,ilaɬiɬwas̄,ilaɬiɬyas̄,ilaɬiɬwas̄,ilaɬiɬyas̄
balo1260,piθ,naxo,pupu,naxo,pupu,maθ,mama,masi,mama,masi,piθ,naxo,pupu,naxo,pupu,maθ,mama,masi,mama,masi
band1339,baba,ga:waŋ,babanaᶁiᶁa,ga:waŋ,babanaᶁiᶁa,myjong,ga:waŋ,ŋaruɲ,ga:waŋ,ŋaruɲ,baba,ga:waŋ,babanaᶁiᶁa,ga:waŋ,babanaᶁiᶁa,myjong,ga:waŋ,ŋaruɲ,ga:waŋ,ŋaruɲ
bann1248,ina',ina',iva`wa',ina',iva`wa',ivi'a,i.ā'ts,ivi'a,i.ā'ts,ivi'a,ina',ina',iva`wa',ina',iva`wa',ivi'a,i.ā'ts,ivi'a,i.ā'ts,ivi'a
bari1297,aataida,aisīokarā,ataidasi,aisīokarā,ataidasi,abaama,aisīokarā,abāmasi,aisīokarā,abāmasi,aataida,aisīokarā,ataidasi,aisīokarā,ataidasi,abaama,aisīokarā,abāmasi,aisīokarā,abāmasi
basq1248,aita,ai'ta-rena'naie,ai'ta-rena'reba,ai'ta-rena'naie,ai'ta-rena'reba,ama,a'ma-rena'naie,a'ma-renã'hispa,a'ma-rena'naie,a'ma-renã'hispa,aita,ai'ta-rena'naie,ai'ta-rena'reba,ai'ta-rena'naie,ai'ta-rena'reba,ama,a'ma-rena'naie,a'ma-renã'hispa,a'ma-rena'naie,a'ma-renã'hispa
bata1285,paya,ntoduwahangwé,sitawahangwé,ndembéwahangwé,nyongwé,ina,ntoduwanyangwé,sitawanyangwé,ndembéwanyangwé,iluhuyanyangwé,paya,ntoduwahangwé,sitawahangwé,ndembéwahangwé,nyongwé,ina,ntoduwanyangwé,sitawanyangwé,ndembéwanyangwé,iluhuyanyangwé
batl1238,emen,imʕal,unqʼa,imʕal,unqʼa,ebel,imʕal,unqʼa,imʕal,unqʼa,emen,imʕal,unqʼa,imʕal,unqʼa,ebel,imʕal,unqʼa,imʕal,unqʼa
bats1242,dad,dādwaš,dādes,dādwaš,dādes,nan,nānwaš,nānes,nānwaš,nānes,dad,dādwaš,dādes,dādwaš,dādes,nan,nānwaš,nānes,nānwaš,nānes
