"mFeBmF","mFeZmF","mFyBmF","mFyZmF","mMmF","mMeBmF","mMeZmF","mMyBmF","mMyZmF","mFeZmFeB","mFyBmFeB","mFyZmFeB","mMmFeB","mMeBmFeB","mMeZmFeB","mMyBmFeB","mMyZmFeB","mFyBmFeZ","mFyZmFeZ","mMmFeZ","mMeBmFeZ","mMeZmFeZ","mMyBmFeZ","mMyZmFeZ","mFyZmFyB","mMmFyB","mMeBmFyB","mMeZmFyB","mMyBmFyB","mMyZmFyB","mMmFyZ","mMeBmFyZ","mMeZmFyZ","mMyBmFyZ","mMyZmFyZ","mMeBmM","mMeZmM","mMyBmM","mMyZmM","mMeZmMeB","mMyBmMeB","mMyZmMeB","mMyBmMeZ","mMyZmMeZ","mMyZmMyB","Glottocode"
0.214285714285714,0.571428571428571,0.714285714285714,0.571428571428571,0.285714285714286,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,0.785714285714286,0.928571428571429,0.785714285714286,0.285714285714286,0.928571428571429,0.785714285714286,0.928571428571429,0.785714285714286,0.357142857142857,0,0.785714285714286,0.642857142857143,0.285714285714286,0.642857142857143,0.285714285714286,0.357142857142857,0.928571428571429,0.285714285714286,0.642857142857143,0.285714285714286,0.642857142857143,0.785714285714286,0.642857142857143,0.285714285714286,0.642857142857143,0.285714285714286,0.714285714285714,0.571428571428571,0.714285714285714,0.571428571428571,0.357142857142857,0,0.357142857142857,0.357142857142857,0,0.357142857142857,"ache1246"
0.333333333333333,0.266666666666667,0.8,0.266666666666667,0.2,0.466666666666667,0.2,0.466666666666667,0.4,0.4,0.733333333333333,0.4,0.2,0.266666666666667,0.2,0.266666666666667,0.466666666666667,0.666666666666667,0,0.333333333333333,0.466666666666667,0.333333333333333,0.466666666666667,0.266666666666667,0.666666666666667,0.666666666666667,0.533333333333333,0.666666666666667,0.533333333333333,0.666666666666667,0.333333333333333,0.466666666666667,0.333333333333333,0.466666666666667,0.266666666666667,0.266666666666667,0,0.266666666666667,0.266666666666667,0.266666666666667,0,0.466666666666667,0.266666666666667,0.266666666666667,0.466666666666667,"adny1235"
0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0.833333333333333,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"afri1274"
0.25,0.75,0.25,0.75,0.5,0.25,0.75,0.25,0.75,0.5,0,0.5,0.75,0,0.5,0,0.5,0.5,0,0.25,0.5,0,0.5,0,0.5,0.75,0,0.5,0,0.5,0.25,0.5,0,0.5,0,0.75,0.25,0.75,0.25,0.5,0,0.5,0.5,0,0.5,"aghu1253"
0.615384615384615,0.692307692307692,0.615384615384615,0.692307692307692,0.384615384615385,0.384615384615385,0.384615384615385,0.384615384615385,0.384615384615385,0.307692307692308,0,0.307692307692308,0.846153846153846,0.769230769230769,0.769230769230769,0.769230769230769,0.769230769230769,0.307692307692308,0,0.923076923076923,0.769230769230769,0.769230769230769,0.769230769230769,0.769230769230769,0.307692307692308,0.846153846153846,0.769230769230769,0.769230769230769,0.769230769230769,0.769230769230769,0.923076923076923,0.769230769230769,0.769230769230769,0.769230769230769,0.769230769230769,0.461538461538462,0.307692307692308,0.461538461538462,0.307692307692308,0.538461538461538,0,0.538461538461538,0.538461538461538,0,0.538461538461538,"agua1253"
0.7,0.6,0.7,0.6,0.1,0.7,0.7,0.7,0.7,0.3,0,0.3,0.8,0.2,0.4,0.2,0.4,0.3,0,0.7,0.3,0.1,0.3,0.1,0.3,0.8,0.2,0.4,0.2,0.4,0.7,0.3,0.1,0.3,0.1,0.6,0.6,0.6,0.6,0.2,0,0.2,0.2,0,0.2,"akhv1239"
0.625,0.625,0.625,0.625,0.75,0.625,0.625,0.625,0.625,0.125,0,0.125,0.875,0,0.125,0,0.125,0.125,0,0.875,0.125,0,0.125,0,0.125,0.875,0,0.125,0,0.125,0.875,0.125,0,0.125,0,0.875,0.875,0.875,0.875,0.125,0,0.125,0.125,0,0.125,"akka1240"
0.8,0.6,0.8,0.6,0.6,0.4,0.8,0.4,0.8,0.8,0,0.8,0.8,0.8,1,0.8,1,0.8,0,0.8,0.6,1,0.6,1,0.8,0.8,0.8,1,0.8,1,0.8,0.6,1,0.6,1,0.6,0.8,0.6,0.8,0.8,0,0.8,0.8,0,0.8,"alba1267"
0.285714285714286,0.714285714285714,0.285714285714286,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,0.714285714285714,0.857142857142857,0.857142857142857,0,0.857142857142857,0.857142857142857,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,0.857142857142857,0,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,"alya1239"
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0.6,0.8,0,0.6,0,0.6,0.6,0,0.8,0.6,0,0.6,0,0.6,0.8,0,0.6,0,0.6,0.8,0.6,0,0.6,0,0.8,0.8,0.8,0.8,0.6,0,0.6,0.6,0,0.6,"amha1245"
