Glottocode,mBD,mBS,mD,mS,mZD,mZS,wBD,wBS,wD,wS,wZD,wZS
chen1255,kodalu,alludu,bidda,koduku,kuthuru,koduku,kodalu,alludu,bidda,koduku,kuthuru,koduku
chib1270,guabxie,guabxie,chuta,chuta,guabxie,guabxie,guabxie,guabxie,chuta,chuta,guabxie,guabxie
chim1301,himolla,micaku,masola,oello,himolla,himolla,himolla,micaku,masola,oello,himolla,himolla
chip1261,sareze,saze,seyazts’ékui,sedÿneyuaze,sareze,saze,sareze,saze,seyazts’ékui,sedÿneyuaze,sareze,saze
chir1284,qine,qine,rus̄e,gale,qine,qine,qine,qine,rus̄e,gale,qine,qine
chok1245,mwana-pwo,mwana-lunga,mwana-pwo,mwana-lunga,mwihwa,mwihwa,mwihwa,mwihwa,mwana-pwo,mwana-lunga,mwana-pwo,mwana-lunga
chur1257,synovica,synovĭ,dŭšti,synŭ,synovica,synovĭ,synovica,synovĭ,dŭšti,synŭ,synovica,synovĭ
cint1239,vait,netop,vāzetpaka,ojpako,pakaj,opip,zerit,zerit,mãzetpaka,kyptï,vait,kyptï
coca1259,tairia,tairia,taira,taira,tairia,tairia,memira,memira,mimirakunia,memira,memira,memira
cofa1242,keʔtʰe,kĩši,õkẽ,dɨc̷ʰiʔye,keʔtʰe,kĩši,keʔtʰe,kĩši,õkẽ,dɨc̷ʰiʔye,keʔtʰe,kĩši
coma1245,paha,paha,petï',tua,ara',ara',paha,paha,petï',tua,ara',ara'
corn1251,noith,noi,mergh,mab,noith,noi,noith,noi,mergh,mab,noith,noi
cube1242,ñujemacu,ñujemacu,máco,mácu,yuico,yuicu,páramocu,páramocu,máco,mácu,ñujemacu,ñujemacu
czec1258,neteř,synovec,dcera,syn,neteř,sestřenec,neteř,synovec,dcera,syn,neteř,sestřenec
dand1238,miāri,māghi,miari,māghi,miāri,māghi,miāri,māghi,miari,māghi,miāri,māghi
dani1285,niece,nevø,datter,søn,niece,nevø,niece,nevø,datter,søn,niece,nevø
dari1249,doxtær-bæradær,pesær-bæradær,doxtar,pesar,doxtær-xahær,pesær-xahær,doxtær-bæradær,pesær-bæradær,doxtar,pesar,doxtær-xahær,pesær-xahær
dhar1248,manbi,wuru,manbi,manbi?,nyugin,nyugin,manbi,wuru,manbi,manbi?,nyugin,nyugin
