"mBSmBD","mDmBD","mSmBD","mZDmBD","mZSmBD","wBDmBD","wBSmBD","wDmBD","wSmBD","wZDmBD","wZSmBD","mDmBS","mSmBS","mZDmBS","mZSmBS","wBDmBS","wBSmBS","wDmBS","wSmBS","wZDmBS","wZSmBS","mSmD","mZDmD","mZSmD","wBDmD","wBSmD","wDmD","wSmD","wZDmD","wZSmD","mZDmS","mZSmS","wBDmS","wBSmS","wDmS","wSmS","wZDmS","wZSmS","mZSmZD","wBDmZD","wBSmZD","wDmZD","wSmZD","wZDmZD","wZSmZD","wBDmZS","wBSmZS","wDmZS","wSmZS","wZDmZS","wZSmZS","wBSwBD","wDwBD","wSwBD","wZDwBD","wZSwBD","wDwBS","wSwBS","wZDwBS","wZSwBS","wSwD","wZDwD","wZSwD","wZDwS","wZSwS","wZSwZD","Glottocode"
0,0.75,0.75,0,0,0,0,0.75,0.75,0,0,0.75,0.75,0,0,0,0,0.75,0.75,0,0,0.25,0.75,0.75,0.75,0.75,0,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0,0.75,0.75,0,0,0,0.75,0.75,0,0,0,0,0.75,0.75,0,0,0,0.75,0.75,0,0,0.75,0.75,0,0,0.25,0.75,0.75,0.75,0.75,0,"ache1246"
0,0.727272727272727,0.727272727272727,0.636363636363636,0.636363636363636,0,0,0.727272727272727,0.727272727272727,0.636363636363636,0.636363636363636,0.727272727272727,0.727272727272727,0.636363636363636,0.636363636363636,0,0,0.727272727272727,0.727272727272727,0.636363636363636,0.636363636363636,0.181818181818182,0.636363636363636,0.636363636363636,0.727272727272727,0.727272727272727,0,0.181818181818182,0.636363636363636,0.636363636363636,0.545454545454545,0.545454545454545,0.727272727272727,0.727272727272727,0.181818181818182,0,0.545454545454545,0.545454545454545,0,0.636363636363636,0.636363636363636,0.636363636363636,0.545454545454545,0,0,0.636363636363636,0.636363636363636,0.636363636363636,0.545454545454545,0,0,0,0.727272727272727,0.727272727272727,0.636363636363636,0.636363636363636,0.727272727272727,0.727272727272727,0.636363636363636,0.636363636363636,0.181818181818182,0.636363636363636,0.636363636363636,0.545454545454545,0.545454545454545,0,"adny1235"
0.833333333333333,0.833333333333333,1,0,0.833333333333333,0,0.833333333333333,0.833333333333333,1,0,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0.5,0.833333333333333,0,1,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0,1,0.833333333333333,0.833333333333333,1,0.5,1,0.5,1,0,1,0.5,0.833333333333333,0,0.833333333333333,0.833333333333333,1,0,0.833333333333333,0.833333333333333,0,0.833333333333333,0.5,0.833333333333333,0,0.833333333333333,0.833333333333333,1,0,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0,1,0.833333333333333,0.833333333333333,1,0.5,0.833333333333333,"afri1274"
0,0.833333333333333,1,0,0,0,0,0.833333333333333,1,0,0,0.833333333333333,1,0,0,0,0,0.833333333333333,1,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0,0.833333333333333,0.833333333333333,0.833333333333333,1,1,1,1,0.833333333333333,0,1,1,0,0,0,0.833333333333333,1,0,0,0,0,0.833333333333333,1,0,0,0,0.833333333333333,1,0,0,0.833333333333333,1,0,0,0.833333333333333,0.833333333333333,0.833333333333333,1,1,0,"aghu1253"
0.142857142857143,0.714285714285714,0.857142857142857,0,0.142857142857143,0,0.142857142857143,0.714285714285714,0.857142857142857,0,0.142857142857143,0.714285714285714,0.714285714285714,0.142857142857143,0,0.142857142857143,0,0.714285714285714,0.714285714285714,0.142857142857143,0,1,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0,1,0.714285714285714,0.714285714285714,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,1,0,0.857142857142857,0.714285714285714,0.142857142857143,0,0.142857142857143,0.714285714285714,0.857142857142857,0,0.142857142857143,0.142857142857143,0,0.714285714285714,0.714285714285714,0.142857142857143,0,0.142857142857143,0.714285714285714,0.857142857142857,0,0.142857142857143,0.714285714285714,0.714285714285714,0.142857142857143,0,1,0.714285714285714,0.714285714285714,0.857142857142857,0.714285714285714,0.142857142857143,"agua1253"
0.3,0.6,0.7,0,0.3,0,0.3,1,1,0,0.3,0.8,0.6,0.3,0,0.3,0,1,1,0.3,0,0.2,0.6,0.8,0.6,0.8,0.4,0.4,0.6,0.8,0.7,0.6,0.7,0.6,0.4,0.4,0.7,0.6,0.3,0,0.3,1,1,0,0.3,0.3,0,1,1,0.3,0,0.3,1,1,0,0.3,1,1,0.3,0,0.2,1,1,1,1,0.3,"akhv1239"
1,0.8,0.8,0,1,0,1,0.8,0.8,0,1,1,1,1,0,1,0,1,1,1,0,0.6,0.8,1,0.8,1,0,0.6,0.8,1,0.8,1,0.8,1,0.6,0,0.8,1,1,0,1,0.8,0.8,0,1,1,0,1,1,1,0,1,0.8,0.8,0,1,1,1,1,0,0.6,0.8,1,0.8,1,1,"alba1267"
0,0.727272727272727,0.727272727272727,0.272727272727273,0.272727272727273,0,0,0.727272727272727,0.727272727272727,0.272727272727273,0.272727272727273,0.727272727272727,0.727272727272727,0.272727272727273,0.272727272727273,0,0,0.727272727272727,0.727272727272727,0.272727272727273,0.272727272727273,0,0.818181818181818,0.818181818181818,0.727272727272727,0.727272727272727,0,0,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272727,0.727272727272727,0,0,0.818181818181818,0.818181818181818,0,0.272727272727273,0.272727272727273,0.818181818181818,0.818181818181818,0,0,0.272727272727273,0.272727272727273,0.818181818181818,0.818181818181818,0,0,0,0.727272727272727,0.727272727272727,0.272727272727273,0.272727272727273,0.727272727272727,0.727272727272727,0.272727272727273,0.272727272727273,0,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0,"alya1239"
0,0.75,0.75,0.416666666666667,0.416666666666667,0,0,0.75,0.75,0.416666666666667,0.416666666666667,0.75,0.75,0.416666666666667,0.416666666666667,0,0,0.75,0.75,0.416666666666667,0.416666666666667,0,0.583333333333333,0.583333333333333,0.75,0.75,0,0,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.75,0.75,0,0,0.583333333333333,0.583333333333333,0,0.416666666666667,0.416666666666667,0.583333333333333,0.583333333333333,0,0,0.416666666666667,0.416666666666667,0.583333333333333,0.583333333333333,0,0,0,0.75,0.75,0.416666666666667,0.416666666666667,0.75,0.75,0.416666666666667,0.416666666666667,0,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0,"amha1245"
0.181818181818182,0.909090909090909,0.818181818181818,0,0.181818181818182,0,0.181818181818182,0.909090909090909,0.818181818181818,0,0.181818181818182,1,0.818181818181818,0.181818181818182,0,0.181818181818182,0,1,0.818181818181818,0.181818181818182,0,0.545454545454545,0.909090909090909,1,0.909090909090909,1,0,0.545454545454545,0.909090909090909,1,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.545454545454545,0,0.818181818181818,0.818181818181818,0.181818181818182,0,0.181818181818182,0.909090909090909,0.818181818181818,0,0.181818181818182,0.181818181818182,0,1,0.818181818181818,0.181818181818182,0,0.181818181818182,0.909090909090909,0.818181818181818,0,0.181818181818182,1,0.818181818181818,0.181818181818182,0,0.545454545454545,0.909090909090909,1,0.818181818181818,0.818181818181818,0.181818181818182,"anci1242"
