feB,feZ,fFBeD,fFBeS,fFByD,fFByS,fFZeD,fFZeS,fFZyD,fFZyS,fMBeD,fMBeS,fMByD,fMByS,fMZeD,fMZeS,fMZyD,fMZyS,fyB,fyZ,meB,meZ,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,myB,myZ,Glottocode
omu-nene,e-rumbi,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-angu,omu-angu,omu-nene,e-rumbi,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-angu,omu-angu,here1253
ma-tä-rooʼ,mä-roo,mä-rǔʼ,ma-täʼ-rooʼ,mǎ-tä-kaʼ-zhä,mat-soʼ-gä,ihʼ-kä,tä-taʼ,ihʼ-kä,tä-taʼ,mǎʼ-kä,mǎ-de-shäʼ,mǎʼ-kä,mǎ-de-shäʼ,mä-rooʼ,ma-tä-rooʼ,mǎ-tä-kaʼ-zhä,mat-soʼ-gä,mat-soʼ-gä,mǎ-tä-kaʼ-zhä,mee-ä-käʼ,mat-tä-weʼ-ä,mat-tä-weʼ-ä,ma-täʼ-rooʼ,mǎ-tä-kaʼ-zhä,ma-soʼ-gä,ihʼˑkä,tä-taʼ,ihʼ-kä,tä-taʼ,mǎʼ-kä,mǎ-de-shäʼ,mǎʼ-kä,mǎ-de-shäʼ,mat-tä-weʼ-ä,mee-äʼ-kä,mǎ-tä-kaʼ-zhä,mat-soʼ-gä,mat-soʼ-gä,mǎ-tä-kaʼ-zhä,hida1246
ii-kni-w,ii-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,ii-kni-w,ii-kni-w,ii-kni-w,ii-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,ii-kni-w,ii-kni-w,high1278
utod,utod,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,utod,utod,utod,utod,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,pakaqisa,utod,utod,hili1240
merábarábhái,meríbaríbahin,merïbahin,merábhai´,meräbahin,merábhai´,meríbahin,merábhaí,meríbahin,merábhaí,meribahin,merábhaí,meribahin,merábhaí,meribahin,merábhai´,meribahin,merábhai´,meráchotábhái,merichotíbahin,merábarábhái,meríbaríbahin,merïbahin,merábhai´,merïbahin,merábhai´,meríbahin,merábhaí,meríbahin,merábhaí,meríbahin,merábhaí,meríbahin,merábhaí,merïbahin,merábhai´,meribahin,merábhai´,meráchotábhái,merichotíbahin,hind1269
šeš,neka-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anniniyami-,anninniyami-,anniniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,šeš,neka-,šeš,neka-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anniniyami-,anninniyami-,anniniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,šeš,neka-,hitt1242
yeɣpayr,kuyr,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,grdseryeɣpayr,grdserkuyr,yeɣpayr,kuyr,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,grdseryeɣpayr,grdserkuyr,homs1234
fivér,nővér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,öcz,húg,fivér,nővér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,öcz,húg,hung1274
agi,agi,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,agi,agi,agi,agi,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,kasingsing,agi,agi,ibal1244
menyadi,menyadi,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,menyadi,menyadi,menyadi,menyadi,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,petunggal,menyadi,menyadi,iban1264
wagi,wagi,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,wagi,wagi,wagi,wagi,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,kapitta,wagi,wagi,iban1267
bróðir,systir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,bróðir,systir,bróðir,systir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,bróðir,systir,icel1247
io',io',ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ai',ai',io',io',ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ganak,ai',ai',idaa1241
mosən,mosən,mosən,mosən,mənʤən,mənʤən,baba,baba,baba,baba,baba,baba,baba,baba,yekeli,yekeli,yekeli,yekeli,mənʤən,mənʤən,mosən,mosən,mosən,mosən,mənʤən,mənʤən,baba,baba,baba,baba,baba,baba,baba,baba,yekeli,yekeli,yekeli,yekeli,mənʤən,mənʤən,idii1243
-parape,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-ati,-parape,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-ati,igna1246
nara,ali,ali,ali,ali,ali,rian,rian,rian,rian,rian,rian,rian,rian,ali,ali,ali,ali,nara,ali,ali,nara,ali,ali,ali,ali,rian,rian,rian,rian,rian,rian,rian,rian,ali,ali,ali,ali,ali,nara,iliu1237
kabsat,kabsatababai,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kabsat,kabsatababai,kabsat,kabsatababai,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kabsat,kabsatababai,ilok1237
kakak,kakak,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,adik,adik,kakak,kakak,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,sepupu,adik,adik,indo1316
ekka,ekka,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,endi,endi,ekka,ekka,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,kalaki,endi,endi,indo1317
velloi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,siar,velloi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,siar,ingr1248
he-yenʼ-nä,heen-tan̤ʼ-ga,heen-tan̤ʼ-ga,he-yenʼ-nä,heen-tun̤ʼ-ga,e-chunʼ-cha,heen-yun̤ʼ-ga,hee-yin̤ʼ-ga,heen-yun̤ʼ-ga,hee-yin̤ʼ-ga,heenʼ-nah,heen-jaʼ-kä,heenʼ-nä,heen-jaʼ-kä,heen-tan̤ʼ-ga,he-yenʼ-nä,heen-tun̤ʼ-ya,e-chunʼ-cha,e-chunʼ-cha,heen-tun̤ʼ-ga,he-yenʼ-nä,he-yuʼ-nä,he-yuʼ-nä,he-yenʼ-nä,heen-tanʼ-ya,heen-thun̤ʼ-ga,heen-toasʼ-ka-me,heen-toansʼ-ka,heen-toasʼ-ka-me,heen-toasʼ-ka,heenʼ-nah,heen-jaʼ-kä,heenʼ-nä,heen-jaʼ-kä,hee-uʼ-nä,he-yenʼ-nä,heen-tan̤ʼ-ya,heen-thun̤ʼ-ga,heen-thun̤ʼ-ga,heen-tan̤ʼ-ya,iowa1245
talkaka,talkaka,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,talkaka,talkaka,talkaka,talkaka,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,talkaka,talkaka,iray1237
dearbrāthair,deirbhshiur,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,dearbrāthair,deirbhshiur,dearbrāthair,deirbhshiur,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,colceathar,dearbrāthair,deirbhshiur,iris1253
kaparsut,kaparsut,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kaparsut,kaparsut,kaparsut,kaparsut,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kapinsán,kaparsut,kaparsut,isna1241
fratello,sorella,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,fratello,sorella,fratello,sorella,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,fratello,sorella,ital1282
ahmi-ʔyasa,ahmi-yasaʔka,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,ahmi-ʔyasa,ahmi-yasaʔka,ahmi-ʔyasa,ahmi-yasaʔka,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,ahmi-ʔyasa,ahmi-yasaʔka,iton1250
uc̄i,ruc̄i,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,nuqʼeuc̄i,nuqʼeruc̄i,uc̄i,ruc̄i,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,kʼʷiniuc̄iqʼar,nuqʼeuc̄i,nuqʼeruc̄i,itsa1239
kaaka,kaaka,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,wari,wari,kaaka,kaaka,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,kataysa,wari,wari,ivat1242
brada~brɛda,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩklbrɛda~lɩklbrada,lɩklsɩsta,brada~brɛda,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩklbrɛda~lɩklbrada,lɩklsɩsta,jama1262
a´-nee,a´-nih,a´-nih,a´-nee,e-mo´-to,o-to´-to,a´-nih,a´-nee,e-mo´-to,e-to´-ko,a´-nih,a´-nee,e-mo´-to,o-to´-to,a´-nih,a´-nee,e-mo´-to,o-to´-to,o-to´-to,e-mo´-to,a´-nee,a´-nih,a´-nih,a´-nee,e-mo´-to,o-to´-to,a´-nih,a´-nee,e-mo´-to,o-to´-to,a´-nih,a´-nee,e-mo´-to,o-to´-to,a´-nih,a´-nee,e-mo´-to,o-to´-to,o-to´-to,e-mo´-to,japa1256
kangmas,mbakyu,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,adhilanang,adikwadon,kangmas,mbakyu,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,sedulurmisan,adhilanang,adikwadon,java1254
сínà'áˑ',сílá',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сínà'áˑ',сílá',сínà'áˑ',сílá',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сínà'áˑ',сílá',jica1244
che-kywý,che-ruké,che-ruké,che-kywý,che-kypyý,che-kywykeý,che-ruké,che-kywý,che-kypyý,che-kywykeý,che-ruké,che-kywý,che-kypyý,che-kywykeý,che-ruké,che-kywý,che-kypyý,che-kywykeý,che-kywykeý,che-kypyý,che-rikeý,che-rendý,che-rendý,che-rikeý,chen-rendý-miní,che-riwý,che-rendý,che-rikeý,chen-rendý-miní,che-riwý,che-rendý,che-rikeý,chen-rendý-miní,che-riwý,che-rendý,che-rikeý,chen-rendý-miní,che-riwý,che-riwý,chen-rendý-miní,kaiw1246
babat,tukoiab,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,babat,tukoiab,tukoiab,babat,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,babat,tukoiab,tukoiab,babat,kala1377
mamnd,mamnd,ay,mam,ay,mam,pañbem,ñbem,pañbem,ñbem,pañbem,ñbem,pañbem,ñbem,ay,mam,ay,mam,mamksen,mamksen,mamnd,mamnd,ay,mam,ay,mam,pañbem,ñbem,pañbem,ñbem,pañbem,ñbem,pañbem,ñbem,ay,mam,ay,mam,mamksen,mamksen,kala1397
ngarni,puwa,puwa,thapu,puwa,thapu,kungi,muwangu,kungi,muwangu,kungi,muwangu,kungi,muwangu,puwa,thapu,puwa,thapu,wungkurlu,wungkurlu,ngarni,puwa,puwa,thapu,puwa,thapu,kungi,muwangu,kungi,muwangu,kungi,muwangu,kungi,muwangu,puwa,thapu,puwa,thapu,wungkurlu,wungkurlu,kalk1246
iekiwýt,ierikét,ierikét,iekiwýt,iekypiýt,iekiwýt,ierikét,iekiwýt,iekypiýt,iekiwýt,ierikét,iekiwýt,iekypiýt,iekiwýt,ierikét,iekiwýt,iekypiýt,iekiwýt,iekiwýt,iekypiýt,ierikeýt,iereinýt,iereinýt,ierikeýt,iereinýt,ieriwýt,iereinýt,ierikeýt,iereinýt,ieriwýt,iereinýt,ierikeýt,iereinýt,ieriwýt,iereinýt,ierikeýt,iereinýt,ieriwýt,ieriwýt,iereinýt,kama1373
mukuwa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwinawa,mukuwa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwinawa,kamb1297
anamini,angukawini,angukawini,anamini,angukawini,anamini,mangàlu,balu,mangàlu,balu,layia,raianamini,layia,raianamini,angukawini,anamini,angukawini,anamini,anamini,angukawini,angupaluhu,anawini,anawini,angupaluhu,anawini,angupaluhu,anawini,layia,anawini,layia,balu,yera,balu,yera,anawini,angupaluhu,anawini,angupaluhu,angupaluhu,anawini,kamb1299
agi,agi,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,yugran,yugran,agi,agi,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,sin-pi-n-san,yugran,yugran,kank1243
be-cheʼ-do,be-shoʼ-wa,be-shoʼ-wa,be-cheʼ-do,ah-seʼ-zhe-gä,be-sun̤ʼ-gä,she-meʼ-she-gä,be-sheʼ-gä,she-meʼ-she-gä,be-sheʼ-gä,eʼ-naw,be-jaʼ-ga,eʼ-naw,be-jaʼ-ga,be-shoʼ-wa,be-cheʼ-do,ah-seʼ-zhe-gä,be-sun̤ʼ-gä,be-sun̤ʼ-gä,ah-seʼ-zhe-gä,be-zheʼ-yeh,be-tun̤ʼ-ga,be-tun̤ʼ-ga,be-cheʼ-do,be-tun̤ʼ-gä-zhinʼ-gä,be-sun̤ʼ-gä,be-cheʼ-zho,be-choseʼ-kä,be-cheʼ-zho,be-shoseʼ-kä,eʼ-naw,be-jaʼ-ga,eʼ-naw,be-jaʼ-ga,be-tun̤ʼ-ga,be-zheʼ-thǎ,be-tun̤ʼ-gä-zhinʼ-gä,be-sun̤ʼ-gä,be-sun̤ʼ-gä,be-tun̤ʼ-gä-zhin̤ʼ-gä,kans1243
koloja,koloja,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,nkasa,nkasa,koloja,koloja,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,nkasa,nkasa,kaon1241
tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,kapi1249
ave,hangau,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,ave,hangau,hangau,ave,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,hangau,ave,kapi1249a
dunancanamtemun,kianpastemun,kian,dudanan,kian,dudanan,korawan,korawan,korawan,korawan,korawan,korawan,korawan,korawan,kian,dudanan,kian,dudanan,dunancanamcicaun,kianpascicaun,kiancanamtemun,dunanpastemun,dudanan,kian,dudanan,kian,korawan,korawan,korawan,korawan,korawan,korawan,korawan,korawan,dudanan,kian,dudanan,kian,kiancanamcicaun,dunanpascicaun,kara1499
yehwěh-pau-khwa,yehwěh-paumü,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mu,yeht'-khwa,yehdan-t'-khwa-mǔ,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehpü´pau-khwa,yehpü´pau-mü,yehwěh-pau-khwa,yeh-wěh-paumü,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mǔ,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehdan-t'-khwa-mü,yeht'-khwa,yehpü´pau-khwa,yehpü´pau-mü,kare1337
katya,thurtu,mari,katya,mari,katya,punkali,nyupa,punkali,nyupa,punkali,nyupa,punkali,nyupa,mari,katya,mari,katya,marrkara,katya,katya,thurtu,mari,katya,mari,katya,nyupa,kumpali,nyupa,kumpali,nyupa,kumpali,nyupa,kumpali,mari,katya,mari,katya,marrkara,katya,kari1304
bōi,beni,piter-beni,pitur-boi,piter-beni,pitur-boi,pofter-beni,poftur-boi,pofter-beni,poftur-boi,mamter-beni,mamtur-boi,mamter-beni,mamtur-boi,master-beni,mastur-boi,master-beni,mastur-boi,bōi,beni,bōi,beni,piter-beni,pitur-boi,piter-beni,pitur-boi,pofter-beni,poftur-boi,pofter-beni,poftur-boi,mamter-beni,mamtur-boi,mamter-beni,mamtur-boi,master-beni,mastur-boi,master-beni,mastur-boi,bōi,beni,kash1277
yunga,yakkana,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,panyapi,panyapi,yunga,yakkana,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,panyapi,panyapi,kaur1267
kularint,jakukaṱu,jakukaṱu,kularint,tu:cint,kularint,ŋajaɳʈaṱu,ŋaṱicu,ŋajaɳʈaṱu,ŋaṱicu,ŋajaɳʈaṱu,ŋaṱicu,ŋajaɳʈaṱu,ŋaṱicu,jakukaṱu,kularint,tu:cint,kularint,kularint,tu:cint,ṱapucu,kularint,kularint,ṱapucu,kularint,tu:cint,ŋajaɳʈaṱu,campaṱu,ŋajaɳʈaṱu,campaṱu,ŋajaɳʈaṱu,campaṱu,ŋajaɳʈaṱu,campaṱu,kularint,ṱapucu,kularint,tu:cint,tu:cint,kularint,kaya1318
kɨwɨt,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,kɨpɨʔɨt,rekiʔɨt,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewiret,rewɨt,kaya1329
