feB,feZ,fFBeD,fFBeS,fFByD,fFByS,fFZeD,fFZeS,fFZyD,fFZyS,fMBeD,fMBeS,fMByD,fMByS,fMZeD,fMZeS,fMZyD,fMZyS,fyB,fyZ,meB,meZ,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,myB,myZ,Glottocode
awiyatja,angkuriya,angkuriya,awiyatja,aytiyatja,aytiyatja,altyele,ankele,altyele,ankele,altyele,ankele,altyele,ankele,angkuriya,awiyatja,aytiyatja,aytiyatja,aytiyatja,aytiyatja,awiyatja,angkuriya,angkuriya,awiyatja,aytiyatja,aytiyatja,altyele,ankele,altyele,ankele,altyele,ankele,altyele,ankele,angkuriya,awiyatja,aytiyatja,aytiyatja,aytiyatja,aytiyatja,alya1239
tallaqwändem,tallaqehet,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-akestlej,wändem,ehet,tallaqwändem,tallaqehet,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-aggotlej,yä-akestlej,yä-akestlej,yä-akestlej,yä-akestlej,wändem,ehet,amha1245
sia'ang,sia'ang,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,tuai,tuai,sia'ang,sia'ang,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,lulussangaing,tuai,tuai,ampi1237
adelpheós,adelphée,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,adelpheós,adelphée,adelpheós,adelphée,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,anepsiá,anepsiós,adelpheós,adelphée,anci1242
nataman,etwa-,natamn-,nataman,natamn-,nataman,nega,etwa-,nega,etwa-,natamn-,natamn-,natamn-,natamn-,nega,nega,nega,nega,nataman,etwa-,etwa-,natahen,nega,etwa-,nega,etwa-,ega-,natahen,ega-,natahen,nega,nega,nega,nega,ega-,ega-,ega-,ega-,etwa-,natahen,anei1239
kave,taina,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,taina,kave,anut1237
nhuthi,kaku,kaku,nhuthi,kupaka,kupaka,pilya,withiwa,pilya,withiwa,pilya,withiwa,pilya,withiwa,kaku,nhuthi,kupaka,kupaka,kupaka,kupaka,nhuthi,kaku,kaku,nhuthi,kupaka,kupaka,pilya,withiwa,pilya,withiwa,pilya,withiwa,pilya,withiwa,kaku,nhuthi,kupaka,kupaka,kupaka,kupaka,arab1267a
me-timʼ-do,me-chunʼ,me-chunʼ,me-timʼ-do,me-täʼ,me-sohʼ,mä-häʼ-gä-she,me-häʼ-gä-she,ma-häʼ-gä-she,me-häʼ-gä-she,mä-häʼ-gä-she,me-häʼ-gä-she,mä-häʼ-gä-she,me-häʼ-gä-she,me-chunʼ,me-timʼ-do,me-täʼ,me-sohʼ,me-sohʼ,me-täʼ,me-chinʼ,me-tonʼ-ga,me-tonʼ-ga,me-timʼ-do,me-tänkʼ-she,me-sohʼ,zä-häʼ-she,tä-häʼ-she,zä-häʼ-she,tä-häʼ-she,tä-häʼ-she,tä-häʼ-she,ta-häʼ-she,tä-häʼ-she,me-tonʼ-ga,me-chinʼ,me-tänkʼ-she,me-sohʼ,me-sohʼ,me-tänkʼ-she,assi1247
ṃjinåwaṃbaha,rumbúryaṃbaha,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,ṃjinåwaṃdori,rumbúryaṃdori,ṃjinåwaṃbaha,rumbúryaṃbaha,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,ṃjinåwaṃdori,rumbúryaṃdori,asut1235
kaká,kaká,kaká,kaká,urián,urián,kaká,kaká,urián,urián,kaká,kaká,urián,urián,kaká,kaká,urián,urián,urián,urián,kaká,kaká,kaká,kaká,urián,urián,kaká,kaká,urián,urián,kaká,kaká,urián,urián,kaká,kaká,urián,urián,urián,urián,atta1244
