fFF,fFM,fMF,fMM,mFF,mFM,mMF,mMM,Glottocode
tepoh,tepoh,tepoh,tepoh,tepoh,tepoh,tepoh,tepoh,bari1288
aita'ɲi,ama'ɲi,aita'ɲi,ama'ɲi,aita'ɲi,ama'ɲi,aita'ɲi,ama'ɲi,basq1248
mbambayamomo,mbambayandito,mbambayamomo,mbambayandito,mbambayamomo,mbambayandito,mbambayamomo,mbambayandito,bata1285
opungbawa,opungboru,opungbawa,opungboru,opungbawa,opungboru,opungbawa,opungboru,bata1289
bāb,q̛aynān,bāb,q̛aynān,bāb,q̛aynān,bāb,q̛aynān,bats1242
babai,sumuk,babai,sumuk,babai,sumuk,babai,sumuk,baub1235
mayili,ngapari,nyami,gantharri,mayili,ngapari,nyami,gantharri,bayu1240
ubuk,ubuk,ubuk,ubuk,ubuk,ubuk,ubuk,ubuk,beka1241
dzed,babulja,dzed,babulja,dzed,babulja,dzed,babulja,bela1254
shikulu,shikulu,shikulu,shikulu,shikulu,shikulu,shikulu,shikulu,bemb1257
kuuku,papa,kuuku,papa,kuuku,papa,kuuku,papa,bena1262
kúukú,kúukú,kúukú,kúukú,kúukú,kúukú,kúukú,kúukú,bend1258
amardádá,amardidy,amardádá,amardidy,amardádá,amardidy,amardádá,amardidy,beng1280
tata,taté,tata,taté,tata,taté,tata,taté,bera1259
apus,kpu,apus,kpu,apus,kpu,apus,kpu,biak1248
kapua,kapua,kapua,kapua,kapua,kapua,kapua,kapua,bier1244
bumbu,tambök,bumbu,tambök,bumbu,tambök,bumbu,tambök,bign1238
dui-,tap'-,dui-,tap'-,dui-,tap'-,dui-,tap'-,bign1238a
bābā,dādi,nānā,nāni,bābā,dādi,nānā,nāni,biha1245
tata,taté,tata,taté,tata,taté,tata,taté,bila1255
se̠s,se̠s,se̠s,se̠s,se̠s,se̠s,se̠s,se̠s,bilb1241
apo,apo,apo,apo,apo,apo,apo,apo,bino1237
apuq,apuq,apuq,apuq,apuq,apuq,apuq,apuq,binu1244
aja,aji,nana,nani,aja,aji,nana,nani,birh1242
ŋat,kami,ŋat,kuku,ŋad,kami,ŋad,kuku,biri1256
ŋaimara,aimakan,ŋaimara,aimakan,ŋaimara,aimakan,ŋaimara,aimakan,bitt1240
ne-ahxsʼ,ne-tä-ke-ahˑxs,ne-ahxsʼ,ne-tä-ke-ahˑxs,ne-ahxsʼ,ne-tä-ke-ahˑxs,ne-ahxsʼ,ne-tä-ke-ahˑxs,bloo1239
kai-na,koa'-na,kai-na,koa'-na,kai-na,koa'-na,kai-na,koa'-na,boan1243
apo,apo,apo,apo,apo,apo,apo,apo,bont1247
tadkoz,mamm-gozh,tadkoz,mamm-gozh,tadkoz,mamm-gozh,tadkoz,mamm-gozh,bret1244
upu'tukid,upu'tukid,upu'tukid,upu'tukid,upu'tukid,upu'tukid,upu'tukid,upu'tukid,broo1239
tǒn-kǎʼ-she-lǎ,un-cheʼ,tǒn-kǎʼ-she-lǎ,un-cheʼ,tǒn-kǎʼ-she-lǎ,un-cheʼ,tǒn-kǎʼ-she-lǎ,un-cheʼ,brul1239
fofoama,fofoina,fofoama,fofoina,fofoama,fofoina,fofoama,fofoina,buhi1245
taita,maamai,nanna,teete,taita,maamai,nanna,teete,buin1247
akek,akek,akek,akek,akek,akek,akek,akek,buka1261
kúúka,kuukhu,kúúka,kuukhu,kúúka,kuukhu,kúúka,kuukhu,buku1249
djado,baba,djado,baba,djado,baba,djado,baba,bulg1262
oeat,ngolo,oeat,ngolo,oeat,ngolo,oeat,ngolo,buli1256
kuruki,kro,kurapi,kro,kuruki,kro,kurapi,kro,bung1264
ua,ua,ua,ua,ua,ua,ua,ua,bung1269
aki,bai,aki,bai,aki,bai,aki,bai,bunu1267
k:bo,k:a-pwä,k:bo,k:a-pwä,k:bo,k:a-pwä,k:bo,k:a-pwä,burm1266
opo,opo,opo,opo,opo,opo,opo,opo,buru1303
mama,mama,mama,mama,mama,mama,mama,mama,bush1247
tumbuk,tumbuk,tumbuk,tumbuk,tumbuk,tumbuk,tumbuk,tumbuk,butm1237
qa',qa',kwa-l,su,qa',qa',kwa,su,cahu1264
'apo,'apo,'apo,'apo,'apo,'apo,'apo,'apo,casi1235
hocʼ-sote,ocʼ-sote,hocʼ-sote,ocʼ-sote,hocʼ-sote,ocʼ-sote,hocʼ-sote,ocʼ-sote,cayu1261
úyung,úyang,úyung,úyang,úyung,úyang,úyung,úyang,cebu1242
ba-pir,nanik,ba-pir,nanik,ba-pir,nanik,ba-pir,nanik,cent1972
bábo,bábo,bábo,bábo,bábo,bábo,bábo,bábo,cent2084
g-apo,g-apo,g-apo,g-apo,g-apo,g-apo,g-apo,g-apo,cent2089
apo,bai,apo,bai,apo,bai,apo,bai,cent2090
mbo',mbo',mbo',mbo',mbo',mbo',mbo',mbo',cent2092
tipolai,tipomahau,tipolai,tipomahau,tipolai,tipomahau,tipolai,tipomahau,cent2101
ačila,awiča,ačila,awiča,ačila,awiča,ačila,awiča,cent2142
aa'ʔapa,aa'mama,aa'ʔapa,aa'mama,aa'ʔapa,aa'mama,aa'ʔapa,aa'mama,chac1249
guelo,guela,guelo,guela,guelo,guela,guelo,guela,cham1312
lolo,lola,lolo,lola,lolo,lola,lolo,lola,chav1241
ta:ta,na:yanamma,ta:ta,ammamma,ta:ta,na:yanamma,ta:ta,ammamma,chen1255
to,ʔay,to,ʔay,to,ʔay,to,ʔay,chep1245
e-nǐ-sǐ,e-nǐ-sǐ,e-nǐ-sǐ,e-nǐ-sǐ,e-nǐ-sǐ,e-nǐ-sǐ,e-nǐ-sǐ,e-nǐ-sǐ,cher1273
nam-a-shimʼ,na-vishʼ-kim,nam-a-shimʼ,na-vishʼ-kim,nam-a-shimʼ,na-vishʼ-kim,nam-a-shimʼ,na-vishʼ-kim,chey1247
um-uʼ-fo,hap-pǔʼ-sǐ,um-uʼ-fo,hap-pǔʼ-sǐ,um-uʼ-fo,hap-pǔʼ-sǐ,um-uʼ-fo,hap-pǔʼ-sǐ,chic1270
setsíe,setsoné,setsíe,setsoné,setsíe,setsoné,setsíe,setsoné,chip1261
matɲilʸa,matilʸa,matɲilʸa,matilʸa,matɲilʸa,matilʸa,matɲilʸa,matilʸa,chip1262
um-uhʼ-fo,up-pukʼnǐ,um-uhʼ-fo,up-pukʼnǐ,um-uhʼ-fo,up-pukʼnǐ,um-uhʼ-fo,up-pukʼnǐ,choc1276
saam,iin,saam,iin,saam,iin,saam,iin,chuu1238
terit,zobyj,terit,zobyj,terit,zobyj,terit,zobyj,cint1239
kohkolli,sistli,kohkolli,sistli,kohkolli,sistli,kohkolli,sistli,clas1250
amui,nai,amui,nai,amui,nai,amui,nai,coca1259
winpa,numa,inkwo,inika,winpa,numa,inkwo,inika,coco1261
nabama,nasaka,nabama,nasaka,naˈbama,naˈsaχa,nabama,nasaka,cogu1240
taʰta,mama,taʰta,mama,taʰta,mama,taʰta,mama,colo1249
kïnu',huci,toko',kaku',kïnu',huci,toko',kaku',coma1245
nu-mohˑʼ-ho-musʼ,noo-hˑomeʼ,nu-mohˑʼ-ho-musʼ,noo-hˑomeʼ,nu-mohˑʼ-ho-musʼ,noo-hˑomeʼ,nu-mohˑʼ-ho-musʼ,noo-hˑomeʼ,comm1246
ataatacciaq,anaanacciaq,ataatacciaq,anaanacciaq,ataatacciaq,anaanacciaq,ataatacciaq,anaanacciaq,copp1244
sîrawidn,damawidn,sîrawidn,damawidn,sîrawidn,damawidn,sîrawidn,damawidn,corn1251
bébé,bébé,bébé,bébé,bébé,bébé,bébé,bébé,cota1241
cha-pǔ-chäʼ,cha-pǔʼ-se,cha-pǔ-chäʼ,cha-pǔʼ-se,cha-pǔ-chäʼ,cha-pǔʼ-se,cha-pǔ-chäʼ,cha-pǔʼ-se,cree1270
na-mo-shomeʼ,no-kome',na-mo-shomeʼ,no-kome',na-mo-shomeʼ,no-kome',na-mo-shomeʼ,no-kome',cree1272
me-nup-hˑisʼ-sä-ka,bä-säʼ-kä-na,me-nup-hˑisʼ-sä-ka,bä-säʼ-kä-na,me-nup-hˑisʼ-sä-ka,bä-säʼ-kä-na,me-nup-hˑisʼ-sä-ka,bä-säʼ-kä-na,crow1244
ñecu,ñeco,ñecu,ñeco,ñecu,ñeco,ñecu,ñeco,cube1242
qa,qa,kwa,ʂu,qa,qa,kwa,ʂu,cupe1243
dědeček,babička,dědeček,babička,dědeček,babička,dědeček,babička,czec1258
waawu,waawu,waawu,waawu,waawu,waawu,waawu,waawu,daka1243
