fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,ampi1237
thugátēr,adelphidéē,adelphidéos,adelphidéē,adelphidéos,huiós,adelphidéē,adelphidéos,adelphidéē,adelphidéos,thugátēr,adelphidéē,adelphidéos,adelphidéē,adelphidéos,huiós,adelphidéē,adelphidéos,adelphidéē,adelphidéos,anci1242
inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,inhal,anei1239
apkitkaankilwana,anyaha,apyaha,anyaha,apyaha,apkitkaapkinao,anyaha,apyaha,anyaha,apyaha,apkitkaankilwana,anyaha,apyaha,anyaha,apyaha,apkitkaapkinao,anyaha,apyaha,anyaha,apyaha,anga1316
tukufine,tafineatukusó,tamasisiatukusó,tukuraymutu,tukuraymutu,tukutariki,tafineatukusó,tamasisiatukusó,tukuraymutu,tukuraymutu,tukufine,tafineatukusó,tamasisiatukusó,tukuraymutu,tukuraymutu,tukutariki,tafineatukusó,tamasisiatukusó,tukuraymutu,tukuraymutu,aniw1237
tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,iraamutu,iraamutu,tama,tama,tama,iraamutu,iraamutu,anut1237
artaka,kulakula,kulakula,kulakula,kulakula,artaka,kulakula,kulakula,kulakula,kulakula,artaka,kulakula,kulakula,kulakula,kulakula,artaka,kulakula,kulakula,kulakula,kulakula,arab1267
venaru-,naru-,venaru-,rahura-,rahura-,naru-,naru-,venaru-,rahura-,rahura-,venaru-,naru-,naru-,venaru-,rahura-,naru-,naru-,naru-,venaru-,rahura-,arak1252
memi,pe'ɨ͂,pe'ɨ͂,memi,memi,memi,pe'ɨ͂,pe'ɨ͂,memi,memi,haiyi,haiyi,ta'i,đȉpe,yi'i,ta'i,haiyi,ta'i,đȉpe,yi'i,araw1273
kare-namāne,kare-na,kare-na,maiwar-na,maiwari-a,kare-namāne,kare-na,kare-na,maiwar-na,maiwari-a,kare-namāne,kare-na,kare-na,maiwar-na,maiwari-a,kare-namāne,kare-na,kare-na,maiwar-na,maiwari-a,area1240
