fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
mãzetpaka,zerit,zerit,vait,kyptï,kyptï,zerit,zerit,vait,kyptï,vāzetpaka,vait,netop,pakaj,opip,ojpako,vait,netop,pakaj,opip,cint1239
mimirakunia,memira,memira,memira,memira,memira,memira,memira,memira,memira,taira,tairia,tairia,tairia,tairia,taira,tairia,tairia,tairia,tairia,coca1259
nabunzhi,nabunzhi,naskwá,nabunzhi,naskwá,naskwá,nabunzhi,naskwá,nabunzhi,naskwá,naˈbunʒi,nabunzhi,naskwá,nabunzhi,naskwá,naˈskwa,nabunzhi,naskwá,nabunzhi,naskwá,cogu1240
petï',paha,paha,ara',ara',tua,paha,paha,ara',ara',petï',paha,paha,ara',ara',tua,paha,paha,ara',ara',coma1245
n'-dä-nussʼ,n'-dä-nussʼ,n'-kweeseʼ,n'-dä-nussʼ,n'-kweeseʼ,n'-kweeseʼ,n'-dä-nussʼ,n'-kweeseʼ,n'-dä-nussʼ,n'-kweeseʼ,n'-dä-nussʼ,n'-dä-nussʼ,n'-kweeseʼ,longueʼ-kwäʼ,longueʼ-kw',n'-kweeseʼ,n'-dä-nussʼ,n'-kweeseʼ,longueʼ-kwäʼ,longueʼ-kw',comm1246
mergh,noith,noi,noith,noi,mab,noith,noi,noith,noi,mergh,noith,noi,noith,noi,mab,noith,noi,noith,noi,corn1251
anak,anakdibaluy,anakdibaluy,anakdibaluy,anakdibaluy,anak,anakdibaluy,anakdibaluy,anakdibaluy,anakdibaluy,anak,anakdibaluy,anakdibaluy,anakdibaluy,anakdibaluy,anak,anakdibaluy,anakdibaluy,anakdibaluy,anakdibaluy,cota1241
chuch-husʼ-wä,chu-chusʼ-te,um-os-sǔs-wä,chu-chusʼ-wä,chuch-ho-sǔ-che,chuch-husʼ-wä,chu-chusʼ-te,um-os-sǔs-wä,chu-chusʼ-wä,chuch-ho-sǔ-che,chuch-husʼ-te,chu-chusʼ-te,chup-pǔʼ-che,un-häkʼ-pu-te,un-ho-pǔeʼ-wä,chup-pǔʼ-che,chu-chusʼ-te,chup-pǔʼ-che,un-häkʼ-pu-te,un-ho-pǔeʼ-wä,cree1270
n'-däʼ-nis,n'-doʼ-zha-mis-kwem,n'-deh-kwä-timʼ,n'-doʼ-zha-mis-kwemʼ,n'-doʼ-zhim,n'-kooʼ-sis,n'-doʼ-zha-mis-kwem,n'-deh-kwä-timʼ,n'-doʼ-zha-mis-kwemʼ,n'-doʼ-zhim,n'-däʼ-nis,n'-doʼ-zha-mis-kwem,n'-doʼ-zhim,neese-che-misʼ,n'-deh-kwä-timʼ,n'-kooʼ-sis,n'-doʼ-zha-mis-kwem,n'-doʼ-zhim,neese-che-misʼ,n'-deh-kwä-timʼ,cree1272
näkʼ-me-ä,näkʼ-me-ä,bot-saʼ-sä,näkʼ-me-ä,bot-saʼ-sä,bot-saʼ-sä,näkʼ-me-ä,bot-saʼ-sä,näkʼ-me-ä,bot-saʼ-sä,näkʼ-me-ä,näkʼ-me-ä,bot-saʼ-sä,bä-soʼ-ka,bä-chǔʼ-ka,bot-saʼ-sä,näkʼ-me-ä,bot-saʼ-sä,bä-soʼ-ka,bä-chǔʼ-ka,crow1244
naakwa,ásisma,mátisma,ásisma,mátisma,naakwa,ásisma,mátisma,ásisma,mátisma,ʂuŋáma,matíma,matíma,matíma,matíma,polinma,matíma,matíma,matíma,matíma,cupe1243
dcera,bratovna,bratrovec,neteř,sestřenec,syn,bratovna,bratrovec,neteř,sestřenec,dcera,bratovna,bratrovec,neteř,sestřenec,syn,bratovna,bratrovec,neteř,sestřenec,czec1258
temeli,temeli,temeli,waawu,waawu,temeli,temeli,temeli,waawu,waawu,temeli,temeli,temeli,metoo,metoo,temeli,temeli,temeli,metoo,metoo,daka1243
me-chun̤kʼ-she,me-chun̤kʼ-she,me-tonshʼ-kä,me-chun̤kʼ-she,me-chin̤kʼ-she,me-chin̤kʼ-she,me-chun̤kʼ-she,me-tonshʼ-kä,me-chun̤kʼ-she,me-chin̤kʼ-she,me-chun̤kʼ-she,me-chun̤kʼ-she,me-chin̤kʼ-she,me-tun̤ʼ-zhan̤,me-tonshʼ-kä,me-chin̤kʼ-she,me-chun̤kʼ-she,me-chin̤kʼ-she,me-tun̤ʼ-zhan̤,me-tonshʼ-kä,dako1258
ngana'-anya,poanaung,poanaung,poanaung,poanaung,ngana'-anya,poanaung,poanaung,poanaung,poanaung,ngana'-anya,poanaung,poanaung,poanaung,poanaung,ngana'-anya,poanaung,poanaung,poanaung,poanaung,damp1237
miari,miāri,māghi,miāri,māghi,māghi,miāri,māghi,miāri,māghi,miari,miāri,māghi,miāri,māghi,māghi,miāri,māghi,miāri,māghi,dand1238
datter,niece,nevø,niece,nevø,søn,niece,nevø,niece,nevø,datter,niece,nevø,niece,nevø,søn,niece,nevø,niece,nevø,dani1285
doxtar,baradarzade,baradarzade,doxtær-xahær,xaharzade,pesar,baradarzade,baradarzade,doxtær-xahær,xaharzade,doxtar,baradarzade,baradarzade,doxtær-xahær,xaharzade,pesar,baradarzade,baradarzade,doxtær-xahær,xaharzade,dari1249
manbi,manbi,manbi?,nyugin,nyugin,manbi?,manbi,manbi?,nyugin,nyugin,manbi,manbi,manbi?,nyugin,nyugin,manbi?,manbi,manbi?,nyugin,nyugin,dhar1248
waku,gäthu,gäthu,gaminyarr,gaminyarr,waku,gäthu,gäthu,gaminyarr,gaminyarr,gäthu,gäthu,gäthu,waku,waku,gäthu,gäthu,gäthu,waku,waku,dhuw1248
waku,gäthu,gäthu,waku,waku,waku,gäthu,gäthu,waku,waku,gäthu,gäthu,gäthu,waku,waku,gäthu,gäthu,gäthu,waku,waku,dhuw1249
mukaarampu,mwana,mwana,mwewu,mwewu,mwaaibaal,mwana,mwana,mwewu,mwewu,mukaarampu,mwana,mwana,mwewu,mwewu,mwaaibaal,mwana,mwana,mwewu,mwewu,ding1239
bibirni,bibirni,biba,kulirni,kula,biba,bibirni,biba,kulirni,kula,bibirni,bibirni,biba,kulirni,kula,biba,bibirni,biba,kulirni,kula,djin1251
sa-leʼ-ǎ,se-leʼ-yǎ,se-yǎʼ-za,se-leʼ-yǎ,se-yäʼ-za,sa-yäʼ-za,se-leʼ-yǎ,se-yǎʼ-za,se-leʼ-yǎ,se-yäʼ-za,sa-leʼ-ǎ,se-leʼ-yǎ,se-yäʼ-za,se-leʼ-ǎ,se-yǎʼ-za,sa-yäʼ-za,se-leʼ-yǎ,se-yäʼ-za,se-leʼ-ǎ,se-yǎʼ-za,dogr1252
unga,ponungaan,ponungaan,ponungaan,ponungaan,unga,ponungaan,ponungaan,ponungaan,ponungaan,unga,ponungaan,ponungaan,ponungaan,ponungaan,unga,ponungaan,ponungaan,ponungaan,ponungaan,dond1249
asang,panganakan,panganakan,panganakan,panganakan,akol,panganakan,panganakan,panganakan,panganakan,asang,panganakan,panganakan,panganakan,panganakan,akol,panganakan,panganakan,panganakan,panganakan,dupa1235
dochter,nicht,neef,nicht,neef,zoon,nicht,neef,nicht,neef,dochter,nicht,neef,nicht,neef,zoon,nicht,neef,nicht,neef,dutc1256
daman,galbin,galbin,daman,daman,galbin,pimu,pimu,mukunan,mukunan,daman,galbin,galbin,daman,daman,galbin,pimu,pimu,muku,muku,dyir1250
'mettsan,tsan,tsandra,ɭhî,ɭhîra,râtsan,tsan,tsandra,ɭhî,ɭhîra,'mettsan,tsan,tsandra,ɭhî,ɭhîra,râtsan,tsan,tsandra,ɭhî,ɭhîra,dzon1239
chōrī,bhatijīorbhānjī,bhatijōorbhānjā,bhatijīorbhānjī,bhatijōorbhānjā,putra,bhatijīorbhānjī,bhatijōorbhānjā,bhatijīorbhānjī,bhatijōorbhānjā,chōrī,bhatijīorbhānjī,bhatijōorbhānjā,bhatijīorbhānjī,bhatijōorbhānjā,putra,bhatijīorbhānjī,bhatijōorbhānjā,bhatijīorbhānjī,bhatijōorbhānjā,east1436
dustˀr,yeɣboraɣǰikˀ,yeɣborordi,yeɣboraɣǰikˀ,yeɣborordi,vordi,yeɣboraɣǰikˀ,yeɣborordi,yeɣboraɣǰikˀ,yeɣborordi,dustˀr,yeɣboraɣǰikˀ,yeɣborordi,yeɣboraɣǰikˀ,yeɣborordi,vordi,yeɣboraɣǰikˀ,yeɣborordi,yeɣboraɣǰikˀ,yeɣborordi,east2283
toxter,pli'menice,plimenik,pli'menice,plimenik,zun,pli'menice,plimenik,pli'menice,plimenik,toxter,pli'menice,plimenik,pli'menice,plimenik,zun,pli'menice,plimenik,pli'menice,plimenik,east2295
ӱdyr,ӱdyrzhö,ergyzhe,ӱdyrzhö,ergyzhe,erge,ӱdyrzhö,ergyzhe,ӱdyrzhö,ergyzhe,ӱdyr,ӱdyrzhö,ergyzhe,ӱdyrzhö,ergyzhe,erge,ӱdyrzhö,ergyzhe,ӱdyrzhö,ergyzhe,east2328
taine,fakafotu,fakafotu,taine,tama,tama,fakafotu,fakafotu,taine,tama,taine,taine,tama,ilamutu,ilamutu,tama,taine,tama,ilamutu,ilamutu,east2447
bon'ow'omoto,bönöju,bönöju,bönöju,bönöju,bon'oajwende,bönöju,bönöju,bönöju,bönöju,bon'ow'omoto,bönöju,bönöju,bönöju,bönöju,bon'oajwende,bönöju,bönöju,bönöju,bönöju,ekon1238
natungnangòròn,natungnangòròn,natungnanoe,pwelemetang,pua,natungnanoe,natungnangòròn,natungnanoe,pwelemetang,pua,natungnangòròn,natungnangòròn,natungnanoe,pwelemetang,pua,natungnanoe,natungnangòròn,natungnanoe,pwelemetang,pua,emau1237
mən,mən,llɪg,mən,llɪg,ɽɪg,mən,llɪg,mən,llɪg,mən,mən,llɪg,mən,llɪg,ɽɪg,mən,llɪg,mən,llɪg,ende1235
tʸeytʸer̃ʸ,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,c̷ʸor̃a,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,tʸeytʸer̃ʸ,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,c̷ʸor̃a,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,erzy1239
tütar̃,wennatütar̃,wennapoeg,wennatütar̃,wennapoeg,poeg,wennatütar̃,wennapoeg,wennatütar̃,wennapoeg,tütar̃,wennatütar̃,wennapoeg,wennatütar̃,wennapoeg,poeg,wennatütar̃,wennapoeg,wennatütar̃,wennapoeg,esto1258
luvequ,vugoqu,vugoqu,luvequ,luvequ,luvequ,vugoqu,vugoqu,luvequ,luvequ,luvequ,luvequ,luvequ,vugoqu,vugoqu,luvequ,luvequ,luvequ,vugoqu,vugoqu,fiji1243
tytär,veljentytär,veljenpoika,siskontytär,siskonpoika,poika,veljentytär,veljenpoika,siskontytär,siskonpoika,tytär,veljentytär,veljenpoika,siskontytär,siskonpoika,poika,veljentytär,veljenpoika,siskontytär,siskonpoika,finn1318
dochter,omke,omke,omke,omke,soan,omke,omke,omke,omke,dochter,omke,omke,omke,omke,soan,omke,omke,omke,omke,fris1239
fine,raimutu,raimutu,raimutu,raimutu,tariki,raimutu,raimutu,raimutu,raimutu,fine,raimutu,tariki,raimutu,tariki,tariki,raimutu,tariki,raimutu,tariki,futu1245
akat,panganakan,panganakan,panganakan,panganakan,akay,panganakan,panganakan,panganakan,panganakan,akat,panganakan,panganakan,panganakan,panganakan,akay,panganakan,panganakan,panganakan,panganakan,gada1258
ongopaongopedèka,awabiramadoehoetoe,gijanongoroemadoehoetoe,awabiramadoehoetoe,gijanongoroemadoehoetoe,ongopajanàwoe,awabiramadoehoetoe,gijanongoroemadoehoetoe,awabiramadoehoetoe,gijanongoroemadoehoetoe,ongopaongopedèka,awabiramadoehoetoe,gijanongoroemadoehoetoe,awabiramadoehoetoe,gijanongoroemadoehoetoe,ongopajanàwoe,awabiramadoehoetoe,gijanongoroemadoehoetoe,awabiramadoehoetoe,gijanongoroemadoehoetoe,gale1259
muwala,muwala,mutabani,mujwa,mujwa,mutabani,muwala,mutabani,mujwa,mujwa,muwala,muwala,mutabani,mujwa,mujwa,mutabani,muwala,mutabani,mujwa,mujwa,gand1255
kaʈuwa,piŋkanŋu,piŋkanŋu,kaʈuwa,kaʈuwa,kaʈuwa,piŋkanŋu,piŋkanŋu,kaʈuwa,kaʈuwa,piŋkanŋu,piŋkanŋu,piŋkanŋu,kaʈuwa,kaʈuwa,piŋkanŋu,piŋkanŋu,piŋkanŋu,kaʈuwa,kaʈuwa,gang1267
ulubëre,until,until,until,until,ulubëre,until,until,until,until,ulubëre,until,until,until,until,ulubëre,until,until,until,until,gayo1244
nátu-te-áine,nátu-te-aine,nátu-te-máne,natü-te-äine,natü-te-mane,nátu-te-máne,nátu-te-aine,nátu-te-máne,natü-te-äine,natü-te-mane,nátu-te-áine,natu-te-aine,nätu-te-mäne,nátu-te-aine,nätu-te-mäne,nátu-te-máne,natu-te-aine,nätu-te-mäne,nátu-te-aine,nätu-te-mäne,gilb1244
mwanangumuche,mwanawakuche,mwanawakilume,ahu,ahu,mwanamulume,mwanawakuche,mwanawakilume,ahu,ahu,mwanangumuche,mwanawakuche,mwanawakilume,ahu,ahu,mwanamulume,mwanawakuche,mwanawakilume,ahu,ahu,giry1241
mdodomchekulu,mwana,mwana,mwana,mwana,mdodomulume,mwana,mwana,mwana,mwana,mdodomchekulu,mwana,mwana,bulayi,bulayi,mdodomulume,mwana,mwana,bulayi,bulayi,gogo1263
nä-täʼ-na,na-täʼ-na,na-tahˑʼ-ta,na-täʼ-na,naʼ-hǎ,naʼ-hǎ,na-täʼ-na,na-tahˑʼ-ta,na-täʼ-na,naʼ-hǎ,nä-täʼ-na,naʼ-tä-na,naʼ-hǎ,na-thaʼ-be,na-tahˑʼ-ta,naʼ-hǎ,naʼ-tä-na,naʼ-hǎ,na-thaʼ-be,na-tahˑʼ-ta,gros1243
mɨmɨrə,harəwaiya,ipenčiá,mɨmɨrə,mɨmɨrə,mɨmɨrə,harəwaiya,ipenčiá,mɨmɨrə,mɨmɨrə,mɨmɨrə,mɨmɨrə,mɨmɨrə,emeriko,harəwaiya,mɨmɨrə,mɨmɨrə,mɨmɨrə,emeriko,harəwaiya,guaj1256
nguthurr,yumurr,yumurr,nguthurr,mukur,tuula,mukakay,mukakay,mukakay,mukakay,nguthurr,yumurr,yumurr,nguthurr,mukur,tuula,mukakay,mukakay,mukakay,mukakay,gugu1255
nguuthuurr,yumurr,yumurr,nguuthuurr,juway,juway,mugagay,mugagay,mugagay,mugagay,yumurr,yumurr,yumurr,nguuthuurr,mugur,yumurr,mugagay,mugagay,mugagay,mugagay,gugu1255a
märidikari,märibhǎtrije,märobhǎtrijo,märibhouneji,märobhouej,märodikaro,märibhǎtrije,märobhǎtrijo,märibhouneji,märobhouej,märidikari,märibhrǎtiji,mäzhäputanyä,märibhoueji,märobhouej,märodikaro,märibhrǎtiji,märobhrǎtijo,märibhoueji,märobhouej,guja1252
cece,goɭoɲ,goɭoɲ,cece,cece,cece,goɭoɲ,goɭoɲ,cece,cece,goɭoɲ,goɭoɲ,goɭoɲ,cece,cece,goɭoɲ,goɭoɲ,goɭoɲ,cece,cece,gunw1252
ómoisékeone,ómwanaoito,ómwanaoito,ómoigwa,ómoigwa,ómomuraóne,ómwanaoito,ómwanaoito,ómoigwa,ómoigwa,ómoisékeone,ómwanaoito,ómwanaoito,ómoigwa,ómoigwa,ómomuraóne,ómwanaoito,ómwanaoito,ómoigwa,ómoigwa,gusi1247
sa-ya-tseʼ,sǎ-cheʼ,saʼ-zoo,sa-leʼ-yǎ,saʼ-zoo,sa-zooʼ,sǎ-cheʼ,saʼ-zoo,sa-leʼ-yǎ,saʼ-zoo,sa-che,saʼ-cheʼ,saʼ-tin-ge,saʼ-ke,soo,saʼ-tin-ge,saʼ-cheʼ,saʼ-tin-ge,saʼ-ke,soo,gwic1235
ǀúã́,ŋǁóòrī,ŋǁóòrī,ǀúã́,ǀúã́,ǀúã́,ŋǁóòrī,ŋǁóòrī,ŋǁóòrī,ŋǁóòrī,ǀúã́,ǀúã́,ǀúã́,ŋǁóòrī,ŋǁóòrī,ǀúã́,ŋǁóòrī,ŋǁóòrī,ŋǁóòrī,ŋǁóòrī,gwii1239
duzung,duzung,duzung,duzung,duzung,duzung,duzung,duzung,duzung,duzung,duzung,duzung,duzung,zialang,zialang,duzung,duzung,duzung,zialang,zialang,hano1246a
nitu-ku,nitu-ku,nitu-ku,nitu-ku,nitu-ku,nitu-ku,nitu-ku,nitu-ku,nitu-ku,nitu-ku,nitu-ku,nitu-ku,nitu-ku,aloa,aloa,nitu-ku,nitu-ku,nitu-ku,aloa,aloa,hano1246b
anák,bayi,bapa,bayi,bapa,anák,bayi,bapa,bayi,bapa,anák,bayi,bapa,bayi,bapa,anák,bayi,bapa,bayi,bapa,hanu1241
sa-toʼ-a,sa-toʼ-a,sa-yǎʼ-za,sa-toʼ-a,sa-yäʼ-za,sa-yäʼ-za,sa-toʼ-a,sa-yǎʼ-za,sa-toʼ-a,sa-yäʼ-za,sa-toʼ-a,sa-toʼ-a,sa-yäʼ-za,sa-to-aʼ,sa-yäʼ-za,sa-yäʼ-za,sa-toʼ-a,sa-yäʼ-za,sa-to-aʼ,sa-yäʼ-za,hare1243
kaikikane,kaikikane,kaikemahini,kaikikane,kaikemahini,kaikemahini,kaikikane,kaikemahini,kaikikane,kaikemahini,kaikikane,kaikikane,kaikemahini,kaikikane,kaikemahini,kaikemahini,kaikikane,kaikemahini,kaikikane,kaikemahini,hawa1245
omuhára,omuhára,omutábani,omuhára,omutábani,omutábani,omuhára,omutábani,omuhára,omutábani,omuhára,omuhára,omutábani,omwi:wa,omwi:wa,omutábani,omuhára,omutábani,omwi:wa,omwi:wa,haya1250
mwali,mwipwa,mwipwa,mwali,mswami,mswami,mwipwa,mwipwa,mwali,mswami,mwali,mwali,mswami,mwipwa,mwipwa,mswami,mwali,mswami,mwipwa,mwipwa,hehe1240
omu-kazona,omu-zamumue,omu-sia,omu-zamumue,omu-sia,omu-zandu,omu-zamumue,omu-sia,omu-zamumue,omu-sia,omu-kazona,omu-zamumue,omu-sia,omu-zamumue,omu-sia,omu-zandu,omu-zamumue,omu-sia,omu-zamumue,omu-sia,here1253
mäʼ-kä,mä-käʼ,met-a-wä-pishʼ-sha,mä-käʼ,mǎ-de-shäʼ,mǎ-de-shäʼ,mä-käʼ,met-a-wä-pishʼ-sha,mä-käʼ,mǎ-de-shäʼ,mäʼ-kä,mä-käʼ,mǎ-de-shäʼ,mǎ-tä-käʼ-zhä,mat-soʼ-gä,mǎ-de-shäʼ,mä-käʼ,mǎ-de-shäʼ,mǎ-tä-käʼ-zhä,mat-soʼ-gä,hida1246
bataq,hinablos,hinablos,hinablos,hinablos,bataq,hinablos,hinablos,hinablos,hinablos,bataq,hinablos,hinablos,hinablos,hinablos,bataq,hinablos,hinablos,hinablos,hinablos,hili1240
meri´beti´,meribhantijé,merábhantijá,merïbahinanti´,merábhahinautá,merábetá,meribhantijé,merábhantijá,merïbahinanti´,merábhahinautá,meri´beti´,meribhatijî,merábhatija,meribhanje,merábháujá,merábetá,meribhatijî,merábhatija,meribhanje,merábháujá,hind1269
lány,unokahúg,unokaöcz,unokahúg,unokaöcz,fiú,unokahúg,unokaöcz,unokahúg,unokaöcz,lány,unokahúg,unokaöcz,unokahúg,unokaöcz,fiú,unokahúg,unokaöcz,unokahúg,unokaöcz,hung1274
yatce,tedilte,tedilte,actce,auw,xai,tedilte,tedilte,actce,auw,tse,tedilte,tedilte,actce,auw,xai,tedilte,tedilte,actce,auw,hupa1239
anaka,pang-anak-ana,pang-anak-ana,pang-anak-ana,pang-anak-ana,anaka,pang-anak-ana,pang-anak-ana,pang-anak-ana,pang-anak-ana,anaka,pang-anak-ana,pang-anak-ana,pang-anak-ana,pang-anak-ana,anaka,pang-anak-ana,pang-anak-ana,pang-anak-ana,pang-anak-ana,ibal1244
anak,endo,akan,endo,akan,anak,endo,akan,endo,akan,anak,endo,akan,endo,akan,anak,endo,akan,endo,akan,iban1264
ana,kanakan,kanakan,kanakan,kanakan,ana,kanakan,kanakan,kanakan,kanakan,ana,kanakan,kanakan,kanakan,kanakan,ana,kanakan,kanakan,kanakan,kanakan,iban1267
dóttir,frænka,frændi,frænka,frændi,sonur,frænka,frændi,frænka,frændi,dóttir,frænka,frændi,frænka,frændi,sonur,frænka,frændi,frænka,frændi,icel1247
anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,idaa1241
gæd,gæd,gæd,baba,baba,gæd,məndi,məndi,baba,baba,gæd,gæd,gæd,baba,baba,gæd,məndi,məndi,baba,baba,idii1243
anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,ifug1247
esu-čiča,-čehi,-čehi,-čehi,-čehi,ema-čiča,-čehi,-čehi,-čehi,-čehi,esu-čiča,-čehi,-čehi,-čehi,-čehi,ema-čiča,-čehi,-čehi,-čehi,-čehi,igna1246
anak,kaanakanababai,kaanakanalalaki,kaanakanababai,kaanakanalalaki,anak,kaanakanababai,kaanakanalalaki,kaanakanababai,kaanakanalalaki,anak,kaanakanababai,kaanakanalalaki,kaanakanababai,kaanakanalalaki,anak,kaanakanababai,kaanakanalalaki,kaanakanababai,kaanakanalalaki,ilok1237
anak,kemanakan,kemanakan,kemanakan,kemanakan,anak,kemanakan,kemanakan,kemanakan,kemanakan,anak,kemanakan,kemanakan,kemanakan,kemanakan,anak,kemanakan,kemanakan,kemanakan,kemanakan,indo1316
anaqlilla,kamanakang,kamanakang,kamanakang,kamanakang,anaqdinda,kamanakang,kamanakang,kamanakang,kamanakang,anaqlilla,kamanakang,kamanakang,kamanakang,kamanakang,anaqdinda,kamanakang,kamanakang,kamanakang,kamanakang,indo1317
hee-yun̤ʼ-ga,hee-yun̤ʼ-ga,heen-toasʼ-ka,hee-yun̤ʼ-ga,hee-yin̤ʼ-ga,hee-yin̤ʼ-ga,hee-yun̤ʼ-ga,heen-toasʼ-ka,hee-yun̤ʼ-ga,hee-yin̤ʼ-ga,hee-yun̤ʼ-ga,hee-yun̤ʼ-ga,hee-yinʼ-ga,heen-toasʼ-ka-me,heen-toasʼ-ka,hee-yin̤ʼ-ga,hee-yun̤ʼ-ga,hee-yinʼ-ga,heen-toasʼ-ka-me,heen-toasʼ-ka,iowa1245
ungâ,ranak,papa,ranak,papa,ungâ,ranak,papa,ranak,papa,ungâ,ranak,papa,ranak,papa,ungâ,ranak,papa,ranak,papa,iray1237
inghean,neacht,garmhac,neacht,garmhac,mac,neacht,garmhac,neacht,garmhac,inghean,neacht,garmhac,neacht,garmhac,mac,neacht,garmhac,neacht,garmhac,iris1253
anqanaq,ammanakan,ammanakan,ammanakan,ammanakan,anqanaq,ammanakan,ammanakan,ammanakan,ammanakan,anqanaq,ammanakan,ammanakan,ammanakan,ammanakan,anqanaq,ammanakan,ammanakan,ammanakan,ammanakan,isna1241
figlia,nipote,nipote,nipote,nipote,figlio,nipote,nipote,nipote,nipote,figlia,nipote,nipote,nipote,nipote,figlio,nipote,nipote,nipote,nipote,ital1282
ahm-eʔka,ahmi-desnameʔka,ahmi-desname,ahmi-desnameʔka,ahmi-desname,ahm-eʔe,ahmi-desnameʔka,ahmi-desname,ahmi-desnameʔka,ahmi-desname,ahm-eʔka,ahmi-desnameʔka,ahmi-desname,ahmi-desnameʔka,ahmi-desname,ahm-eʔe,ahmi-desnameʔka,ahmi-desname,ahmi-desnameʔka,ahmi-desname,iton1250
rirs̄i,qini,qini,qini,qini,durħuˤ,qini,qini,qini,qini,rirs̄i,qini,qini,qini,qini,durħuˤ,qini,qini,qini,qini,itsa1239
anak,anaken,anaken,anaken,anaken,anak,anaken,anaken,anaken,anaken,anak,anaken,anaken,anaken,anaken,anak,anaken,anaken,anaken,anaken,ivat1242
dāta,nis,nɛvyɔ,nis,nɛvyɔ,sɔn,nis,nɛvyɔ,nis,nɛvyɔ,dāta,nis,nɛvyɔ,nis,nɛvyɔ,sɔn,nis,nɛvyɔ,nis,nɛvyɔ,jama1262
moo´-soo-mǎ,o-nä´-e-to´-ko,e-to´-ko,o-mä´-e-to´-ko,e-to´-ko,moos´-ko,o-nä´-e-to´-ko,e-to´-ko,o-mä´-e-to´-ko,e-to´-ko,moo´-soo-mǎ,o-nä´-e-to-ko,e-to´-komo-ee,o-nä´-e-to´-ko,e-to´-ko,moos´-ko,o-nä´-e-to-ko,e-to´-komo-ee,o-nä´-e-to´-ko,e-to´-ko,japa1256
anak,keponakanwadôn,keponakanlanang,keponakanwadôn,keponakanlanang,anak,keponakanwadôn,keponakanlanang,keponakanwadôn,keponakanlanang,anak,keponakanwadôn,keponakanlanang,keponakanwadôn,keponakanlanang,anak,keponakanwadôn,keponakanlanang,keponakanwadôn,keponakanlanang,java1254
cìjátcè'^e,cìtsìłkè'^e,cìtsìłkè'^e,сìdà'^a,сìdà'áˑ',cíɣè'^e,cìtsìłkè'^e,cìtsìłkè'^e,сìdà'^a,сìdà'áˑ',cìjátcè'^e,cìjátcè'^e,cíɣè'^e,сìdà'^a,сìdà'áˑ',cíɣè'^e,cìjátcè'^e,cíɣè'^e,сìdà'^a,сìdà'áˑ',jica1244
umãbiá,umãbiatö,onumá,umãbiá,umãbiá,umãbiá,umãbiatö,onumá,umãbiá,umãbiá,uaiá,uaiá,ulapuká,uiatö,uahá,ulapuká,uaiá,ulapuká,uiatö,uahá,juru1256
mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,kagu1239
che-memby-kuña,che-pẽ,che-pẽ,che-memby-kuña,che-memby-kwimbaé,che-memby-kwimbaé,che-pẽ,che-pẽ,che-memby-kuña,che-memby-kwimbaé,che-radjý,che-radjý,che-raý,che-atipé,che-riý,che-raý,che-radjý,che-raý,che-atipé,che-riý,kaiw1246
kazi,ngaibat,ngaibat,wadwam,wadwam,kazi,ngaibat,ngaibat,wadwam,wadwam,kazi,ngaibat,ngaibat,wadwam,wadwam,kazi,ngaibat,ngaibat,wadwam,wadwam,kala1377
pan-ni-ga,kan-giʼ-a-ra,angʼ-a-ga,nu-a-ra-lu-a-ra,nu-a-ra-lu-a-ra,er-ne-ra,kan-giʼ-a-ra,angʼ-a-ga,nu-a-ra-lu-a-ra,nu-a-ra-lu-a-ra,pan-ni-ga,kan-giʼ-a-ra,kan-giʼ-a-ra,u-jo-ru-ga,u-jo-ru-ga,er-ne-ra,kan-giʼ-a-ra,kan-giʼ-a-ra,u-jo-ru-ga,u-jo-ru-ga,kala1399
kunkuyu,kunkuyu,kunkuyu,ngalhu,ngalhu,kunkuyu,kunkuyu,kunkuyu,ngalhu,ngalhu,kunkuyu,kunkuyu,kunkuyu,ngalhu,ngalhu,kunkuyu,kunkuyu,kunkuyu,ngalhu,ngalhu,kalk1246
dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,dum,kama1365
