fF,fFeB,fFeZ,fFyB,fFyZ,fM,fMeB,fMeZ,fMyB,fMyZ,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,Glottocode
ah-hˑaʼ,ah-haʼ,eʼ-ke-ä,ah-haʼ,eʼ-ke-ä,eʼ-ke-äʼ,bä-säʼ-na,eʼ-ke-ä,bä-säʼ-na,eʼ-ke-ä,ah-hˑaʼ,ah-haʼ,eʼ-ke-ä,ah-haʼ,eʼ-ke-ä,eʼ-ke-äʼ,bä-säʼ-na,eʼ-ke-ä,bä-säʼ-na,eʼ-ke-ä,crow1244
-na,kum,-pah,meš,-pah,ye,táʂma,neʂ,táʂma,yéʂma,-na,kum,-pah,meš,-pah,ye,táʂma,neʂ,táʂma,yéʂma,cupe1243
otec,strýc,teta,strýc,teta,matka,ujec,teta,ujec,teta,otec,strýc,teta,strýc,teta,matka,ujec,teta,ujec,teta,czec1258
taata,taata,nó,taata,nó,naana,syuk,naana,syuk,naana,taata,taata,nó,taata,nó,naana,syuk,naana,syuk,naana,daka1243
at-tayʼ,at-tayʼ,tun̤-winʼ,at-tayʼ,tun̤-winʼ,e-nahʼ,dakʼ-she,e-nahʼ,dakʼ-she,e-nahʼ,at-tayʼ,at-tayʼ,tun̤-winʼ,at-tayʼ,tun̤-winʼ,e-nahʼ,dakʼ-she,e-nahʼ,dakʼ-she,e-nahʼ,dako1258
siamang,posiamaung,posinaung,posiamaung,posinaung,sinang,posiamaung,posinaung,posiamaung,posinaung,siamang,posiamaung,posinaung,posiamaung,posinaung,sinang,posiamaung,posinaung,posiamaung,posinaung,damp1237
tāppe,pepi,ātō,kākō,ātō,talugh,māmā,peri,māmā,kuchi,tāppe,pepi,ātō,kākō,ātō,talugh,māmā,peri,māmā,kuchi,dand1238
far,onkel,tante,onkel,tante,mor,onkel,tante,onkel,tante,far,onkel,tante,onkel,tante,mor,onkel,tante,onkel,tante,dani1285
pedar,amu,amme,amu,amme,mādar,dāi,xāle,dāi,xāle,pedar,amu,amme,amu,amme,mādar,dāi,xāle,dāi,xāle,dari1249
pina,pina,pindirr,pina,pindirr,nyararu,migan,ngaya,migan,ngaya,pina,pina,pindirr,pina,pindirr,nyararu,migan,ngaya,migan,ngaya,dhar1248
bäpa,bäpa,mukulbäpa,bäpa,mukulbäpa,ŋandi,ŋapipi,ŋandi,ŋapipi,ŋandi,bäpa,bäpa,mukulbäpa,bäpa,mukulbäpa,ŋandi,ŋapipi,ŋandi,ŋapipi,ŋandi,dhuw1248
baapa,baapa,mukul,baapa,mukul,amala,ngapipi,amala,ngapipi,amala,baapa,baapa,mukul,baapa,mukul,amala,ngapipi,amala,ngapipi,amala,dhuw1249
ngapiri,ngapiri,papa,ngapiri,papa,ngandrri,kaka,tyipi,kaka,tyipi,ngapiri,ngapiri,papa,ngapiri,papa,ngandrri,yandriwaka,titnara,yandriwaka,titnara,dier1241a
baba,babamvyere,shangazi,babamdide,shangazi,mayo,aphu,mayomvyere,aphu,mayomdide,baba,babamvyere,shangazi,babamdide,shangazi,mayo,aphu,mayomvyere,aphu,mayomdide,digo1243
taata,taakoom,taatamukaatu,taakoom,taatamukaatu,maama,maamŋaŋ,maakoom,maamŋaŋ,maakoom,taata,taakoom,taatamukaatu,taakoom,taatamukaatu,maama,maamŋaŋ,maakoom,maamŋaŋ,maakoom,ding1239
kunhu',kunhu',mukul,kunhu',mukul,ngaarndi,kawal,ngaarnrti,kawal,ngaarnrti,kunhu',kunhu',mukul,kunhu',mukul,ngaarndi,kawal,ngaarnrti,kawal,ngaarnrti,djam1256
kirda,kanya,kirda,kanya,kirda,jakardini,kanya,jakardini,kanya,jakardini,kirda,kirda,lilirni,kirda,lilirni,jakardini,kanya,jakardini,kanya,jakardini,djin1251
tamana,tamana,edeyana,tamana,edeyana,sinana,wana,sinana,wana,sinana,tamana,tamana,edeyana,tamana,edeyana,sinana,wana,sinana,wana,sinana,dobu1241
set-häʼ,see-theʼ-ne,setʼ-so,see-theʼ-ne,setʼ-so,a-naʼ,serʼ-a,sä-kreʼ-a,serʼ-a,sä-kreʼ-a,set-häʼ,see-theʼ-ne,setʼ-so,see-theʼ-ne,setʼ-so,a-naʼ,serʼ-a,sä-kreʼ-a,serʼ-a,sä-kreʼ-a,dogr1252
siuma,ponsiamaan,ponsinaan,ponsiamaan,ponsinaan,siina,ponsiamaan,ponsinaan,ponsiamaan,ponsinaan,siuma,ponsiamaan,ponsinaan,ponsiamaan,ponsinaan,siina,ponsiamaan,ponsinaan,ponsiamaan,ponsinaan,dond1249
tetℇ,sángónusadi,nyangonusadi,sángónusadi,nyangonusadi,nyango,mulalo,mut'amulalo,mulalo,mut'amulalo,tetℇ,sángónusadi,nyangonusadi,sángónusadi,nyangonusadi,nyango,mulalo,mut'amulalo,mulalo,mut'amulalo,dual1243
vader,oom,tante,oom,tante,moeder,oom,tante,oom,tante,vader,oom,tante,oom,tante,moeder,oom,tante,oom,tante,dutc1256
buwaː,babu,gami,babu,gami,dudu,mamaː,ŋuweŋ,mamaː,ŋuweŋ,buwaː,babu,gami,babu,gami,dudu,mamaː,ŋuweŋ,mamaː,ŋuweŋ,duun1241
ŋuma,pimu,pimu,ŋuma,ŋalpan,kinakir,muku,mukunan,kaya,kinakir,ŋuma,pimu,pimu,ŋuma,ŋalpan,kinakir,muku,mukunan,kaya,kinakir,dyir1250
payo,pang,nî,pang,nî,mayo,kû,yû,kû,yû,payo,pang,nî,pang,nî,mayo,kû,yû,kû,yû,dzon1239
hayr,horyeɣbayr,horakʰuyr,horyeɣbayr,horakʰuyr,mayr,kʰer̃i,morakʰuyr,kʰer̃i,morakʰuyr,hayr,horyeɣbayr,horakʰuyr,horyeɣbayr,horakʰuyr,mayr,kʰer̃i,morakʰuyr,kʰer̃i,morakʰuyr,east2283
tate,tatnsbruder,tatnsšvester,tatnsbruder,tatnsšvester,mame,mamesbruder,mamesšvester,mamesbruder,mamesšvester,tate,tatnsbruder,tatnsšvester,tatnsbruder,tatnsšvester,mame,mamesbruder,mamesšvester,mamesbruder,mamesšvester,east2295
acha,kugyza,kunai,kugyza,kunai,ava,chӱchӱ,kunai,chӱchӱ,kunai,acha,kugyza,kunai,kugyza,kunai,ava,chӱchӱ,kunai,chӱchӱ,kunai,east2328
tama-,tama-,ede-,tama-,ede-,retahi-,toga-,retahi-,toga-,retahi-,tama-,tama-,ede-,tama-,ede-,retahi-,toga-,retahi-,toga-,retahi-,east2443
tamana,tamana,masakitange,tamana,masakitange,tsinana,tu'a-tsinana,tsinana,tu'a-tsinana,tsinana,tamana,tamana,masakitange,tamana,masakitange,tsinana,tu'a-tsinana,tsinana,tu'a-tsinana,tsinana,east2447
aapa,mai,arombo,mai,arombo,ama,yaake,papa,yaake,papa,aapa,mai,arombo,mai,arombo,ama,yaake,papa,yaake,papa,east2516
t-uu,t-uu,-yeiče,t-uu,-yeiče,sɨ,-tutɨ,-sɨɨ,-tutɨ,-sɨɨ,t-uu,t-uu,che-yéiche,t-uu,che-yéiche,sɨ,che-tútɨ,che-sɨ́́i,che-tútɨ,che-sɨ́́i,east2555
fafa,ise,isomoto,ise,isomoto,nyango,nyangobika,nyango,nyangobika,nyango,fafa,ise,isomoto,ise,isomoto,nyango,nyangobika,nyango,nyangobika,nyango,ekon1238
mama,mama,mimi,mama,mimi,tètè,lò,tètè,lò,tètè,mama,mama,mimi,mama,mimi,tètè,lò,tètè,lò,tètè,emau1237
baba,mədauɽe,mədauɽe,mejaŋ,nəni,jai,pope,məɽpajai,pope,mədauɽe,baba,mədauɽe,mədauɽe,mejaŋ,nəni,jai,pope,məɽpajai,pope,məɽpa,ende1235
aapa,mae,arobo,mae,arobo,ama,yaake,papa,yaake,papa,aapa,mae,arobo,mae,arobo,ama,yaake,papa,yaake,papa,erav1244
tʸetʸa,lʸelʸax,sɨr̃ʸkay,lʸelʸax,sɨr̃ʸkay,ava,lʸelʸa,sɨr̃ʸkay,lʸelʸa,sɨr̃ʸkay,tʸetʸa,lʸelʸax,sɨr̃ʸkay,lʸelʸax,sɨr̃ʸkay,ava,lʸelʸa,sɨr̃ʸkay,lʸelʸa,sɨr̃ʸkay,erzy1239
isa,lell,sətse,lell,sətse,ema,onu,tædi,onu,tædi,isa,lell,sətse,lell,sətse,ema,onu,tædi,onu,tædi,esto1258
taa’,tinh,’ahd,tinh,’ahd,aan,gaag,yaaq’e’,gaag,yaaq’e’,taa’,tinh,’ahd,tinh,’ahd,aan,gaag,yaaq’e’,gaag,yaaq’e’,eyak1241
tare,ésa,son'a,ésa,son'a,nya,ndômézañ,nya,ndômézañ,nya,tare,ésa,son'a,ésa,son'a,nya,ndômézañ,nya,ndômézañ,nya,fang1246
tamaqu,tamaqu,ganei,tamaqu,ganei,tinaqu,momo,tinaqu,momo,tinaqu,tamaqu,tamaqu,ganei,tamaqu,ganei,tinaqu,momo,tinaqu,momo,tinaqu,fiji1243
isä,setä,täti,setä,täti,äiti,eno,täti,eno,täti,isä,setä,täti,setä,täti,äiti,eno,täti,eno,täti,finn1318
ïtaata,ïtaata,ïmaanguseenje,ïtaata,ïmaanguseenje,ïmaangu,ïmaanguluume,ïmaangu,ïmaanguluume,ïmaangu,ïtaata,ïtaata,ïmaanguseenje,ïtaata,ïmaanguseenje,ïmaangu,ïmaanguluume,ïmaangu,ïmaanguluume,ïmaangu,fipa1238
heit,omke,tante,omke,tante,mem,omke,tante,omke,tante,heit,omke,tante,omke,tante,mem,omke,tante,omke,tante,fris1239
ama,ulitág,ikit,ulitág,ikit,ina,ulitág,ikit,ulitág,ikit,ama,ulitág,ikit,ulitág,ikit,ina,ulitág,ikit,ulitág,ikit,gada1258
pupaː,garugi:,kiluː,garugi:,kiluː,kunicar,karuː,walgan,karuː,walgan,pupaː,garugi:,kiluː,garugi:,kiluː,kunicar,karuː,walgan,karuː,walgan,gami1243
bapa,timno,timno,nitano,nidimomajaoe,mamoe,timno,timno,nitano,nidimomajaoe,bapa,timno,timno,nitano,nidimomajaoe,mamoe,timno,timno,nitano,nidimomajaoe,gane1237
kaṋṱaṱu,kaṋṱaṱu,ŋamaṱu,kaṋṱaṱu,ŋamaṱu,ŋamaṱu,kakucu,ŋamaṱu,kakucu,ŋamaṱu,kaṋṱaṱu,kaṋṱaṱu,ŋamaṱu,kaṋṱaṱu,ŋamaṱu,ŋamaṱu,kakucu,ŋamaṱu,kakucu,ŋamaṱu,gang1267
ama,ama,ine,ama,ine,ine,pôn,ibi,pôn,ibi,ama,ama,ine,ama,ine,ine,pôn,ibi,pôn,ibi,gayo1244
táman,täman,tinau,täman,tinau,tinäu,tämau,tinau,tämau,tinau,táman,täman,tinau,täman,tinau,tinäu,tämau,tinau,tämau,tinau,gilb1244
baba,bam'zhere,tsangazimi,bam'hoho,tsangazimi,hmama,ahu,hmam'zhere,ahu,hmam'hoho,baba,bam'zhere,tsangazimi,bam'hoho,tsangazimi,hmama,ahu,hmam'zhere,ahu,hmam'hoho,giry1241
mama,mama,yaya,mama,yaya,nina,vaiuki,nina,vaiuki,nina,mama,mama,yaya,mama,yaya,nina,vaiuki,nina,vaiuki,nina,gras1249
ne-thaʼ-na,ne-thaʼ-na,na-haʼ,ne-thaʼ-na,na-haʼ,na-ke-͡ahʼ,naʼ-see,naʼ-nä,naʼ-see,naʼ-nä,ne-thaʼ-na,ne-thaʼ-na,na-haʼ,ne-thaʼ-na,na-haʼ,na-ke-͡ahʼ,naʼ-see,naʼ-nä,naʼ-see,naʼ-nä,gros1243
tu,tu-na,harəwaiya,tu-na,harəwaiya,ɨhi,iménə,ɨhi-na,iménə,ɨhi-na,tu,tu-na,yahɨ,tu-na,yahɨ,ɨhi,harəwaiya,ɨhi-na,harəwaiya,ɨhi-na,guaj1256
yezupar,cheru,yaiche,cheru,yaiche,chezììr,tutir,chezììr,tutir,chezììr,yezupar,cheru,yaiche,cheru,yaiche,cheái,mianga,ahi,mianga,ahi,guar1292
ngakumatharr,mukakay,mukakay,ngakumatharr,ngulmpurr,ngamu,mukakay,mukakay,mukur,ngamu,ngakumatharr,mukakay,mukakay,ngakumatharr,ngulmpurr,ngamu,mukakay,mukakay,mukur,ngamu,gugu1255
biiba,mugagay,mugagay,biiba,biimuur,ngamu,mugagay,mugagay,mugur,ngamu,biiba,mugagay,mugagay,biiba,biimuur,ngamu,mugagay,mugagay,mugur,ngamu,gugu1255a
märobäpǎ,märokako,märiphoi,märokako,märiphoi,märimä,märomämo,märimäsi,märomämo,märimäsi,märobäpǎ,märokako,märiphoi,märokako,märiphoi,märimä,märomämo,märimäsi,märomämo,märimäsi,guja1252
baapa,baapa,mukul,baapa,mukul,ngaarnrdi,gawal,ngaarnrdi,gawal,ngaarnrdi,baapa,baapa,mukul,baapa,mukul,ngaarnrdi,gawal,ngaarnrdi,gawal,ngaarnrdi,guma1253
ŋabːaɖ,ŋabːaɖ,beɭu,ŋabːaɖ,beɭu,garaɖ,ŋacac,mulaʔ,ŋacac,garaɖ,ŋabːaɖ,ŋabːaɖ,beɭu,ŋabːaɖ,beɭu,garaɖ,ŋacac,mulaʔ,ŋacac,garaɖ,gunw1252
yapu,yapu,yapurtu,yapu,yapurtu,yanga,kathiya,yanga,kathiya,yanga,yapu,yapu,yapurtu,yapu,yapurtu,yanga,kathiya,yanga,kathiya,yanga,guny1241
baapa,baapa,mukul,baapa,mukul,ngaarndi,nganakal,ngaarnrdi,muuri\',ngaarnrdi,baapa,baapa,mukul,baapa,mukul,ngaarndi,nganakal,ngaarnrdi,muuri\',ngaarnrdi,gupa1247
te-͡anghʼ,te-anghʼ,säʼ-kiʼ,te-anghʼ,säʼ-kiʼ,en-naʼ,soo-eʼ,na-ainghʼ,soo-eʼ,na-ainghʼ,te-͡anghʼ,te-anghʼ,säʼ-kiʼ,te-anghʼ,säʼ-kiʼ,en-naʼ,soo-eʼ,na-ainghʼ,soo-eʼ,na-ainghʼ,gwic1235
ǁūũ̄,cīāǁū,cīāǁū,ǁūũ̄-ǀùà,cīāǁū,ǁūũ̄,cīāǁū,cīāǁū,cīāǁū,ǁūũ̄-ǀùà,ǁūũ̄,cīāǁū,cīāǁū,ǁūũ̄-ǀùà,cīāǁū,ǁūũ̄,cīāǁū,cīāǁū,cīāǁū,ǁūũ̄-ǀùà,gwii1239
data,babamkubwa,senge,babamdogo,senge,mama,marume,mamamuto,marume,mamamuto,data,babamkubwa,senge,babamdogo,senge,mama,marume,mamamuto,marume,mamamuto,haaa1252
tama,tama,vwavwa,tama,vwavwa,ratahi,tarabe,ratahi,tarabe,ratahi,tama,tama,vwavwa,tama,vwavwa,ratahi,tarabe,ratahi,tarabe,ratahi,hano1246
zimang,zimang,wawa,zimang,wawa,dahing,mezang,dahing,mezang,dahing,zimang,zimang,wawa,zimang,wawa,dahing,mezang,dahing,mezang,dahing,hano1246a
tata,tata,fafʷa,tata,fafʷa,mʷua,bena,mʷua,bena,mʷua,tata,tata,fafʷa,tata,fafʷa,mʷua,bena,mʷua,bena,mʷua,hano1246b
amang,bapa,bayi,bapa,bayi,ináng,bapa,bayi,bapa,bayi,amang,bapa,bayi,bapa,bayi,ináng,bapa,bayi,bapa,bayi,hanu1241
sa-täʼ,sa-täʼ,ba-tsoʼ-na,sa-täʼ,ba-tsoʼ-na,enʼ-de,a-na-bǎʼ-che-la,aʼ-na,a-na-bǎʼ-che-la,aʼ-na,sa-täʼ,sa-täʼ,ba-tsoʼ-na,sa-täʼ,ba-tsoʼ-na,enʼ-de,a-na-bǎʼ-che-la,aʼ-na,a-na-bǎʼ-che-la,aʼ-na,hare1243
makuakane,makuakane,makuahine,makuakane,makuahine,makuahine,makuakane,makuahine,makuakane,makuahine,makuakane,makuakane,makuahine,makuakane,makuahine,makuahine,makuakane,makuahine,makuakane,makuahine,hawa1245
tâ:ta,tá:t'ento,tát'énkåzi,tá:t'ento,tát'énkåzi,mâ:we,malûmi,má:'énto,malûmi,má:'énto,tâ:ta,tá:t'ento,tát'énkåzi,tá:t'ento,tát'énkåzi,mâ:we,malûmi,má:'énto,malûmi,má:'énto,haya1250
dada,dadamuvina,yuvahengemuvina,dadamudodo,yuvahengemudodo,yuva,yayamuvina,yuvamuvina,yayamudodo,yuvamudodo,dada,dadamuvina,yuvahengemuvina,dadamudodo,yuvahengemudodo,yuva,yayamuvina,yuvamuvina,yayamudodo,yuvamudodo,hehe1240
tä-taʼ,tä-taʼ,kä-ruʼ-hǎ,tä-taʼ,kä-ruʼ-hǎ,ihʼ-kä,mä-tä-rooʼ,ihʼ-kä,mä-tä-rooʼ,ihʼ-kä,tä-taʼ,tä-taʼ,kä-ruʼ-hǎ,tä-taʼ,kä-ruʼ-hǎ,ihʼ-kä,me-äʼ-ka,ihʼ-kä,me-äʼ-ka,ihʼ-kä,hida1246
amay,tiyo,tiya,tiyo,tiya,iloy,tiyo,tiya,tiyo,tiya,amay,tiyo,tiya,tiyo,tiya,iloy,tiyo,tiya,tiyo,tiya,hili1240
merápitá,meráchachá,meriphuphi´,meráchachá,meriphuphi´,merimátá,merámámú,merimausi,merámámú,merimausi,merápitá,meráchachá,meriphuphi´,meráchachá,meriphuphi´,merimátá,merámámú,merimausi,merámámú,merimausi,hind1269
hayr,horyeɣpayr,horakuyr,horyeɣpayr,horakuyr,mayr,keri,morakuyr,keri,morakuyr,hayr,horyeɣpayr,horakuyr,horyeɣpayr,horakuyr,mayr,keri,morakuyr,keri,morakuyr,homs1234
apa,apainagybáczi,nagynéni,apainagybáczi,nagynéni,anya,anyainagybáczi,nagynéni,anyainagybáczi,nagynéni,apa,apainagybáczi,nagynéni,apainagybáczi,nagynéni,anya,anyainagybáczi,nagynéni,anyainagybáczi,nagynéni,hung1274
ta,tai,aditcwu,tai,aditcwu,antcuiñ,is,unkai,is,unkai,ta,tai,aditcwu,tai,aditcwu,antcuiñ,is,unkai,is,unkai,hupa1239
ama,pang-ama-an,pang-ina-an,pang-ama-an,pang-ina-an,ina,pang-ama-an,pang-ina-an,pang-ama-an,pang-ina-an,ama,pang-ama-an,pang-ina-an,pang-ama-an,pang-ina-an,ina,pang-ama-an,pang-ina-an,pang-ama-an,pang-ina-an,ibal1244
apai,aya,ibo,aya,ibo,indai,aya,ibo,aya,ibo,apai,aya,ibo,aya,ibo,indai,aya,ibo,aya,ibo,iban1264
ama,ulitag,iki,ulitag,iki,inno,ulitag,iki,ulitag,iki,ama,ulitag,iki,ulitag,iki,inno,ulitag,iki,ulitag,iki,iban1267
fadir,frændi,frænka,frændi,frænka,módir,frændi,frænka,frændi,frænka,fadir,frændi,frænka,frændi,frænka,módir,frændi,frænka,frændi,frænka,icel1247
ama',kamman,minan,kamman,minan,ina',kamman,minan,kamman,minan,ama',kamman,minan,kamman,minan,ina',kamman,minan,kamman,minan,idaa1241
yaya,məndi,məndi,meyaŋg,eli,nænæ,baba,nænæ,baba,nænæ,yaya,məndi,məndi,meyaŋg,eli,nænæ,baba,nænæ,baba,nænæ,idii1243
ama,ama,ina,ama,ina,ina,ama,ina,ama,ina,ama,ama,ina,ama,ina,ina,ama,ina,ama,ina,ifug1247
ama,ama,lain,ama,lain,ina,hain,ina,hain,ina,ama,ama,lain,ama,lain,ina,hain,ina,hain,ina,iliu1237
ama,uliteg,ikit,uliteg,ikit,ina,uliteg,ikit,uliteg,ikit,ama,uliteg,ikit,uliteg,ikit,ina,uliteg,ikit,uliteg,ikit,ilok1237
babak,paman,bibi,paman,bibi,ibu,paman,bibi,paman,bibi,babak,paman,bibi,paman,bibi,ibu,paman,bibi,paman,bibi,indo1316
lolo,puah,puah,uadiki,aya,emma,puah,emmabasar,puto,aya,lolo,puah,puah,uadiki,aya,emma,puah,emmabasar,puto,aya,indo1317
tattaisä,tädä,täti,tädä,täti,emä,enoi,täti,enoi,täti,tattaisä,tädä,täti,tädä,täti,emä,enoi,täti,enoi,täti,ingr1248
heenʼ-kä,heenʼ-kä,heen-tooʼ-me,heenʼ-kä,heen-tooʼ-me,heenʼ-nä,heen-jaʼ-kä,heenʼ-nä,heen-jaʼ-kä,heenʼ-nä,heenʼ-kä,heenʼ-kä,heen-tooʼ-me,heenʼ-kä,heen-tooʼ-me,heenʼ-nä,heen-jaʼ-kä,heenʼ-nä,heen-jaʼ-kä,heenʼ-nä,iowa1245
apáng,papa,dadà,papa,dadà,adáng,papa,dadà,papa,dadà,apáng,papa,dadà,papa,dadà,adáng,papa,dadà,papa,dadà,iray1237
athair,dearbrāthairathar,deirbhshiūrathar,dearbrāthairathar,deirbhshiūrathar,mathair,dearbrāthairmāthar,deirbhsiurmāthir,dearbrāthairmāthar,deirbhsiurmāthir,athair,dearbrāthairathar,deirbhshiūrathar,dearbrāthairathar,deirbhshiūrathar,mathair,dearbrāthairmāthar,deirbhsiurmāthir,dearbrāthairmāthar,deirbhsiurmāthir,iris1253
ama,ulitag,fkit,ulitag,fkit,ina,ulitag,fkit,ulitag,fkit,ama,ulitag,fkit,ulitag,fkit,ina,ulitag,fkit,ulitag,fkit,isna1241
padre,zio,zia,zio,zia,madre,zio,zia,zio,zia,padre,zio,zia,zio,zia,madre,zio,zia,zio,zia,ital1282
t̄at̄i,ac̄i,azay,ac̄i,azay,waba,ac̄i,azay,ac̄i,azay,t̄at̄i,ac̄i,azay,ac̄i,azay,waba,ac̄i,azay,ac̄i,azay,itsa1239
ama,maran,kamnan,maran,kamnan,ina,maran,kamnan,maran,kamnan,ama,maran,kamnan,maran,kamnan,ina,maran,kamnan,maran,kamnan,ivat1242
fāda,ɔŋkl,āntɩ,ɔŋkl,āntɩ,māda,ɔŋkl,āntɩ,ɔŋkl,āntɩ,fāda,ɔŋkl,āntɩ,ɔŋkl,āntɩ,māda,ɔŋkl,āntɩ,ɔŋkl,āntɩ,jama1262
o-to'tsang,ne-bän-mǎ-no-o-asee,o-bä,so-ree-o-no-o-asee,o-bä,o-ka-tsan,nebän-mä-no-o-asee,o-bä,nebän-mä-no-o-asee,o-bä,o-to'tsang,ne-bän-mǎ-no-o-asee,o-bä,so-ree-o-no-o-asee,o-bä,o-ka-tsan,nebän-mä-no-o-asee,o-bä,nebän-mä-no-o-asee,o-bä,japa1256
ngawi,ngawiyi,mukul,ngawiyi,mukul,ngama,ngamirni,ngama,ngamirni,ngama,ngawi,ngawiyi,mukul,ngawiyi,mukul,ngama,ngamirni,ngama,ngamirni,ngama,jaru1254
bapak,pakdhé,budhé,paklik,bulik,ibu,pakdhé,budhé,paklik,bulik,bapak,pakdhé,budhé,paklik,bulik,ibu,pakdhé,budhé,paklik,bulik,java1254
ʔɛj,toj,tojbɨʔ,bɛh,mɔʔ,bɨʔ,toj,tojbɨʔ,bɛh,mɔʔ,ʔɛj,toj,tojbɨʔ,bɛh,mɔʔ,bɨʔ,toj,tojbɨʔ,bɛh,mɔʔ,jeha1242
cìkà'éˑ',cìdédjé,cìdédjé,cìdédjé,cìdédjé,cì'níˑ',сìdà'áˑ',cì'níˑ',сìdà'áˑ',cì'níˑ',cìkà'éˑ',cìdédjé,cìdédjé,cìdédjé,cìdédjé,cì'níˑ',сìdà'áˑ',cì'níˑ',сìdà'áˑ',cì'níˑ',jica1244
pãa,pãa,uaci,pãa,uaci,ĩdiã,diá,ĩdiã,diá,ĩdiã,pãa,pãa,uaidá,pãa,uaidá,ĩdiã,aapá,ĩdiã,aapá,ĩdiã,juru1256
tama,tamaˀate,tinaˀate,tamaˀate,tinaˀate,tina,tamaˀate,tinaˀate,tamaˀate,tinaˀate,tama,tamaˀate,tinaˀate,tamaˀate,tinaˀate,tina,tamaˀate,tinaˀate,tamaˀate,tinaˀate,kaba1285
appan,mutappan,mutamma,kuttyappan,mami,amma,maman,mutamma,maman,kutty,appan,mutappan,mutamma,kuttyappan,mami,amma,maman,mutamma,maman,kutty,kada1242
nama,nsoesoe,ngkolo,nsoesoe,ngkolo,ina,nsoesoe,ngkolo,nsoesoe,ngkolo,nama,nsoesoe,ngkolo,nsoesoe,ngkolo,ina,nsoesoe,ngkolo,nsoesoe,ngkolo,kada1286
baba,babamkulu,maimkulu,babamdodo,maimdodo,mai,babamkulu,maimkulu,babamdodo,maimdodo,baba,babamkulu,maimkulu,babamdodo,maimdodo,mai,babamkulu,maimkulu,babamdodo,maimdodo,kagu1239
che-rú,che-ruwy,che-djaiché,che-ruwy,che-djaiché,che-sy,che-tuty,che-syy,che-tuty,che-syy,che-rú,che-ruwy,che-djaiché,che-ruwy,che-djaiché,che-sy,che-tuty,che-syy,che-tuty,che-syy,kaiw1246
tati,tati,ngaibat,tati,ngaibat,apu,wadwam,apu,wadwam,apu,tati,tati,ngaibat,tati,ngaibat,apu,wadwam,apu,wadwam,apu,kala1377
bapi,bwow,awal,bwow,awal,ami,bpap,amkan,bpap,amkan,bapi,bwow,awal,bwow,awal,ami,bpap,amkan,bpap,amkan,kala1397
a-tâ-ta-ga,aʼ-ka-ga,at-sa-ga,aʼ-ka-ga,at-sa-ga,an-â-na-ga,ang-a-ga,a-jaʼ-ga,ang-a-ga,a-jaʼ-ga,a-tâ-ta-ga,aʼ-ka-ga,at-sa-ga,aʼ-ka-ga,at-sa-ga,an-â-na-ga,ang-a-ga,a-jaʼ-ga,ang-a-ga,a-jaʼ-ga,kala1399
kurla,kurla,ngutyirr,kurla,ngutyirr,marnu,pupi,martu,pupi,martu,kurla,kurla,ngutyirr,kurla,ngutyirr,marnu,pupi,martu,pupi,martu,kalk1246
-paa,-paaidama,-aukoidama,-paaidika,-aukoidika,-auko,-paaela,-aukoela,-paaela,-aukoela,-paa,-paaidama,-aukoidama,-paaidika,-aukoidika,-auko,-paaela,-aukoela,-paaela,-aukoela,kama1365
ierúp,paí,ieaié,paí,ieaié,ieý,apí,aikamá,apí,aikamá,ierúp,paí,ieaié,paí,ieaié,ieý,ietutý,aikamá,ietutý,aikamá,kama1373
nau,mwendw'au,ukulu,mwendw'au,ukulu,iniaiia,mwendw'au,ukulu,mwendw'au,ukulu,nau,mwendw'au,ukulu,mwendw'au,ukulu,mwaitu,mwendw'au,ukulu,mwendw'au,ukulu,kamb1297
ama,ama,mamu,ama,mamu,ina,tuya,ina,tuya,ina,ama,ama,mamu,ama,mamu,ina,tuya,ina,tuya,ina,kamb1299
ama,alitao,ikit,alitao,ikit,ina,alitao,ikit,alitao,ikit,ama,alitao,ikit,alitao,ikit,ina,alitao,ikit,alitao,ikit,kank1243
e-däʼ-je,e-däʼ-je,be-jeʼ-me,e-däʼ-je,be-jeʼ-me,eʼ-naw,be-jaʼ-ga,eʼ-naw,be-jaʼ-ga,eʼ-naw,e-däʼ-je,e-däʼ-je,be-jeʼ-me,e-däʼ-je,be-jeʼ-me,eʼ-naw,be-jaʼ-ga,eʼ-naw,be-jaʼ-ga,eʼ-naw,kans1243
tata,mwinsho,tatankazhi,mwinsho,tatankazhi,mama,mwinsho,mama,mwinsho,mama,tata,mwinsho,tatankazhi,mwinsho,tatankazhi,mama,mwinsho,mama,mwinsho,mama,kaon1241
tamana,tamana,tinana,tamana,tinana,tinana,tamana,tinana,tamana,tinana,tamana,tamana,tinana,tamana,tinana,tinana,tamana,tinana,tamana,tinana,kapi1249
kamangaa,kamangaa,kinga,kamangaa,kinga,kinga,lamoku,kinga,lamoku,kinga,kamangaa,kamangaa,kinga,kamangaa,kinga,kinga,lamoku,kinga,lamoku,kinga,kapi1249a
tyapulu,tyapulu,kamuru,tyapulu,kamuru,kurtany,kaga,kurtany,kaga,kurtany,tyapulu,tyapulu,kamuru,tyapulu,kamuru,kurtany,kaga,kurtany,kaga,kurtany,kara1476
esa,esatemun,wowatemun,emacaun,wowacaun,ema,mamatemun,ematemun,mamacaun,emacaun,esa,esatemun,wowatemun,esacaun,wowacaun,ema,mamatemun,ematemun,mamacaun,emacaun,kara1499
