fF,fFeB,fFeZ,fFyB,fFyZ,fM,fMeB,fMeZ,fMyB,fMyZ,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,Glottocode
amá,táta,óra,táta,óra,iná,táta,óra,táta,óra,amá,táta,óra,táta,óra,iná,táta,óra,táta,óra,akla1241
mamang,papa,akbáy,papa,akbáy,ináng,papa,akbáy,papa,akbáy,mamang,papa,akbáy,papa,akbáy,ináng,papa,akbáy,papa,akbáy,alan1249
babë,mixhë,hallë,mixhë,hallë,nënë,dajë,teze,dajë,teze,babë,mixhë,hallë,mixhë,hallë,nënë,dajë,teze,dajë,teze,alba1267
noʼ-säʼ,no-säʼ,ne-sǎʼ-gwis-säʼ,no-säʼ,ne-sǎʼ-gwis-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,noʼ-säʼ,no-säʼ,ne-sǎʼ-gwis-säʼ,no-säʼ,ne-sǎʼ-gwis-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,algo1255
akngeye,akngiya,awenhe,akngiya,awenhe,ame,apmarle,amatja,apmarle,amatja,akngeye,akngiya,awenhe,akngiya,awenhe,ame,apmarle,amatja,apmarle,amatja,alya1239
abbat,aggot,akest,aggot,akest,ennat,aggot,akest,aggot,akest,abbat,aggot,akest,aggot,akest,ennat,aggot,akest,aggot,akest,amha1245
siama,somama'-onyo,sitete,somama'-onyo,sitete,siina,somama'-onyo,sitete,somama'-onyo,sitete,siama,somama'-onyo,sitete,somama'-onyo,sitete,siina,somama'-onyo,sitete,somama'-onyo,sitete,ampi1237
patḗr,pátrōs,patrokasígnḗtē,pátrōs,patrokasígnḗtē,mḗtēr,mḗtrōs,mētrokasígnḗtē,mḗtrōs,mētrokasígnḗtē,patḗr,pátrōs,patrokasígnḗtē,pátrōs,patrokasígnḗtē,mḗtēr,mḗtrōs,mētrokasígnḗtē,mḗtrōs,mētrokasígnḗtē,anci1242
etma-,etma-,risi-,etma-,risi-,risi-,mata-,risi-,mata-,risi-,etma-,etma-,risi-,etma-,risi-,risi-,mata-,risi-,mata-,risi-,anei1239
apyapoŋ,apyaha,ankatim,apyaha,ankatim,ankin,apyapka,ankin,apyapka,ankin,apyapoŋ,apyaha,ankatim,apyaha,ankatim,ankin,apyapka,ankin,apyapka,ankin,anga1316
cakutata,cakutatataurumutua,mahaway,cakutata,mahaway,cakumama,kaka,cakumama,kaka,cakumama,cakutata,cakutatataurumutua,mahaway,cakutata,mahaway,cakumama,kaka,cakumama,kaka,cakumama,aniw1237
tamana,tamana,makitanga,tamana,makitanga,pae,tuatina,pae,tuatina,pae,tamana,tamana,makitanga,tamana,makitanga,pae,tuatina,pae,tuatina,pae,anut1237
ta,ta,tetei-,ta,tetei-,puá,lala,puá,lala,puá,ta,ta,tetei-,ta,tetei-,puá,lala,puá,lala,puá,arak1252
