feB,feZ,fyB,fyZ,meB,meZ,myB,myZ,Glottocode
bli,embok,adi,adi,bli,embok,adi,adi,bali1278
mwane,tou,mwane,nae,tou,patne,nae,patne,balu1257
bimame,geɹwhaynenang,panaːm,wapuɲkan,bimame,geɹwhaynenang,panaːm,wapuɲkan,band1339
ading,ading,kaka,kaka,ading,ading,kaka,kaka,banj1239
kenanak,kenanak,kenanak,kenanak,kenanak,kenanak,kenanak,kenanak,bann1247
ivávi,i`a'm•a,ivaña',ivöni’i,ivávi,i`a'm•a,ivaña',ivöni’i,bann1248
umpaɳ,mariɹ,poɭa,mariɹ,umpaɳ,mariɹ,poɭa,mariɹ,bard1254
kenanak,kenanak,kenanak,kenanak,kenanak,kenanak,kenanak,kenanak,bari1288
sagok,rok,sagok,rok,rok,sagok,rok,sagok,baro1253
a'naie,a'reba,a'naie,a'reba,a'naie,a'reba,a'naie,a'reba,basq1248
ntoduami,sita,ndembéami,iluhu,ntoduami,sita,ndembéami,iluhu,bata1285
akangbawa,akangboru,anggi,anggi,akangbawa,akangboru,anggi,anggi,bata1289
waš,yaš,k̛ac̛k̛uxwaš,k̛ac̛k̛uxyaš,waš,yaš,k̛ac̛k̛uxwaš,k̛ac̛k̛uxyaš,bats1242
ni'piri,ni-'piṛ̌i,ni'piri,ni-'piṛ̌i,ni'piri,ni-'piṛ̌i,ni'piri,ni-'piṛ̌i,baur1253
katya,kunytyan,kurta,palha,katya,kunytyan,kurta,palha,bayu1240
akak,akak,adik,adik,akak,akak,adik,adik,beka1241
brat,sjastrá,brat,sjastrá,brat,sjastrá,brat,sjastrá,bela1254
amarburrodádá,amarburrodiddy,amarchotabratah,amarchotabhuguy,amarburrodádá,amarburrodidy,amarchotabratah,amarchotabhuguy,beng1280
homioné,alwané,moto,moto,homioné,alwané,moto,moto,bera1259
srar,naek,srar,naek,naek,srar,naek,srar,biak1248
kurua-gu,kulua-gu,kurua-gu,kulua-gu,kurua-gu,kinia-gu,kurua-gu,kinia-gu,bier1244
manök,tivalök,manök,tivalöknöngk,tivalök,evünök,tivalöknöngk,evünök,bign1238
apua'iavomia,apua'iavomia,apua'iamotoa,apua'iamotoa,apua'iavomia,apua'iavomia,apua'iamotoa,apua'iamotoa,bila1255
kak,kak,kak,kak,kak,kak,kak,kak,bilb1241
manong,manang,inaqodi,inaqodi,manong,manang,inaqodi,inaqodi,bino1237
maqama,magulanghabahi,maqama,manghedhabahi,maqama,atebay,maqama,atebay,binu1244
dada,didi,bhai,bui,dada,didi,bhai,bui,birh1242
katya,mikana,wupa,gadha,katya,mikana,wupa,gadha,biri1256
ʔueiʔait,ʔueiʔaitmakan,ʔueimara,ʔueimakan,ʔueiʔait,ʔueiʔaitmakan,ʔueimara,ʔueimakan,bitt1240
-edi,-kaku,-edi,-kaku,-kaku,-edi,-kaku,-edi,blag1240
nisʼ-sä,nee-his-tä,nis-kunʼ,ne-sisʼ-sä,nisʼ-sä,nee-his-tä,nis-kunʼ,ne-sisʼ-sä,bloo1239
taddakona,taddakona,tuai'-na,tuai'-na,taddakona,taddakona,tuai'-na,tuai'-na,boan1243
ötad,ötad,ötad,ötad,ötad,ötad,ötad,ötad,bont1247
kimul,angin,kimul,angin,angin,kimul,angin,kimul,boun1245
breur,c'hoar,breur,c'hoar,breur,c'hoar,breur,c'hoar,bret1244
tib-a-loʼ,chu-aʼ,me-sunkʼ-ä-lä,me-tonkʼ-ä,me-cheʼ-a,tonk-aʼ,me-sunkʼ-ä-lä,me-tänkʼ-she,brul1239
mána,mána,mána,mána,mána,mána,mána,mána,budz1238
duasayan,duasayan,duasayan,duasayan,duasayan,duasayan,duasayan,duasayan,buhi1245
noonoi,noonoi,noonoi,noonoi,noonoi,noonoi,noonoi,noonoi,buin1247
arik,arik,arik,arik,arik,arik,arik,arik,buka1261
ómukhulu,ómukhulu,ómuro,ómuro,ómukhulu,ómukhulu,ómuro,ómuro,buku1249
batko,kaka,brat,sestra,batko,kaka,brat,sestra,bulg1262
rama,tenotaoeati,rama,tenotawawai,tenotaoeati,rama,tenotawawai,rama,buli1256
