feB,feZ,fyB,fyZ,meB,meZ,myB,myZ,Glottocode
achan,achi,tambi,anuchatti,achan,achi,tambi,anuchatti,kada1242
naha,foto,naha,foto,naha,foto,naha,foto,kada1286
che-kywý,che-ruké,che-kywykeý,che-kypyý,che-rikeý,che-rendý,che-riwý,chen-rendý-miní,kaiw1246
babat,tukoiab,babat,tukoiab,tukoiab,babat,tukoiab,babat,kala1377
mamnd,mamnd,mamksen,mamksen,mamnd,mamnd,mamksen,mamksen,kala1397
an-i-ga,an-ga-juʼ-ga,ar-ka-lu-a-ra,na-ka-ra,an-ga-ju-ga,a-le-ka-ra,nu-ka-ra,na-juʼ-ga,kala1399
ngarni,puwa,wungkurlu,wungkurlu,ngarni,puwa,wungkurlu,wungkurlu,kalk1246
-naka,-naka,-kak,-kak,-naka,-naka,-kak,-kak,kama1365
iekiwýt,ierikét,iekiwýt,iekypiýt,ierikeýt,iereinýt,ieriwýt,iereinýt,kama1373
mukuwa,mukuwa,mwinawa,mwinawa,mukuwa,mukuwa,mwinawa,mwinawa,kamb1297
anamini,angukawini,anamini,angukawini,angupaluhu,anawini,angupaluhu,anawini,kamb1299
agi,agi,yugran,yugran,agi,agi,yugran,yugran,kank1243
be-cheʼ-do,be-shoʼ-wa,be-sun̤ʼ-gä,ah-seʼ-zhe-gä,be-zheʼ-yeh,be-tun̤ʼ-ga,be-sun̤ʼ-gä,be-tun̤ʼ-gä-zhin̤ʼ-gä,kans1243
koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,kaon1241
tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,kapi1249
ave,hangau,ave,hangau,hangau,ave,hangau,ave,kapi1249a
paparla,kaputyu,marrkatu,marrkatu,paparla,kaputyu,marrkatu,marrkatu,kara1476
dunancanamtemun,kianpastemun,dunancanamcicaun,kianpascicaun,kiancanamtemun,dunanpastemun,kiancanamcicaun,dunanpascicaun,kara1499
yehwěh-pau-khwa,yehwěh-paumü,yehpü´pau-khwa,yehpü´pau-mü,yehwěh-pau-khwa,yeh-wěh-paumü,yehpü´pau-khwa,yehpü´pau-mü,kare1337
katya,thurtu,marrkara,katya,katya,thurtu,marrkara,katya,kari1304
típah,kústān,čá̄s,čī́š,típah,kústān,čá̄s,čī́š,karo1304
kurta,kurta,marlangu,marlangu,kurta,kurta,marlangu,marlangu,kart1247
bōi,beni,bōi,beni,bōi,beni,bōi,beni,kash1277
ʔa:kinʔ,dikinʔ,k'unʔ,šomenʔ,ʔa:kinʔ,dikinʔ,k'unʔ,šomenʔ,kash1280
maning,tuangavin,maning,tasingavin,tuang,vivining,tasing,livinging,katb1237
yunga,yakkana,panyapi,panyapi,yunga,yakkana,panyapi,panyapi,kaur1267
pavi,pazi,čaka'i,nami'i,pavi,pazi,čaka'i,nami'i,kawa1283
kularint,jakukaṱu,kularint,tu:cint,ṱapucu,kularint,tu:cint,kularint,kaya1318
kɨwɨt,rɨkiet,kɨwɨt,kɨpɨʔɨt,rekiʔɨt,rewɨt,rewiret,rewɨt,kaya1329
ni-tha-thäʼ,ni-mi-thäʼ,kä-chǎ-mä-thǎʼ-mi,kä-chǎ-nä-thǎʼ-ni,ni-tha-thäʼ,ni-mi-thäʼ,kä-chǎ-nä-thǎʼ-mi,kä-chǎ-mä-thǎʼ-ni,kick1244
mokorowakwa,mokorowakwa,morunawakwa,morunawakwa,mokorowakwa,mokorowakwa,morunawakwa,morunawakwa,kiku1240
lu-,tua-,lu-,bwada-,tua-,lu-,bwada-,lu-,kili1267
sìt'sìséˑ,cílà,sìt'sìséˑ,cílà,sìt'sìséˑ,cílà,sìt'sìséˑ,cílà,kiow1264
tukeh,tukeh,tadey,tadey,tukeh,tukeh,tadey,tadey,kipu1237
-ura,-nana,-ura,-naga,-nana,-ura,-naga,-ura,kira1248
námu,mábirirárobo,níriradúbu,nirirárobo,námu,mábirirárobo,níriradúbu,nirirárobo,kiwa1251
òm,òm,ik,ik,òm,òm,ik,ik,klon1234
aṇṇën,akkën,tammaṇën,taṅge,aṇṇën,akkën,tammaṇën,taṅge,koda1255
kaka,kaka,hai,hai,kaka,kaka,hai,hai,kode1237
atanac,poana,muna,poana,atanac,poana,muna,poana,komb1273
wayn-nìɨlwema,jèmtìilema,wayn-nìɨtwelà,jèmtìitelà,wayn-nìɨlwema,jèmtìilema,wayn-nìɨtwelà,jèmtìitelà,komc1235
nane,nane,nəŋgeθ,nəŋgeθ,nane,nane,nəŋgeθ,nəŋgeθ,komn1238
phuméape,phuméadi,motwape,motwadi,phuméape,phuméadi,motwape,motwadi,komo1260
kaka,kaka,hai,hai,kaka,kaka,hai,hai,kona1243
kaaka,kaaka,andi,andi,kaaka,kaaka,andi,andi,koro1311
lěk-lass,loǔk-lass,lik-srik,loǔk-srik,lěk-lass,loǔk-lass,lik-srik,loǔk-srik,kosr1238
ndomi,mbomo,ndomi,zimi,mbomo,kadji,zimi,kadji,kota1274
ba',ba',pai,pung,ba',ba',pai,pung,kris1246
taigu,turagu,taigu,turagu,turagu,taigu,turagu,taigu,kuan1248
dada,ba:ʔi,au,aṇgi,dada,ba:ʔi,au,aṇgi,kuii1252
kurranyutyanu,kurranyutyanu,kulyarri,marlatyanu,kurranyutyanu,kurranyutyanu,kulyarri,marlatyanu,kuka1246
yaba,babarr,yabaju,jinkurr,yaba,babarr,yabaju,jinkurr,kuku1273
kaka,kaka,andi,andi,kaka,kaka,andi,andi,kuli1254
dad,didi,bhulā,bhulī,dad,didi,bhulā,bhulī,kuma1273
kaku,kuutyarr,kampirr,kampirrkan,kaku,kuutyarr,kampirr,kampirrkan,kumb1268
эркъардаш,къызардаш,гиччикъардаш,гиччикъызардаш,эркъардаш,къызардаш,гиччикъардаш,гиччикъызардаш,kumy1244
olaŋar,ebaŋar,akaŋar,elaŋar,olaŋar,ebaŋar,akaŋar,elaŋar,kunj1248
dadas,ṛis,dai,ṛi,dadas,ṛis,dai,ṛi,kuru1302
ka-tǎtʼ,katʼ-so,katʼ-sha,kä-rǎ-nä,ka-tǎtʼ,katʼ-so,katʼ-sha,kä-nǎ-nä,kute1249
yapu,ya'a,ya'athu,ya'athu,yapu,ya'a,ya'athu,ya'athu,kuuk1238
tada,nana,arhi,poda,tada,nana,arhi,poda,kuvi1243
o'a,o'anageni,asi,asi,o'a,o'anageni,asi,asi,kwai1243
kamɨni,prea-,kamɨni,prɨsi-,prea-,kɨtirimwá-,prɨsi-,kɨtirimwá-,kwam1252
miunntumba,kalitumbå,ndtem,kalindembî,miunntumba,kalitumbå,ndtem,kalindembî,kwas1243
miidiila,laka,miidiila,kumoy,laka,mowoy,kumoy,mowoy,kwom1262
pemalene,kakingi,pemalene,kakingi,yangone,pemalene,yangone,pemalene,kyak1244
bhrā,bhéṇ,bhrā,bhéṇ,bhrā,bhéṇ,bhrā,bhéṇ,lahn1241
kaaka,kaaka,hai,hai,kaaka,kaaka,hai,hai,laiw1239
tibʼ-a-lo,chu-wa',me-sonʼ-kä-lä,me-tonʼ-kä,che-aʼ,ton-ka',me-sonʼ-kä-lä,me-tänkʼ-she,lako1247
uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,lala1264
kaka,kaka,hai,hai,kaka,kaka,hai,hai,lalo1239
-aipang,-i'e,-aipang,-iaku,-ikkar,-aipang,-iaku,-aipang,lamm1241
luto,toboro,luto,aiber,toboro,luto,aiber,luto,lamo1244
tʃukaka,tʃukaka,tʃuai,tʃuai,tʃukaka,tʃukaka,tʃuai,tʃuai,land1259
kungku,yaku,kungku,kungku,kuu,kuu,kuu,kuu,lard1243
manungk,tugangk,manungk,naaruongk,mame,vövönungk,havungk,vövönungk,lare1249
frāter,soror,frāterminor,sororminor,frāter,soror,frāterminor,sororminor,lati1261
frater,soror,frater,soror,frater,soror,frater,soror,lati1261a
brālis,māsa,jaunākaisbrālis,jaunākāmāsa,brālis,māsa,jaunākaisbrālis,jaunākāmāsa,latv1249
weka,tuaka,weka,tachi,tuaka,weka,tachi,weka,laua1243
sia'a,sia'a,tuai,tuai,sia'a,sia'a,tuai,tuai,lauj1238
lok-jeʼ-hä,ak-jeʼ-yä,le-gäʼ-ah,ka-gäʼ-ahʼ,lok-jeʼ-hä,ak-jeʼ-yä,le-gäʼ-ah,ka-gäʼ-ahʼ,laur1250
'auā,dōra,waena,sāsi,dōra,'auā,sāsi,waena,lauu1247
tai,gore,tai,gore,tai,gore,tai,gore,lele1267
nɨmwan-,pwia-,nɨmwan-,norh-,pwia-,nouin-,norh-,nouin-,lena1238
kuna'anungk,getawangk,kuna'anungk,geta'asungk,getawangk,kubabunungk,geta'asungk,kubabunungk,lete1241
m̃ene-,lue-,m̃ene-,lue-,arue-,vine-,arue-,vine-,lewo1242
garli,ngil-angil,walykga,walykga,garli,ngil-angil,walykga,walykga,limi1242
tatámokóló,yaya,tatáléki,lekiyamwasi,tatámokóló,yaya,tatáléki,lekiyamwasi,ling1263
tatan,vivin,tasn,vivin,tatan,vivin,tasn,vivin,ling1265
cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',lipa1241
aji̠,atst,niza̠,ni̠ma,aji̠,atst,niza̠,ni̠ma,lisu1250a
aji̠,atsi,niza̠,ni̠ma,aji̠,atsi,niza̠,ni̠ma,lisu1250b
aji̠,tatɕi,niza̠,ni̠ma,aji̠,tatɕi,niza̠,ni̠ma,lisu1250c
avi,adzj,nɛɹmɒ,nənə,avi,adzj,nɛɹmɒ,nənə,lisu1250d
brolis,sesuõ,brolis,sesuõ,brolis,sesuõ,brolis,sesuõ,lith1251
manungk,tugangk,manungk,naaruongk,mame,vövönungk,havungk,vövönungk,litz1237
irànga,riaka,irànga,nongoru,riaka,birànga,nongoru,birànga,lolo1264
wɛ,tɛˀi,wɛ,tɛˀi,tɛˀi,wɛ,tɛˀi,wɛ,loni1238
minjɛ-ari,jɛre-,minjɛ-ari,jɛre-,hela-,mɛtɛhal,hela-,mɛtɛhal,lonw1238
chichiak,takelek,chichiak,takelek,tigik,chichiak,tigik,chichiak,loto1240
muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,lozi1239
mukulu,mukulu,muakunyi,muakunyi,mukulu,mukulu,muakunyi,muakunyi,luba1249
nkolo,nkolo,nkasa,nkasa,mukulu,nkolo,nkasa,nyenga,luba1250
tinamean,palun,tinamean,palun,palun,tinafin,palun,tinafin,lubu1242
nopáa,qe'svukt,péét,máspíít,nopáa,qe'svukt,péét,máspíít,luis1253
brudder,schwester,brudder,schwester,brudder,schwester,brudder,schwester,luxe1241
tata',tata',ani',ani',tata',tata',ani',ani',maan1238
rimoritamoni,remo,rimoritamoni,rimorimpinte,tenoe,rimorimpinte,rimoritamoni,rimorimpinte,maba1278
bátko,ceca,brat,sestra,bátko,ceca,brat,sestra,mace1250
ninugu,tang,ninugu,tang,tang,ninugu,tang,ninugu,mada1284
lɛlɛ,vivni,lɛlɛ,vivni,lɛlɛ,vivni,lɛlɛ,vivni,maee1241
soe-,vatasi-,soe-,vatasi-,tasi-,vatasi-,tasi-,vatasi-,mafe1237
mɛnɛ-re,tala-,mɛnɛ-re,tala-,tala,mɛtɛhal,tala,mɛtɛhal,maga1262
paŋgra,bɛ̄ɳ,ɔ̀knɔb'ài,tshɛ̄ɪ,paŋgra,bɛ̄ɳ,ɔ̀knɔb'ài,tshɛ̄ɪ,maha1287
t-ano,t-ao,t-ano,t-ao,t-ao,t-ano,t-ao,t-ano,maib1239
bháiyā,didi,bhāy,bahīn,bháiyā,didi,bhāy,bahīn,mait1250
néna,néna,wòbia,wòbia,néna,néna,wòbia,wòbia,makl1246
numbumbunu,numbumbunu,numbumbunu,numbumbunu,numbumbunu,numbumbunu,numbumbunu,numbumbunu,mako1251
cettan,ceṭṭati,anujanambi,anujati,cettan,ceṭṭati,anujanambi,anujati,mala1464
annan,akkah,thambi,thankachi,annan,akkah,thambi,thankachi,mala1468
abang,adek,abang,adek,abang,adek,abang,adek,mala1479
ba,irmangfemi,irmangmachu,irmangfemi,ba,irmangfemi,irmangmachu,irmangfemi,mala1533
n'-hayʼ-sees,nu-muʼ-sees,noo-seeʼ-mees,noo-seeʼ-mees,n'-hayʼ-sees,nu-muʼ-sees,noo-seeʼ-mees,noo-seeʼ-mees,male1293
kurta,yipa,gurda,yiba,kurta,yipa,gurda,yiba,malg1242
bruder,matki,bruder,liki,bruder,matki,bruder,liki,mali1284
vuosocotiku,nokuvorai,vuosocotiku,nokuvorai,nokuvorai,socotiku,nokuvorai,socotiku,malo1243
söghösök,lelei,söghösök,tisukwaven,lelei,söghösökdövat,tisuk,söghösökdövat,malu1245
tari,a'a,to'a,to'a,a'a,tari,to'a,to'a,mana1295
me-shoʼ-kä,me-noʼ-ka,me-shoʼ-kä,me-noʼ-ka,mooʼ-kä,p-tä-meʼ-ha,me-shoʼ-kä,p-tä-meʼ-ha,mand1446
tugane,tuakana,tugane,teina,tuakana,tue'ine,teina,tue'ine,mang1401
tu-ngane,tua-kana,tu-ngane,teina,tua-kana,tua-'ine,teina,tua-'ine,mang1402
nara,weta,nara,weta,ka'é,weta,asé,weta,mang1405
naha,foto,naha,foto,naha,foto,naha,foto,mang1407
sanasī,kàkī,sanasī,foekī,kàkī,sanasīfinī,foekī,sanasīfinī,mang1408
indigbegena,indamowa,injemeito,indamehito,indagona,indamowa,indagto,indamehito,mani1235
yaɣpɨɣ,yaɣaɣi,apsʸi,esʸ,yaɣpɨɣ,yaɣaɣi,apsʸi,esʸ,mans1258
tungaane,tuakana,tungaane,teina,tuakana,tuahine,teina,tuahine,maor1246
kaka,kaka,ari,ari,kaka,kaka,ari,ari,mara1404
thaguny,kaminu,waburdu,mayada,thaguny,kaminu,waburdu,mayada,marg1253
ˈtotu,ɸalu,ˈtotu,ɸalu,ɸalu,ˈtotu,ɸalu,ˈtotu,mari1426a
totua,tua,totua,tua,tua,totua,tua,totua,mari1426b
ɸindi-k,tua-k,ɸindi-k,tua-k,tua-k,ɸindi-k,tua-k,ɸindi-k,mari1426c
ɸindik,tua,ɸindik,tua,tua,ɸindik,tua,ɸindik,mari1426d
ɸindik,tuak,ɸindik,tuak,tuak,ɸindik,tuak,ɸindik,mari1426e
fndĭŋ,tua,fndĭŋ,tua,tua,fndĭŋ,tua,fndĭŋ,mari1426f
finfiⁿdi,tua,finfiⁿdi,tua,tua,finfiⁿdi,tua,finfiⁿdi,mari1426g
fiⁿdae,tua,fiⁿdae,tua,tua,fiⁿdae,tua,fiⁿdae,mari1426h
soɣoti,tue-ŋgu,soɣoti,tue-ŋgu,tue-ŋgu,soɣoti,tue-ŋgu,soɣoti,mari1426i
tunane,tua'ana,tunane,teina,tua'ana,tuehine,teina,tuehine,marq1246
jeu,jeu,jetu,jetu,jeu,jeu,jetu,jetu,mars1254
kurta,tyurtu,marlangu,marlangu,kurta,tyurtu,marlangu,marlangu,mart1256
bhāīji,jiji,bhāīji,bahin,bhāīji,jiji,bhāīji,bahin,marw1260
wandayaumu-khulu,wandayaseumu-khulu,wandayaumu-keehe,wandayaseumu-keehe,yaayaumu-khulu,wandayaumu-khulu,yaayaumu-keehe,wandayaumu-keehe,masa1299
wawa,wawa,wawa,wawa,ava-,wawa,ava-,wawa,mask1242
lu,ka,lu,te,ka,lu,te,lu,matu1261
yaaya,yaawa,makhuni,galeengi,yaaya,yaawa,makhuni,galeengi,mbal1257
nan,bami,nangan,bami,nan,bami,nangan,bami,mbla1238
anga,anga,akina,akina,anga,anga,akina,akina,meke1243
kaka,kaka,hai,hai,kaka,kaka,hai,hai,meko1237
kave,taina,kave,taina,taina,kave,taina,kave,mele1250
na-nǎʼ,ne-maʼ,na-saʼ,na-saʼ,na-nǎʼ,ne-maʼ,na-saʼ,na-saʼ,meno1252
tukaka,tukaka,tuɸai,tuɸai,tukaka,tukaka,tuɸai,tuɸai,menu1237
běrbet,le,běrbet,le,le,běrbet,le,běrbet,meri1244
mutaanociamûkûrû,mwareociamûkûrû,mutaanociamwanake,mwareociamwanake,mutaanociamûkûrû,mwareociamûkûrû,mutaanociamwanake,mwareociamwanake,meru1245
cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',mesc1238
na-saʼ-mä,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,na-saʼ-mä,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,mesk1242
ediera,edokora,ediesa,edokosa,edokora,ediera,edokosa,ediesa,meya1236
ne-sǎ-säʼ,ne-mis-säʼ,se-me-mäʼ,ne-go-se-mäʼ,ne-sǎ-säʼ,ne-mis-säʼ,se-me-mäʼ,ne-go-se-mäʼ,miam1252
broder,sister,broder,sister,broder,sister,broder,sister,midd1317
bruoder,swëster,bruoder,swëster,bruoder,swëster,bruoder,swëster,midd1343
édí,édí,úmbèskà,úmbèskà,édí,édí,úmbèskà,úmbèskà,mido1240
n'-seesʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-seesʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-kwa-jeech,mikm1235
tasiná,tasinavaviná,tasiná,tasinavaviná,turaná,tasiná,turaná,tasiná,mini1251
l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo,l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo,moco1246
adhelphos,adelphi,adhelphos,adelphi,adhelphos,adelphi,adhelphos,adelphi,mode1248
lak-jeʼ-hä,ahk-jeʼ-hä,eʼ-gä-hä,kaʼ-gä-hä,läk-jeʼ-hä,ahk-jeʼ-hä,eʼ-gä-hä,kaʼ-gä-hä,moha1258
n'-tä-kunʼ,nä-meesʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-tä-kun,nä-meesʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,mohe1244
mólúlu,mólúlu,enongoni,enongoni,mólúlu,mólúlu,enongoni,enongoni,mokp1239
ax,egt͡ʃʰ,tu,tu,ax,egt͡ʃʰ,tu,tu,mong1331
botomolo,nsómí,bokume,nkåna,botomolo,nsómí,bokume,nkåna,mong1338
aka,aka,uai,uai,aka,aka,uai,uai,mori1268
kaka,kaka,andi,andi,kaka,kaka,andi,andi,mori1269
tukaka,tukaka,tuai,tuai,tukaka,tukaka,tuai,tuai,moro1287
mwengeang,pwiipwi,mwengeang,pwiipwi,pwiipwi,mwengeang,pwiipwi,mwengeang,mort1237
wo'xi-tk,wo'xi-ʔ,wo'xi-tka'ki-tk,wo'xi-ʔ-ka'ki-s,wo'xi-tk,wo'xi-ʔ,wo'xi-tka'ki-tk,wo'xi-ʔ-ka'ki-s,mose1249
tutuai,tuaga,tutuai,tasiu,tuaga,tutuai,tasiu,tutuai,mota1237
tētek,ithik,tētek,ithik,ithik,tētek,ithik,tētek,motl1237
taihugu,kakagu,taihugu,tadigu,kakagu,taihugu,tadigu,taihugu,motu1246
lutno,atua,lutno,agatno,atua,lutno,agatno,lutno,mouk1240
lutno,tobro,lutno,aiber,tobro,lutno,aiber,lutno,mouk1240a
al-lakʷa,al-kʷeya,a-na,a-na,al-lakʷa,al-kʷeya,a-na,a-na,movi1243
yây,yây,ʊkↄ:m,ʊkↄ:m,yây,yây,ʊkↄ:m,ʊkↄ:m,mpuo1241
ngapa,kapu,karlatya,karlatya,ngapa,kapu,karlatya,karlatya,mudb1240
livuk-,tazi-na,livuk-,tazi-na,tazi-na,livuk-,tazi-na,livuk-,mudu1242
isa,isa,ai,ai,isa,isa,ai,ai,muna1247
ni,mā,mbadndzà̪m,ntṳ'ndzà̪m,ni,mā,mbadndzà̪m,ntṳ'ndzà̪m,mung1266
tua-nga'ane,tau-kete,tua-nga'ane,taina,tau-kete,tua-hine,taina,tua-hine,mung1271
nain-nʼ-hansʼ,naiuʼ-na-waseʼ,naine-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-nʼ-hansʼ,nainʼ-na-waseʼ,naiu-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,muns1251
ŋat̪an,munak,ŋat̪an,munak,ŋat̪an,munak,ŋat̪an,munak,murr1258
papa,kampany,muwan,kuwira,papa,kampany,muwan,kuwira,muru1266
tue-,tue-,nenga-,nenga-,tue-,tue-,nenga-,nenga-,muss1246
na,ka'e,na,azi,ka'e,weta,azi,weta,nage1237
e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,naka1262
diagu,diagu,diagu,diagu,diagu,dimafingu,diagu,dimafingu,nali1244
fafnagu,duagu,fafnagu,duagu,dasigu,fafnagu,dasigu,fafnagu,nali1244b
ánè,ánè,nèngèn,nèngèn,ánè,ánè,nèngèn,nèngèn,nama1266
suan,ngkoren,suan,ngkoren,suan,ngkoren,suan,ngkoren,nama1268
titih,nana,titih,nana,suaŋ,alik,suaŋ,alik,nama1268b
ane,ane,nngn,nngn,ane,ane,nngn,nngn,namb1293
wei,opyei,wei,opyei,myei,plapyei,myei,plapyei,nang1262
bru,šiši,bru,šiši,bru,šiši,bru,šiši,nege1244
tatahinalik,tahinalik,tatahinalik,tahinalik,tahin,tatahinalik,tahin,tatahinalik,neha1247
nʸa,nʸenʸa,papa,nʸepapa,nʸa,nʸenʸa,papa,nʸepapa,nene1249
ane,ane,nngn,nngn,ane,ane,nngn,nngn,nenn1238
ane,ane,nngn,nngn,ane,ane,nngn,nngn,nenn1238a
dāi,didi,bhai,bahini,dāi,didi,bhai,bahini,nepa1254
tua-,tua-,tua-,tas-,tua-,jokhos-,tas-,jokhos-,nese1235
kurta,tirna,marlany,marlany,kurta,tirna,marlany,marlany,ngaa1240
puyu,woːlaɹoː,puyu,marlangu,puyu,woːlaɹoː,puyu,marlangu,ngad1258
wulkɨn,jabok,wulkɨn,wulkɨncan,wawuɖ,jabok,wulkɨn,jabok,ngal1292
st̪uju,st̪uttaɹi,kulawarta,kulawarta,st̪uju,st̪uttaɹi,kulawarta,kulawarta,ngam1265
ngapa,kawurlu,karlaty,karlaty,ngapa,kawurlu,karlaty,karlaty,ngar1235
katha,murrkunu,mangarthi,marrkara,katha,murrkunu,mangarthi,marrkara,ngar1286
katya,ngaramputyi,marrkara,mari,katya,ngaramputyi,marrkara,mari,ngar1287
tay,ngoreng,tay,ngoreng,tay,ngoreng,tay,ngoreng,ngun1274
wurda,nhadumba,wurda,malyu,wurda,nhadumba,wurda,malyu,nhan1238
tuaga'ane,tokoua,tuaga'ane,tokoua,tokoua,tuafafine,tokoua,tuafafine,niua1240
tugane,matakainaanga,tugane,matakainaanga,matakainaga,mahakitaga,matakainaanga,mahakitaga,niue1239
ndumi,mukulu,ndumi,meghèghè,mukulu,kédi,meghèghè,kédi,njeb1242
kardaš,siŋli,ini,karɨndas,kardaš,siŋli,ini,karɨndas,noga1249
bābí'i,amá',bañá'a,böní'i,bābí'i,amá',bañá'a,böní'i,nort1551
bra,xuşkê,bra,xuşkê,bra,xuşkê,bra,xuşkê,nort2641
tannāl,sēlār,tammur,sēlār,tannāl,sēlār,tammur,sēlār,nort2702
tay,ngoreng,tay,ngoreng,tay,ngoreng,tay,ngoreng,nort2836
talang,talang,talang,talang,taovjen,talang,taovjen,talang,nort2839
tunane,tuaana,tunane,teina,tuaana,tuehine,teina,tuehine,nort2845
kaka,tup̃ia,kaka,notah,tup̃ia,kaka,notah,kaka,nort2847
yunaailalaki,yuna,anochiailalaki,anochi,yunaailalaki,yuna,anochiailalaki,anochi,nort2877
táa,čáas,túun,túun,táa,čáas,túun,túun,nort2938
apiak,ataurok,nukatceak,nukatceak,apiak,ataurok,nukatceak,nukatceak,nort2944
gusum,etim,tönim,kam,gusum,etim,tönim,kam,nort2952
nishimes,nimises,nijimish,nimises,nishikwese,nidawema,nijimish,nijimish,nort2961
ǰa'ba,ǰa'baũ'ẽrã,ǰa'batẽã-be'ma,ǰa'baũ'ẽrãtẽã-be'ma,ǰa'ba,ǰa'baũ'ẽrã,ǰa'batẽã-be'ma,ǰa'baũ'ẽrãtẽã-be'ma,nort2972
bror,søster,bror,søster,bror,søster,bror,søster,norw1259
ełbayr,k'uyr,ełbayr,k'uyr,ełbayr,k'uyr,ełbayr,k'uyr,nucl1235
abi,abla,kardeš,kardeš,abi,abla,kardeš,kardeš,nucl1301
nǎnnǎannǎ,nǎnnǎǎkkǎ,nǎnnǎtǎmmǎ,nǎnnǎtǎngi,nǎnnǎannǎ,nǎnnǎǎkkǎ,nǎnnǎtǎmmǎ,nǎnnǎtǎnga,nucl1305
akou,ama,maun,nyima,akou,ama,nyi,hnama,nucl1310
nwannēnwokē,nwannēnwaàyị̀,nwannēnwokē,nwannēnwaàyị̀,nwannēnwokē,nwannēnwaàyị̀,nwannēnwokē,nwannēnwaàyị̀,nucl1417
kaka',embhu',ale',ale',kaka',embhu',ale',ale',nucl1460
moengai,bwisi,moengai,bwisi,bwisi,moengai,bwisi,moengai,nucl1479
maɣay-anem,maɣay-anum,es-anem,es-anum,maɣay-anem,maɣay-anum,es-anem,es-anum,nucl1622
ani,ane,otōto,imōto,ani,ane,otōto,imōto,nucl1643
haat,łgaawkˀ,haat,łgaawkˀ,haat,łgaawkˀ,haat,łgaawkˀ,nucl1649
ne-sǎ-zä',ne-me-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zä',ne-me-säʼ,ne-she-mäʼ,ne-she-mäʼ,nucl1653
lu,sikanewe,lu,kapowe,sika,lunewe,kapa,lunewe,numb1247
kurta,thurta,marrka,marrka,kurta,thurta,marrka,marrka,nyam1271
mama,kangku,marrka,marrka,mama,kangku,marrka,marrka,nyan1301
murgin,murgingan,ɠanɖiliɲ,ɠanɖiyan,murgin,murgingan,ɠanɖiliɲ,ɠanɖiyan,nyaw1247
mukuru,mukuru,muto,muto,mukuru,mukuru,muto,muto,nyor1246
mʷaqane,tuqaka-,mʷaqane,taci-,tuqaka-,pine,taci-,pine,ocea1241
naʔâ:j,ʔə̂:j,ʔă:w,kɛ̂:nkû:nkwɛ̂:,naʔâ:j,ʔə̂:j,ʔă:w,kɛ̂:nkû:nkwɛ̂:,oduu1239
nis-si-yǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,nis-si-yǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,ojib1241
ell-käkʼ-chä,eel-keʼ-kä,eel-seeʼ-sin-chä,eel-cheʼ-choopsʼ,eel-käk-chä,eel-keʼ-kä,eel-seʼ-sin-chä,eel-cheʼ-choopsʼ,okan1243
maningeri,taling,maningeri,taling,taling,taling,taling,taling,olal1237
ʔaχā,χātā,ʔaxāzʁērā,χātāzʁērtā,ʔaχā,χātā,ʔaxāzʁērā,χātāzʁērtā,olda1245
broðor,sweostor,broðor,sweostor,broðor,sweostor,broðor,sweostor,olde1238
bráthair,siur,bráthair,siur,bráthair,siur,bráthair,siur,oldi1245
brōðir,systir,brōðir,systir,brōðir,systir,brōðir,systir,oldn1244
brawd,chwaer,brawd,chwaer,brawd,chwaer,brawd,chwaer,oldw1239
wee-teʼ-noo,wee-zǒn̤ʼ-thǎ,wee-sǒn̤ʼ-gä,wee-tǒnʼ-gä,wee-zheʼ-thǎ,wee-tǒuʼ-ga,wee-sǒn̤ʼ-gä,wee-tǒnʼ-gä,omah1247
ḳayin,nahḳn,aʔč,aʔn,ḳayin,nahḳn,aʔč,aʔn,onaa1245
läk-jeʼ-hä,ahk-jeʼ-hä,le-gäʼ-ah,ka-gä-ahʼ,läk-jeʼ-hä,ahk-jeʼ-hä,le-gäʼ-hä,ka-gä-ahʼ,onei1249
