,feature,importance
0,10,0.059189668418469094
1,43,0.05398637155254229
2,13,0.05344633368145524
3,32,0.05340488175665583
4,23,0.0529720663127132
5,15,0.05282390981909042
6,34,0.051931079852232824
7,21,0.050743088067224516
8,28,0.04984981506243904
9,38,0.047331947172348086
10,26,0.04710359993571511
11,0,0.047023836682935
12,36,0.04658835458503976
13,2,0.044388191591333954
14,9,0.012234802359140602
15,14,0.012203194062398172
16,11,0.012192055953209316
17,29,0.01183156157740916
18,17,0.0113649870485968
19,24,0.0113134189722555
20,1,0.011135888653488264
21,6,0.010972103643720801
22,5,0.010880354349220866
23,4,0.010799846708747545
24,3,0.010783536875513046
25,7,0.010296702065709897
26,19,0.01018627079266397
27,8,0.010056393911283986
28,12,0.009882271130731974
29,30,0.009836484252660439
30,35,0.00959150574149289
31,37,0.009516391973833338
32,25,0.008964744966271103
33,27,0.008019348135546901
34,16,0.007942175703672427
35,42,0.007477242743885161
36,18,0.007447333351401268
37,44,0.007323325320723265
38,39,0.007262207621610783
39,20,0.007258680574193115
40,41,0.007112879211589134
41,31,0.006670161203475294
42,22,0.006383683582127315
43,33,0.006348507183569519
44,40,0.005928795839664119
