Rate	83.33
Rev Jump	16.67
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
429	0.284382	71	0.042254	5.000000	429	0.284382	0.250000	0.247501	
428	0.273364	72	0.041667	5.000000	428	0.273364	0.240000	0.246251	
448	0.314732	52	0.230769	5.000000	448	0.314732	0.306000	0.254784	
431	0.531323	69	0.115942	5.000000	431	0.531323	0.474000	0.282179	
439	0.359909	61	0.131148	5.000000	439	0.359909	0.332000	0.287714	
449	0.262806	51	0.117647	5.000000	449	0.262806	0.248000	0.283743	
438	0.312785	62	0.177419	5.000000	438	0.312785	0.296000	0.284857	
436	0.254587	64	0.125000	5.000000	436	0.254587	0.238000	0.280953	
450	0.200000	50	0.140000	5.000000	450	0.200000	0.194000	0.274265	
452	0.188053	48	0.208333	5.000000	452	0.188053	0.190000	0.268247	
467	0.648822	33	0.151515	2.625722	467	0.648822	0.616000	0.291428	
434	0.642857	66	0.166667	5.000000	434	0.642857	0.580000	0.309461	
455	0.709890	45	0.111111	5.000000	455	0.709890	0.656000	0.329844	
439	0.626424	61	0.049180	5.000000	439	0.626424	0.556000	0.342406	
435	0.547126	65	0.123077	5.000000	435	0.547126	0.492000	0.350279	
437	0.606407	63	0.158730	5.000000	437	0.606407	0.550000	0.360264	
442	0.262443	58	0.155172	5.000000	442	0.262443	0.250000	0.355014	
423	0.359338	77	0.116883	5.000000	423	0.359338	0.322000	0.353513	
449	0.151448	51	0.274510	5.000000	449	0.151448	0.164000	0.345274	
447	0.241611	53	0.075472	4.935429	447	0.241611	0.224000	0.340222	
443	0.293454	57	0.210526	4.935429	443	0.293454	0.284000	0.337973	
451	0.144124	49	0.183673	4.935429	451	0.144124	0.148000	0.330667	
458	0.281659	42	0.166667	3.417465	458	0.281659	0.272000	0.328494	
461	0.340564	39	0.205128	3.417465	461	0.340564	0.330000	0.328548	
452	0.265487	48	0.250000	3.417465	452	0.265487	0.264000	0.326322	
448	0.261161	52	0.038462	3.417465	448	0.261161	0.238000	0.323378	
447	0.409396	53	0.132075	3.417465	447	0.409396	0.380000	0.325205	
443	0.293454	57	0.140351	5.000000	443	0.293454	0.276000	0.323667	
444	0.261261	56	0.214286	5.000000	444	0.261261	0.256000	0.321617	
442	0.289593	58	0.241379	5.000000	442	0.289593	0.284000	0.320511	
447	0.201342	53	0.150943	5.000000	447	0.201342	0.196000	0.316953	
456	0.280702	44	0.250000	5.000000	456	0.280702	0.278000	0.315871	
437	0.313501	63	0.238095	5.000000	437	0.313501	0.304000	0.315551	
454	0.266520	46	0.217391	5.000000	454	0.266520	0.262000	0.314141	
450	0.206667	50	0.140000	5.000000	450	0.206667	0.200000	0.311215	
449	0.169265	51	0.117647	5.000000	449	0.169265	0.164000	0.307535	
456	0.252193	44	0.159091	3.905844	456	0.252193	0.244000	0.305985	
431	0.194896	69	0.173913	3.905844	431	0.194896	0.192000	0.303271	
455	0.241758	45	0.111111	3.406084	455	0.241758	0.230000	0.301567	
456	0.239035	44	0.181818	3.406084	456	0.239035	0.234000	0.300032	
451	0.348115	49	0.102041	3.406084	451	0.348115	0.324000	0.300564	
434	0.626728	66	0.106061	3.406084	434	0.626728	0.558000	0.306161	
456	0.491228	44	0.181818	4.934384	456	0.491228	0.464000	0.309519	
443	0.288939	57	0.105263	5.000000	443	0.288939	0.268000	0.308654	
457	0.293217	43	0.162791	5.000000	457	0.293217	0.282000	0.308110	
440	0.245455	60	0.133333	5.000000	440	0.245455	0.232000	0.306588	
455	0.160440	45	0.311111	5.000000	455	0.160440	0.174000	0.303988	
468	0.329060	32	0.156250	4.481490	468	0.329060	0.318000	0.304258	
439	0.448747	61	0.262295	4.481490	439	0.448747	0.426000	0.306554	
451	0.226164	49	0.081633	5.000000	451	0.226164	0.212000	0.304804	
455	0.452747	45	0.155556	5.000000	455	0.452747	0.426000	0.307007	
451	0.283814	49	0.142857	5.000000	451	0.283814	0.270000	0.306346	
468	0.393162	32	0.062500	5.000000	468	0.393162	0.372000	0.307498	
449	0.316258	51	0.137255	5.000000	449	0.316258	0.298000	0.307334	
441	0.188209	59	0.067797	5.000000	441	0.188209	0.174000	0.305074	
447	0.237136	53	0.132075	4.961795	447	0.237136	0.226000	0.303757	
443	0.205418	57	0.175439	4.961795	443	0.205418	0.202000	0.302088	
445	0.188764	55	0.145455	4.961795	445	0.188764	0.184000	0.300184	
454	0.433921	46	0.130435	2.979037	454	0.433921	0.406000	0.301863	
439	0.289294	61	0.229508	3.076166	439	0.289294	0.282000	0.301553	
428	0.287383	72	0.111111	3.076166	428	0.287383	0.262000	0.300945	
449	0.398664	51	0.176471	3.076166	449	0.398664	0.376000	0.302082	
450	0.366667	50	0.160000	3.076166	450	0.366667	0.346000	0.302737	
439	0.371298	61	0.229508	3.076166	439	0.371298	0.354000	0.303491	
433	0.374134	67	0.298507	3.076166	433	0.374134	0.364000	0.304368	
445	0.278652	55	0.145455	3.076166	445	0.278652	0.264000	0.303791	
453	0.320088	47	0.170213	3.076166	453	0.320088	0.306000	0.303822	
475	0.347368	25	0.200000	3.076166	475	0.347368	0.340000	0.304325	
458	0.386463	42	0.166667	3.076166	458	0.386463	0.368000	0.305197	
447	0.344519	53	0.075472	3.076166	447	0.344519	0.316000	0.305343	
439	0.318907	61	0.180328	3.076166	439	0.318907	0.302000	0.305299	
446	0.302691	54	0.222222	3.076166	446	0.302691	0.294000	0.305150	
446	0.365471	54	0.129630	3.076166	446	0.365471	0.340000	0.305602	
444	0.283784	56	0.160714	3.076166	444	0.283784	0.270000	0.305146	
441	0.301587	59	0.118644	3.076166	441	0.301587	0.280000	0.304828	
453	0.426049	47	0.106383	3.076166	453	0.426049	0.396000	0.305967	
444	0.189189	56	0.178571	5.000000	444	0.189189	0.188000	0.304511	
426	0.201878	74	0.202703	4.529941	426	0.201878	0.202000	0.303261	
430	0.311628	70	0.114286	4.529941	430	0.311628	0.284000	0.303029	
448	0.368304	52	0.250000	4.529941	448	0.368304	0.356000	0.303659	
461	0.277657	39	0.128205	4.529941	461	0.277657	0.266000	0.303216	
458	0.312227	42	0.142857	4.529941	458	0.312227	0.298000	0.303156	
454	0.218062	46	0.195652	4.529941	454	0.218062	0.216000	0.302154	
454	0.182819	46	0.152174	4.529941	454	0.182819	0.180000	0.300766	
