Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
315	0.361905	49	0.081633	68	0.000000	68	0.926471	2.330268	315	0.361905	0.026075	0	0.000000	0.362000	0.335016	
322	0.313665	42	0.095238	80	0.075000	56	0.982143	2.330268	322	0.313665	0.026075	0	0.000000	0.332000	0.334879	
323	0.362229	42	0.047619	77	0.233766	58	0.931034	2.330268	323	0.362229	0.026075	0	0.000000	0.382000	0.336927	
312	0.326923	30	0.166667	73	0.328767	85	0.929412	2.330268	312	0.326923	0.026075	0	0.000000	0.420000	0.340388	
335	0.283582	24	0.125000	61	0.262295	80	0.975000	2.330268	335	0.283582	0.026075	0	0.000000	0.384000	0.342133	
341	0.263930	28	0.000000	54	0.222222	77	0.922078	2.330268	341	0.263930	0.026075	0	0.000000	0.346000	0.342281	
338	0.275148	35	0.114286	55	0.290909	72	0.972222	2.330268	338	0.275148	0.026075	0	0.000000	0.366000	0.343160	
331	0.311178	49	0.020408	68	0.441176	52	0.961538	2.330268	331	0.311178	0.026075	0	0.000000	0.368000	0.344047	
322	0.332298	37	0.108108	68	0.014706	73	0.986301	2.330268	322	0.332298	0.026075	0	0.000000	0.368000	0.344873	
294	0.357143	19	0.157895	76	0.157895	111	0.909910	2.330268	294	0.357143	0.026075	0	0.000000	0.442000	0.348110	
200	0.500000	11	0.090909	151	0.205298	138	0.949275	2.330268	200	0.500000	0.026075	0	0.000000	0.526000	0.353848	
262	0.416031	31	0.161290	113	0.141593	94	0.957447	2.636605	262	0.416031	0.026075	0	0.000000	0.440000	0.356540	
146	0.342466	28	0.214286	161	0.354037	165	0.945455	4.688459	146	0.342466	0.026075	0	0.000000	0.538000	0.362039	
