Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
349	0.575931	18	0.444444	63	0.396825	70	0.942857	5.000000	349	0.575931	0.354260	0	0.000000	0.600000	0.424721	
299	0.471572	34	0.411765	73	0.232877	94	0.989362	5.000000	299	0.471572	0.354260	0	0.000000	0.530000	0.429506	
274	0.386861	47	0.340426	85	0.470588	94	1.000000	5.000000	274	0.386861	0.354260	0	0.000000	0.512000	0.433093	
286	0.388112	43	0.186047	81	0.506173	90	0.966667	5.000000	286	0.388112	0.354260	0	0.000000	0.494000	0.435630	
269	0.301115	28	0.285714	105	0.523810	98	0.989796	5.000000	269	0.301115	0.354260	0	0.000000	0.482000	0.437485	
238	0.382353	18	0.333333	122	0.475410	122	0.991803	5.000000	238	0.382353	0.354260	0	0.000000	0.552000	0.441889	
191	0.382199	27	0.296296	127	0.456693	155	0.987097	5.000000	191	0.382199	0.354260	0	0.000000	0.584000	0.447152	
225	0.315556	25	0.160000	133	0.338346	117	1.000000	5.000000	225	0.315556	0.354260	0	0.000000	0.474000	0.448111	
222	0.337838	31	0.483871	122	0.475410	125	0.984000	5.000000	222	0.337838	0.354260	0	0.000000	0.542000	0.451348	
234	0.405983	59	0.423729	107	0.532710	100	0.990000	5.000000	234	0.405983	0.354260	0	0.000000	0.552000	0.454703	
305	0.468852	54	0.240741	65	0.338462	76	0.986842	5.000000	305	0.468852	0.354260	0	0.000000	0.506000	0.456358	
284	0.401408	30	0.433333	99	0.505051	87	0.988506	5.000000	284	0.401408	0.354260	0	0.000000	0.526000	0.458534	
293	0.470990	31	0.322581	80	0.437500	96	0.958333	5.000000	293	0.470990	0.354260	0	0.000000	0.550000	0.461305	
162	0.444444	22	0.409091	139	0.287770	177	1.000000	5.000000	162	0.444444	0.354260	0	0.000000	0.596000	0.465267	
72	0.388889	46	0.326087	168	0.511905	214	1.000000	5.000000	72	0.388889	0.354260	0	0.000000	0.686000	0.471573	
114	0.561404	56	0.392857	153	0.431373	177	0.994350	5.000000	114	0.561404	0.354260	0	0.000000	0.656000	0.476696	
227	0.559471	14	0.285714	150	0.420000	109	0.981651	5.000000	227	0.559471	0.354260	0	0.000000	0.602000	0.480082	
165	0.551515	23	0.434783	158	0.493671	154	0.993506	5.000000	165	0.551515	0.354260	0	0.000000	0.664000	0.484922	
152	0.493421	20	0.400000	179	0.463687	149	0.993289	5.000000	152	0.493421	0.354260	0	0.000000	0.628000	0.488590	
159	0.578616	27	0.407407	156	0.487179	158	1.000000	5.000000	159	0.578616	0.354260	0	0.000000	0.674000	0.493225	
212	0.466981	34	0.647059	134	0.470149	120	1.000000	5.000000	212	0.466981	0.354260	0	0.000000	0.608000	0.496025	
182	0.461538	34	0.470588	137	0.467153	147	1.000000	5.000000	182	0.461538	0.354260	0	0.000000	0.622000	0.499024	
156	0.423077	41	0.414634	156	0.442308	147	0.993197	5.000000	156	0.423077	0.354260	0	0.000000	0.596000	0.501279	
155	0.561290	29	0.206897	149	0.402685	167	0.994012	5.000000	155	0.561290	0.354260	0	0.000000	0.638000	0.504386	
