"","label_","frequency","diversity","centrality","strength","type"
"1","0",61,0.776854416743613,2,16,"g1"
"2","1",14,0.704081632653061,2,10,"g1"
"3","2",144,0.912898195589218,2,10,"g1"
"4","3",16,0.666666666666667,4,34,"g1"
"5","4",31,0.868888888888889,2,20,"g1"
"6","5",20,0.87037037037037,2,20,"g1"
"7","6",121,0.784399092970522,1,6,"g1"
"8","7",26,0.8256,3,28,"g1"
"9","8",33,0.561914672216441,2,20,"g1"
"10","9",30,0.82,6,34,"g1"
"11","10",178,0.560553633217993,2,10,"g1"
"12","11",20,0.0997229916897509,2,8,"g1"
