"","label_","frequency","diversity","centrality","strength","type"
"1","0",16,0.337777777777778,4,13,"siblings"
"2","1",50,0.389004581424407,3,4,"siblings"
"3","2",230,0.926441794232823,5,31,"siblings"
"4","3",29,0.8559670781893,2,12,"siblings"
"5","4",93,0.628616726119699,4,17,"siblings"
"6","5",13,0.791666666666667,2,12,"siblings"
"7","6",86,0.74592287761012,2,12,"siblings"
"8","7",10,0.58,2,9,"siblings"
"9","8",50,0.418159100374844,3,18,"siblings"
"10","9",12,0.861111111111111,2,16,"siblings"
"11","10",111,0.516726351646432,3,13,"siblings"
"12","11",13,0.165289256198347,3,14,"siblings"
"13","12",58,0.366684694429421,5,15,"siblings"
"14","13",24,0.234404536862004,2,10,"siblings"
"15","14",13,0.644628099173554,2,8,"siblings"
