"","label_","frequency","diversity","centrality","strength","type"
"1","0",43,0.810167658193618,1,6,"niblings"
"2","1",14,0.776859504132231,5,40,"niblings"
"3","2",40,0.59,4,20,"niblings"
"4","3",16,0.78125,5,21,"niblings"
"5","4",16,0.533333333333333,1,4,"niblings"
"6","5",11,0.74,1,4,"niblings"
"7","6",19,0.714681440443213,2,16,"niblings"
"8","7",21,0.665,7,33,"niblings"
"9","8",10,0.693877551020408,2,6,"niblings"
"10","9",31,0.802222222222222,5,24,"niblings"
"11","10",18,0.314049586776859,1,6,"niblings"
"12","11",19,0.659279778393352,2,16,"niblings"
"13","12",72,0.163411048099139,2,16,"niblings"
"14","13",38,0.790204081632653,4,22,"niblings"
"15","14",102,0.801728395061728,4,28,"niblings"
"16","15",13,0.272189349112426,2,16,"niblings"
