"","label_","frequency","diversity","centrality","strength","type"
"1","0",105,0.810329861111111,4,24,"g2"
"2","1",11,0.793388429752066,2,16,"g2"
"3","2",466,0.870525737509934,4,22,"g2"
"4","3",23,0.820415879017013,2,16,"g2"
"5","4",14,0.165289256198347,1,4,"g2"
"6","5",233,0.437121751512994,1,2,"g2"
